circulo,partido,nome,tipo
Açores,A,Jorge Manuel Rosa de Medeiros,efetivo
Açores,A,Barbara Sofia Neto Ourique,efetivo
Açores,A,Jose Manuel Xavier de Avila,efetivo
Açores,A,Ruben Fernando Alves Serpa,efetivo
Açores,A,Bruna Correia Raposo,efetivo
Açores,A,João Carlos Motta Faria Pacheco,suplente
Açores,A,Patricia Rebelo Leite,suplente
Açores,BE,António Manuel Raposo Lima,efetivo
Açores,BE,Alexandra Patrícia Soares Manes,efetivo
Açores,BE,Ricardo Filipe Raposo Furtado,efetivo
Açores,BE,Paulo Manuel Besugo Sanona,efetivo
Açores,BE,Vera Lúcia Pinheiro Pires,efetivo
Açores,BE,Paulo Rogério Ávila Fontes,suplente
Açores,BE,Marlisa Silveira Furtado,suplente
Açores,BE,Vitória do Rego Froias,suplente
Açores,CDS/PP,Rui Miguel Oliveira Martins,efetivo
Açores,CDS/PP,Bruna Vasconcelos Valério de Almeida,efetivo
Açores,CDS/PP,André Miguel da Silveira,efetivo
Açores,CDS/PP,Fedra Miriam Fagundes da Costa Machado,efetivo
Açores,CDS/PP,Rúben Manuel Bettencourt,efetivo
Açores,CDS/PP,Séfora Veríssimo Costa,suplente
Açores,CDS/PP,André Melo Castro,suplente
Açores,CDS/PP,Brigite Faria Silveira,suplente
Açores,CDS/PP,Miguel Angelo Baptista de Simas Garcia,suplente
Açores,CDS/PP,Alonso Teixeira Miguel,suplente
Açores,CHEGA,Joaquim José Beato Chilrito,efetivo
Açores,CHEGA,Carlos Manuel da Silva Monteiro,efetivo
Açores,CHEGA,Angeline Lucie Claire Quintin,efetivo
Açores,CHEGA,Maria Fernanda Ferreira Pinto Afonso,efetivo
Açores,CHEGA,José Alberto Matos Leirinha Silva Salvaterra,efetivo
Açores,CHEGA,Joana Maria Martins Regalla,suplente
Açores,CHEGA,Bernardo Rui Teixeira da Silva,suplente
Açores,IL,Ana Vasconcelos Martins,efetivo
Açores,IL,João Pedro Duarte de Almeida Bessa Cardoso,efetivo
Açores,IL,Sara Cristina Garcez Couto Rodrigues de Sousa de Pereira,efetivo
Açores,IL,Luis Filipe Rodrigues Martins,efetivo
Açores,IL,Inês João Azevedo Gouveia Leitão,efetivo
Açores,IL,Tiago Manuel Moreira Fernandes,suplente
Açores,IL,Rute Maria Rodrigues Monteiro,suplente
Açores,IL,Miguel Ferreira de Oliveira,suplente
Açores,LIVRE,Ana Filipa Guerra Morais e Castro,efetivo
Açores,LIVRE,José Manuel Viegas Oliveira Neto Azevedo,efetivo
Açores,LIVRE,Florbela Martins do Carmo,efetivo
Açores,LIVRE,Diamantino Valente Henriques,efetivo
Açores,LIVRE,Fernanda Rosário Silva Carvalho,efetivo
Açores,LIVRE,Carlos Filipe da Silva Sousa,suplente
Açores,LIVRE,Fátima Ellas Silva Cunha,suplente
Açores,MAS,Eduardo Jorge Pimentel Rodrigues Pereira,efetivo
Açores,MAS,Maria Isabel Marques da Silveira,efetivo
Açores,MAS,Juliana Madruga Inácio,efetivo
Açores,MAS,António Cinézio Canastra Amaral de Medeiros,efetivo
Açores,MAS,Luis Miguel Rego Teles,efetivo
Açores,MAS,Cecílica Rosa de Almeida Serafim Bicho,suplente
Açores,MAS,Abel António Castillo Tenera,suplente
Açores,MAS,Ana Filipa Antunes Bernardino,suplente
Açores,MPT,Pedro Ricardo Soares Pimenta,efetivo
Açores,MPT,Ana Margarida Gomes Lopes,efetivo
