circulo,partido,candidato,tipo
Aveiro,PCTP/MRPP,João Manuel Valente Pinto,efectivo
Aveiro,PCTP/MRPP,Marisa Cristina Oliveira Gomes,efectivo
Aveiro,PCTP/MRPP,José Manuel Lemos Matos de Carvalho,efectivo
Aveiro,PCTP/MRPP,Cristina Marques Oliveira,efectivo
Aveiro,PCTP/MRPP,Nelson Moreira das Neves,efectivo
Aveiro,PCTP/MRPP,José Pedro Teixeira Magalhães,efectivo
Aveiro,PCTP/MRPP,Maria Júlia Gomes dos Santos,efectivo
Aveiro,PCTP/MRPP,Hugo Miguel da Silva Cardoso,efectivo
Aveiro,PCTP/MRPP,Susana Maria Carreira Ferreira,efectivo
Aveiro,PCTP/MRPP,Artur Jorge Tavares Prado Ferreira,efectivo
Aveiro,PCTP/MRPP,Cristina Maria Jesus Pereira,efectivo
Aveiro,PCTP/MRPP,Sérgio Nuno Pereira Dias,efectivo
Aveiro,PCTP/MRPP,Yolanda Audine da Conceição Tavares Monteiro Garcia e Azevedo,efectivo
Aveiro,PCTP/MRPP,Tiago Filipe Marques da Costa,efectivo
Aveiro,PCTP/MRPP,Filipa Maria Valinho Moutela Almeida,efectivo
Aveiro,PCTP/MRPP,José Paulo Ferreira Monteiro Rebocho,efectivo
Aveiro,PCTP/MRPP,Margarida Andreia Gomes dos Santos,suplente
Aveiro,PCTP/MRPP,António Luís de Castro Carvalho,suplente
Aveiro,PCTP/MRPP,Ana Madalena Guimarães de Lemos,suplente
Aveiro,PPD/PSD,António Milton Topa Gomes,efetivo
Aveiro,PPD/PSD,Maria Paula da Graça Cardoso,efetivo
Aveiro,PPD/PSD,Ricardo Bastos Sousa,efetivo
Aveiro,PPD/PSD,Helga Alexandra Freire Correia,efetivo
Aveiro,PPD/PSD,Rui Miguel Rocha da Cruz,efetivo
Aveiro,PPD/PSD,Carla Manuela de Sousa Madureira,efetivo
Aveiro,PPD/PSD,Rui Filipe Vilar Gomes,efetivo
Aveiro,PPD/PSD,Jorge António Tavares de São José,efetivo
Aveiro,PPD/PSD,Susana Maria de Oliveira Lamas,efetivo
Aveiro,PPD/PSD,Ângelo José de Jesus Soares,efetivo
Aveiro,PPD/PSD,Adriana Helena da Silva Rodrigues,efetivo
Aveiro,PPD/PSD,António José de Oliveira e Sousa,efetivo
Aveiro,PPD/PSD,Elisabete Figueiredo Soares,efetivo
Aveiro,PPD/PSD,Jéssica Catarina Dias Gaudêncio,efetivo
Aveiro,PPD/PSD,Rui Manuel de Jesus Correia,efetivo
Aveiro,PPD/PSD,Diana Carolina de Jesus Santos Luzio,efetivo
Aveiro,PPD/PSD,Nuno Ricardo Fernandes Pires,suplente
Aveiro,PPD/PSD,Teresa Margarida Costa Ferraz Alves,suplente
Aveiro,PPD/PSD,Tiago Daniel Santos Palha,suplente
Aveiro,PPD/PSD,Daniela Pereira Loureiro dos Anjos,suplente
Aveiro,PPD/PSD,Regina Maria Pinto da Fonseca Ramos Bastos,suplente
Aveiro,CDS/PP,Martim José Rosado Borges de Freitas,efetivo
Aveiro,CDS/PP,José António Nogueira Souto Amaro Pereira,efetivo
Aveiro,CDS/PP,Lília Ana da Cruz Oliveira Martins Águas,efetivo
Aveiro,CDS/PP,Fernando Manuel Carvalho Camelo Almeida,efetivo
Aveiro,CDS/PP,Ana Rita Ferreira Ramos,efetivo
Aveiro,CDS/PP,António Mário Carvalho Sousa,efetivo
Aveiro,CDS/PP,Liliana de Oliveira da Cruz,efetivo
Aveiro,CDS/PP,António Pinto Moreira,efetivo
Aveiro,CDS/PP,Sandra Marisa Queiroz Ferreira da Silva,efetivo
Aveiro,CDS/PP,Carlos Augusto Oliveira Valente,efetivo
Aveiro,CDS/PP,António Jesus Falcão Pereira,efetivo
Aveiro,CDS/PP,Sandra Cristina Calisto Roque,efetivo
Aveiro,CDS/PP,Sandra Isabel Silva Melo de Almeida,efetivo
Aveiro,CDS/PP,Pedro Tomás Pereira Marques,efetivo
Aveiro,CDS/PP,Ana Patrícia Vinhal Matos Sanches,efetivo
Aveiro,CDS/PP,Marco António Dias Carvalho,efetivo
Aveiro,CDS/PP,Carlota de Oliveira Miranda,suplente
Aveiro,CDS/PP,Daniel José Valente Oliveira,suplente
Aveiro,CDS/PP,Lucília Maria Pinho das Neves Mateus,suplente
Aveiro,CDS/PP,José Manuel de Jesus Laranjeira,suplente
Aveiro,CDS/PP,André de Campos Silvestre Fevereiro Chambel,suplente
Aveiro,Ergue-te,Anselmo Filipe Brandão Gonçalves de Oliveira,efetivo
Aveiro,Ergue-te,Carlos Bernardino Brandão Teixeira,efetivo
Aveiro,Ergue-te,Herondina Joaquina de Almeida Figueiredo Araújo,efetivo
Aveiro,Ergue-te,Irene Cristina de Sousa Cardoso,efetivo
Aveiro,Ergue-te,Rui Filipe Fardilho Reis,efetivo
Aveiro,Ergue-te,José Joaquim Vergueiro de Sousa Pereira Osório,efetivo
Aveiro,Ergue-te,Olga Sofia Vaz de Aguiar Gaspar,efetivo
Aveiro,Ergue-te,Nelson Miguel de Sousa dos Santos,efetivo
Aveiro,Ergue-te,Hugo Manuel dos Santos Florêncio,efetivo
Aveiro,Ergue-te,Cristina Rafaela da Silva Oliveira,efetivo
Aveiro,Ergue-te,Sérgio Manuel Silva Santos,efetivo
Aveiro,Ergue-te,Pedro Miguel Azevedo Freitas,efetivo
Aveiro,Ergue-te,Crisália Joaquina Almeida Figueiredo Araújo,efetivo
Aveiro,Ergue-te,Joaquim Artur Pereira Westermam,efetivo
Aveiro,Ergue-te,Diamantino Silva Lopes,efetivo
Aveiro,Ergue-te,Maria Elvira Teixeira Brandão,efetivo
Aveiro,Ergue-te,Maria Adília Brandão Azevedo,suplente
Aveiro,Ergue-te,Vítor Hugo Tavares Araújo,suplente
Aveiro,Ergue-te,Carminda Maria dos Santos Silva,suplente
Aveiro,Ergue-te,André Ricardo Fernandes Correia,suplente
Aveiro,MAS,Daniel Pereira Martins,efetivo
Aveiro,MAS,Inês Neto da Silva,efetivo
Aveiro,MAS,Estevão Lavado Espadilho,efetivo
Aveiro,MAS,Rodrigo Machado Nogueira,efetivo
Aveiro,MAS,Nídia Filipa dos Reis Moreira,efetivo
Aveiro,MAS,Cristina Maria Coutinho Ferreira,efetivo
Aveiro,MAS,Lino Miguel Fernandes de Oliveira,efetivo
Aveiro,MAS,Ana Rosa Rodrigues Vendas Fernandes,efetivo
Aveiro,MAS,Filipa Marina da Silva Martins,efetivo
Aveiro,MAS,João Paulo Torres dos Santos,efetivo
Aveiro,MAS,Maria dos Prazeres Coutinho da Silva Pinho,efetivo
Aveiro,MAS,Maria Adelaide Lima de Pinho,efetivo
Aveiro,MAS,Paulo Manuel Carvalho Machado,efetivo
Aveiro,MAS,Zélia Maria Silva Coutinho Branco,efetivo
Aveiro,MAS,Rosinda Helena de Jesus Marta,efetivo
Aveiro,MAS,Paulo Jorge dos Santos Vasconcelos,efetivo
Aveiro,MAS,Arminda Conceição Coutinho Silva Ferreira,suplente
Aveiro,MAS,Rúben Leonardo Martins Silva,suplente
Aveiro,LIVRE,Joana Ferreira Filipe,efetivo
Aveiro,LIVRE,João Quintela Santos,efetivo
Aveiro,LIVRE,Aurora Celeste Coelho e Silva Cerqueira,efetivo
Aveiro,LIVRE,Tiago Daniel Vieira da Cruz,efetivo
Aveiro,LIVRE,Laetitia da Costa,efetivo
Aveiro,LIVRE,Miguel Duarte Gonçalves,efetivo
