Category: All categories

Time,António Costa: (Portugal)
2022-01-05T15,11
2022-01-05T16,14
2022-01-05T17,17
2022-01-05T18,21
2022-01-05T19,24
2022-01-05T20,25
2022-01-05T21,26
2022-01-05T22,17
2022-01-05T23,15
2022-01-06T00,10
2022-01-06T01,9
2022-01-06T02,10
2022-01-06T03,14
2022-01-06T04,13
2022-01-06T05,11
2022-01-06T06,6
2022-01-06T07,9
2022-01-06T08,7
2022-01-06T09,8
2022-01-06T10,8
2022-01-06T11,9
2022-01-06T12,22
2022-01-06T13,42
2022-01-06T14,18
2022-01-06T15,12
2022-01-06T16,10
2022-01-06T17,11
2022-01-06T18,10
2022-01-06T19,13
2022-01-06T20,37
2022-01-06T21,100
2022-01-06T22,81
2022-01-06T23,63
2022-01-07T00,51
2022-01-07T01,44
2022-01-07T02,35
2022-01-07T03,32
2022-01-07T04,28
2022-01-07T05,19
2022-01-07T06,23
2022-01-07T07,26
2022-01-07T08,27
2022-01-07T09,21
2022-01-07T10,20
2022-01-07T11,16
2022-01-07T12,18
2022-01-07T13,27
2022-01-07T14,16
2022-01-07T15,11
2022-01-07T16,12
2022-01-07T17,9
2022-01-07T18,24
2022-01-07T19,13
2022-01-07T20,28
2022-01-07T21,26
2022-01-07T22,17
2022-01-07T23,17
2022-01-08T00,12
2022-01-08T01,9
2022-01-08T02,16
2022-01-08T03,10
2022-01-08T04,1
2022-01-08T05,8
2022-01-08T06,6
2022-01-08T07,7
2022-01-08T08,8
2022-01-08T09,8
2022-01-08T10,9
2022-01-08T11,6
2022-01-08T12,7
2022-01-08T13,12
2022-01-08T14,10
2022-01-08T15,8
2022-01-08T16,5
2022-01-08T17,6
2022-01-08T18,6
2022-01-08T19,6
2022-01-08T20,11
2022-01-08T21,30
2022-01-08T22,10
2022-01-08T23,8
2022-01-09T00,9
2022-01-09T01,11
2022-01-09T02,8
2022-01-09T03,3
2022-01-09T04,7
2022-01-09T05,5
2022-01-09T06,3
2022-01-09T07,5
2022-01-09T08,4
2022-01-09T09,5
2022-01-09T10,7
2022-01-09T11,3
2022-01-09T12,5
2022-01-09T13,14
2022-01-09T14,7
2022-01-09T15,6
2022-01-09T16,7
2022-01-09T17,5
2022-01-09T18,4
2022-01-09T19,5
2022-01-09T20,19
2022-01-09T21,34
2022-01-09T22,13
2022-01-09T23,11
2022-01-10T00,12
2022-01-10T01,12
2022-01-10T02,13
2022-01-10T03,11
2022-01-10T04,5
2022-01-10T05,2
2022-01-10T06,8
2022-01-10T07,3
2022-01-10T08,6
2022-01-10T09,3
2022-01-10T10,5
2022-01-10T11,5
2022-01-10T12,5
2022-01-10T13,9
2022-01-10T14,5
2022-01-10T15,5
2022-01-10T16,3
2022-01-10T17,5
2022-01-10T18,5
2022-01-10T19,5
2022-01-10T20,13
2022-01-10T21,11
2022-01-10T22,9
2022-01-10T23,12
2022-01-11T00,9
2022-01-11T01,2
2022-01-11T02,4
2022-01-11T03,5
2022-01-11T04,3
2022-01-11T05,4
2022-01-11T06,4
2022-01-11T07,4
2022-01-11T08,4
2022-01-11T09,4
2022-01-11T10,5
2022-01-11T11,2
2022-01-11T12,4
2022-01-11T13,9
2022-01-11T14,4
2022-01-11T15,5
2022-01-11T16,3
2022-01-11T17,4
2022-01-11T18,5
2022-01-11T19,7
2022-01-11T20,27
2022-01-11T21,17
2022-01-11T22,14
2022-01-11T23,13
2022-01-12T00,7
2022-01-12T01,8
2022-01-12T02,9
2022-01-12T03,7
2022-01-12T04,5
2022-01-12T05,7
2022-01-12T06,6
2022-01-12T07,7
2022-01-12T08,6
2022-01-12T09,4
2022-01-12T10,5
2022-01-12T11,5
2022-01-12T12,6
2022-01-12T13,8
2022-01-12T14,7
