Category: All categories

Time,Catarina Martins: (Portugal)
2022-01-05T15,7
2022-01-05T16,7
2022-01-05T17,4
2022-01-05T18,6
2022-01-05T19,7
2022-01-05T20,15
2022-01-05T21,100
2022-01-05T22,52
2022-01-05T23,42
2022-01-06T00,35
2022-01-06T01,23
2022-01-06T02,35
2022-01-06T03,17
2022-01-06T04,23
2022-01-06T05,14
2022-01-06T06,13
2022-01-06T07,15
2022-01-06T08,13
2022-01-06T09,9
2022-01-06T10,10
2022-01-06T11,14
2022-01-06T12,12
2022-01-06T13,17
2022-01-06T14,15
2022-01-06T15,9
2022-01-06T16,6
2022-01-06T17,8
2022-01-06T18,9
2022-01-06T19,9
2022-01-06T20,19
2022-01-06T21,19
2022-01-06T22,52
2022-01-06T23,34
2022-01-07T00,36
2022-01-07T01,27
2022-01-07T02,25
2022-01-07T03,20
2022-01-07T04,12
2022-01-07T05,22
2022-01-07T06,9
2022-01-07T07,8
2022-01-07T08,9
2022-01-07T09,13
2022-01-07T10,11
2022-01-07T11,9
2022-01-07T12,11
2022-01-07T13,13
2022-01-07T14,10
2022-01-07T15,7
2022-01-07T16,7
2022-01-07T17,7
2022-01-07T18,8
2022-01-07T19,6
2022-01-07T20,11
2022-01-07T21,14
2022-01-07T22,16
2022-01-07T23,8
2022-01-08T00,9
2022-01-08T01,6
2022-01-08T02,9
2022-01-08T03,7
2022-01-08T04,6
2022-01-08T05,0
2022-01-08T06,0
2022-01-08T07,3
2022-01-08T08,6
2022-01-08T09,4
2022-01-08T10,4
2022-01-08T11,6
2022-01-08T12,5
2022-01-08T13,6
2022-01-08T14,8
2022-01-08T15,7
2022-01-08T16,4
2022-01-08T17,4
2022-01-08T18,6
2022-01-08T19,4
2022-01-08T20,13
2022-01-08T21,12
2022-01-08T22,6
2022-01-08T23,5
2022-01-09T00,7
2022-01-09T01,7
2022-01-09T02,6
2022-01-09T03,0
2022-01-09T04,2
2022-01-09T05,0
2022-01-09T06,0
2022-01-09T07,0
2022-01-09T08,5
2022-01-09T09,2
2022-01-09T10,4
2022-01-09T11,3
2022-01-09T12,5
2022-01-09T13,10
2022-01-09T14,6
2022-01-09T15,4
2022-01-09T16,5
2022-01-09T17,3
2022-01-09T18,2
2022-01-09T19,4
2022-01-09T20,19
2022-01-09T21,16
2022-01-09T22,12
2022-01-09T23,7
2022-01-10T00,10
2022-01-10T01,8
2022-01-10T02,9
2022-01-10T03,8
2022-01-10T04,3
2022-01-10T05,3
2022-01-10T06,2
2022-01-10T07,3
2022-01-10T08,2
2022-01-10T09,2
2022-01-10T10,3
2022-01-10T11,3
2022-01-10T12,1
2022-01-10T13,4
2022-01-10T14,3
2022-01-10T15,1
2022-01-10T16,3
2022-01-10T17,5
2022-01-10T18,11
2022-01-10T19,5
2022-01-10T20,13
2022-01-10T21,8
2022-01-10T22,8
2022-01-10T23,8
2022-01-11T00,9
2022-01-11T01,2
2022-01-11T02,10
2022-01-11T03,11
2022-01-11T04,3
2022-01-11T05,0
2022-01-11T06,5
2022-01-11T07,4
2022-01-11T08,5
2022-01-11T09,2
2022-01-11T10,3
2022-01-11T11,4
2022-01-11T12,4
2022-01-11T13,6
2022-01-11T14,2
2022-01-11T15,3
2022-01-11T16,2
2022-01-11T17,2
2022-01-11T18,5
2022-01-11T19,6
2022-01-11T20,65
2022-01-11T21,42
2022-01-11T22,29
2022-01-11T23,23
2022-01-12T00,16
2022-01-12T01,17
2022-01-12T02,21
2022-01-12T03,15
2022-01-12T04,3
2022-01-12T05,6
2022-01-12T06,10
2022-01-12T07,11
2022-01-12T08,9
2022-01-12T09,7
2022-01-12T10,6
2022-01-12T11,22
2022-01-12T12,7
2022-01-12T13,20
2022-01-12T14,11
