Category: All categories

Time,Francisco Rodrigues dos Santos: (Portugal)
2022-01-05T15,4
2022-01-05T16,1
2022-01-05T17,1
2022-01-05T18,16
2022-01-05T19,10
2022-01-05T20,13
2022-01-05T21,15
2022-01-05T22,12
2022-01-05T23,15
2022-01-06T00,12
2022-01-06T01,13
2022-01-06T02,9
2022-01-06T03,12
2022-01-06T04,3
2022-01-06T05,0
2022-01-06T06,0
2022-01-06T07,2
2022-01-06T08,5
2022-01-06T09,7
2022-01-06T10,4
2022-01-06T11,4
2022-01-06T12,5
2022-01-06T13,7
2022-01-06T14,5
2022-01-06T15,3
2022-01-06T16,2
2022-01-06T17,2
2022-01-06T18,2
2022-01-06T19,3
2022-01-06T20,3
2022-01-06T21,7
2022-01-06T22,5
2022-01-06T23,7
2022-01-07T00,6
2022-01-07T01,5
2022-01-07T02,1
2022-01-07T03,2
2022-01-07T04,0
2022-01-07T05,3
2022-01-07T06,2
2022-01-07T07,0
2022-01-07T08,1
2022-01-07T09,2
2022-01-07T10,2
2022-01-07T11,2
2022-01-07T12,2
2022-01-07T13,5
2022-01-07T14,2
2022-01-07T15,2
2022-01-07T16,2
2022-01-07T17,1
2022-01-07T18,1
2022-01-07T19,2
2022-01-07T20,6
2022-01-07T21,83
2022-01-07T22,19
2022-01-07T23,15
2022-01-08T00,19
2022-01-08T01,13
2022-01-08T02,10
2022-01-08T03,15
2022-01-08T04,9
2022-01-08T05,12
2022-01-08T06,7
2022-01-08T07,6
2022-01-08T08,3
2022-01-08T09,9
2022-01-08T10,7
2022-01-08T11,4
2022-01-08T12,8
2022-01-08T13,11
2022-01-08T14,7
2022-01-08T15,8
2022-01-08T16,4
2022-01-08T17,4
2022-01-08T18,9
2022-01-08T19,3
2022-01-08T20,15
2022-01-08T21,14
2022-01-08T22,6
2022-01-08T23,10
2022-01-09T00,8
2022-01-09T01,5
2022-01-09T02,6
2022-01-09T03,5
2022-01-09T04,2
2022-01-09T05,0
2022-01-09T06,6
2022-01-09T07,4
2022-01-09T08,1
2022-01-09T09,4
2022-01-09T10,6
2022-01-09T11,2
2022-01-09T12,3
2022-01-09T13,12
2022-01-09T14,2
2022-01-09T15,2
2022-01-09T16,2
2022-01-09T17,2
2022-01-09T18,3
2022-01-09T19,2
2022-01-09T20,44
2022-01-09T21,100
2022-01-09T22,19
2022-01-09T23,18
2022-01-10T00,15
2022-01-10T01,13
2022-01-10T02,14
2022-01-10T03,10
2022-01-10T04,6
2022-01-10T05,10
2022-01-10T06,0
2022-01-10T07,6
2022-01-10T08,6
2022-01-10T09,4
2022-01-10T10,5
2022-01-10T11,5
2022-01-10T12,5
2022-01-10T13,11
2022-01-10T14,6
2022-01-10T15,4
2022-01-10T16,4
2022-01-10T17,4
2022-01-10T18,5
2022-01-10T19,3
2022-01-10T20,12
2022-01-10T21,9
2022-01-10T22,30
2022-01-10T23,18
2022-01-11T00,20
2022-01-11T01,13
2022-01-11T02,17
2022-01-11T03,5
2022-01-11T04,0
2022-01-11T05,7
2022-01-11T06,4
2022-01-11T07,7
2022-01-11T08,3
2022-01-11T09,2
2022-01-11T10,3
2022-01-11T11,37
2022-01-11T12,5
2022-01-11T13,15
2022-01-11T14,5
2022-01-11T15,4
2022-01-11T16,4
2022-01-11T17,4
2022-01-11T18,4
2022-01-11T19,4
2022-01-11T20,14
2022-01-11T21,9
2022-01-11T22,6
2022-01-11T23,5
2022-01-12T00,3
2022-01-12T01,5
2022-01-12T02,5
2022-01-12T03,2
2022-01-12T04,3
2022-01-12T05,3
2022-01-12T06,2
2022-01-12T07,2
2022-01-12T08,3
2022-01-12T09,2
2022-01-12T10,3
2022-01-12T11,2
2022-01-12T12,2
2022-01-12T13,3
2022-01-12T14,2
