Category: All categories

Time,Inês Sousa Real: (Portugal)
2022-01-05T15,3
2022-01-05T16,4
2022-01-05T17,5
2022-01-05T18,5
2022-01-05T19,1
2022-01-05T20,6
2022-01-05T21,6
2022-01-05T22,3
2022-01-05T23,5
2022-01-06T00,3
2022-01-06T01,3
2022-01-06T02,0
2022-01-06T03,3
2022-01-06T04,4
2022-01-06T05,0
2022-01-06T06,3
2022-01-06T07,2
2022-01-06T08,1
2022-01-06T09,1
2022-01-06T10,1
2022-01-06T11,<1
2022-01-06T12,2
2022-01-06T13,2
2022-01-06T14,1
2022-01-06T15,1
2022-01-06T16,4
2022-01-06T17,2
2022-01-06T18,1
2022-01-06T19,1
2022-01-06T20,1
2022-01-06T21,3
2022-01-06T22,2
2022-01-06T23,4
2022-01-07T00,2
2022-01-07T01,1
2022-01-07T02,0
2022-01-07T03,0
2022-01-07T04,0
2022-01-07T05,5
2022-01-07T06,0
2022-01-07T07,2
2022-01-07T08,1
2022-01-07T09,1
2022-01-07T10,1
2022-01-07T11,1
2022-01-07T12,2
2022-01-07T13,2
2022-01-07T14,1
2022-01-07T15,<1
2022-01-07T16,2
2022-01-07T17,1
2022-01-07T18,13
2022-01-07T19,4
2022-01-07T20,6
2022-01-07T21,6
2022-01-07T22,13
2022-01-07T23,7
2022-01-08T00,8
2022-01-08T01,5
2022-01-08T02,7
2022-01-08T03,5
2022-01-08T04,4
2022-01-08T05,0
2022-01-08T06,0
2022-01-08T07,0
2022-01-08T08,1
2022-01-08T09,4
2022-01-08T10,2
2022-01-08T11,2
2022-01-08T12,4
2022-01-08T13,4
2022-01-08T14,3
2022-01-08T15,4
2022-01-08T16,3
2022-01-08T17,3
2022-01-08T18,4
2022-01-08T19,2
2022-01-08T20,5
2022-01-08T21,100
2022-01-08T22,12
2022-01-08T23,11
2022-01-09T00,10
2022-01-09T01,15
2022-01-09T02,8
2022-01-09T03,0
2022-01-09T04,8
2022-01-09T05,0
2022-01-09T06,5
2022-01-09T07,3
2022-01-09T08,4
2022-01-09T09,5
2022-01-09T10,5
2022-01-09T11,6
2022-01-09T12,3
2022-01-09T13,7
2022-01-09T14,5
2022-01-09T15,4
2022-01-09T16,3
2022-01-09T17,2
2022-01-09T18,2
2022-01-09T19,1
2022-01-09T20,6
2022-01-09T21,8
2022-01-09T22,4
2022-01-09T23,26
2022-01-10T00,15
2022-01-10T01,10
2022-01-10T02,15
2022-01-10T03,10
2022-01-10T04,15
2022-01-10T05,0
2022-01-10T06,3
2022-01-10T07,5
2022-01-10T08,3
2022-01-10T09,3
2022-01-10T10,2
2022-01-10T11,3
2022-01-10T12,2
2022-01-10T13,10
2022-01-10T14,4
2022-01-10T15,2
2022-01-10T16,3
2022-01-10T17,2
2022-01-10T18,20
2022-01-10T19,8
2022-01-10T20,7
2022-01-10T21,6
2022-01-10T22,5
2022-01-10T23,7
2022-01-11T00,6
2022-01-11T01,0
2022-01-11T02,18
2022-01-11T03,12
2022-01-11T04,11
2022-01-11T05,0
2022-01-11T06,0
2022-01-11T07,3
2022-01-11T08,4
2022-01-11T09,3
2022-01-11T10,4
2022-01-11T11,2
2022-01-11T12,2
2022-01-11T13,8
2022-01-11T14,2
2022-01-11T15,2
2022-01-11T16,4
2022-01-11T17,2
2022-01-11T18,4
2022-01-11T19,4
2022-01-11T20,5
2022-01-11T21,4
2022-01-11T22,3
2022-01-11T23,4
2022-01-12T00,6
2022-01-12T01,3
2022-01-12T02,5
2022-01-12T03,0
2022-01-12T04,0
2022-01-12T05,0
2022-01-12T06,3
2022-01-12T07,3
2022-01-12T08,3
2022-01-12T09,2
2022-01-12T10,3
2022-01-12T11,2
2022-01-12T12,2
2022-01-12T13,3
2022-01-12T14,1
