Category: All categories

Time,Jerónimo de Sousa: (Portugal)
2022-01-05T15,3
2022-01-05T16,2
2022-01-05T17,3
2022-01-05T18,4
2022-01-05T19,6
2022-01-05T20,7
2022-01-05T21,9
2022-01-05T22,3
2022-01-05T23,2
2022-01-06T00,2
2022-01-06T01,3
2022-01-06T02,1
2022-01-06T03,2
2022-01-06T04,5
2022-01-06T05,3
2022-01-06T06,1
2022-01-06T07,0
2022-01-06T08,2
2022-01-06T09,1
2022-01-06T10,2
2022-01-06T11,2
2022-01-06T12,1
2022-01-06T13,2
2022-01-06T14,1
2022-01-06T15,1
2022-01-06T16,1
2022-01-06T17,1
2022-01-06T18,1
2022-01-06T19,1
2022-01-06T20,4
2022-01-06T21,3
2022-01-06T22,3
2022-01-06T23,2
2022-01-07T00,2
2022-01-07T01,2
2022-01-07T02,3
2022-01-07T03,3
2022-01-07T04,1
2022-01-07T05,1
2022-01-07T06,0
2022-01-07T07,0
2022-01-07T08,1
2022-01-07T09,2
2022-01-07T10,1
2022-01-07T11,2
2022-01-07T12,1
2022-01-07T13,1
2022-01-07T14,1
2022-01-07T15,1
2022-01-07T16,1
2022-01-07T17,1
2022-01-07T18,1
2022-01-07T19,1
2022-01-07T20,4
2022-01-07T21,3
2022-01-07T22,3
2022-01-07T23,4
2022-01-08T00,4
2022-01-08T01,2
2022-01-08T02,3
2022-01-08T03,4
2022-01-08T04,1
2022-01-08T05,0
2022-01-08T06,0
2022-01-08T07,1
2022-01-08T08,1
2022-01-08T09,<1
2022-01-08T10,1
2022-01-08T11,1
2022-01-08T12,1
2022-01-08T13,2
2022-01-08T14,2
2022-01-08T15,1
2022-01-08T16,2
2022-01-08T17,1
2022-01-08T18,2
2022-01-08T19,2
2022-01-08T20,6
2022-01-08T21,3
2022-01-08T22,1
2022-01-08T23,2
2022-01-09T00,1
2022-01-09T01,2
2022-01-09T02,1
2022-01-09T03,1
2022-01-09T04,0
2022-01-09T05,0
2022-01-09T06,0
2022-01-09T07,1
2022-01-09T08,0
2022-01-09T09,<1
2022-01-09T10,<1
2022-01-09T11,1
2022-01-09T12,1
2022-01-09T13,8
2022-01-09T14,1
2022-01-09T15,1
2022-01-09T16,1
2022-01-09T17,1
2022-01-09T18,1
2022-01-09T19,1
2022-01-09T20,9
2022-01-09T21,4
2022-01-09T22,3
2022-01-09T23,3
2022-01-10T00,2
2022-01-10T01,1
2022-01-10T02,1
2022-01-10T03,3
2022-01-10T04,0
2022-01-10T05,2
2022-01-10T06,1
2022-01-10T07,1
2022-01-10T08,<1
2022-01-10T09,1
2022-01-10T10,1
2022-01-10T11,1
2022-01-10T12,1
2022-01-10T13,1
2022-01-10T14,1
2022-01-10T15,1
2022-01-10T16,1
2022-01-10T17,<1
2022-01-10T18,2
2022-01-10T19,1
2022-01-10T20,6
2022-01-10T21,1
2022-01-10T22,2
2022-01-10T23,2
2022-01-11T00,1
2022-01-11T01,1
2022-01-11T02,1
2022-01-11T03,1
2022-01-11T04,2
2022-01-11T05,2
2022-01-11T06,0
2022-01-11T07,0
2022-01-11T08,1
2022-01-11T09,1
2022-01-11T10,29
2022-01-11T11,57
2022-01-11T12,68
2022-01-11T13,100
2022-01-11T14,44
2022-01-11T15,35
2022-01-11T16,34
2022-01-11T17,43
2022-01-11T18,40
2022-01-11T19,52
2022-01-11T20,92
2022-01-11T21,40
2022-01-11T22,36
2022-01-11T23,32
2022-01-12T00,31
2022-01-12T01,24
2022-01-12T02,19
2022-01-12T03,11
2022-01-12T04,21
2022-01-12T05,20
2022-01-12T06,29
2022-01-12T07,37
2022-01-12T08,32
2022-01-12T09,25
2022-01-12T10,14
2022-01-12T11,15
2022-01-12T12,15
2022-01-12T13,32
2022-01-12T14,13
