Category: All categories

Time,Rui Rio: (Portugal)
2022-01-05T15,6
2022-01-05T16,8
2022-01-05T17,4
2022-01-05T18,8
2022-01-05T19,8
2022-01-05T20,21
2022-01-05T21,100
2022-01-05T22,70
2022-01-05T23,59
2022-01-06T00,43
2022-01-06T01,35
2022-01-06T02,46
2022-01-06T03,28
2022-01-06T04,28
2022-01-06T05,18
2022-01-06T06,17
2022-01-06T07,15
2022-01-06T08,19
2022-01-06T09,19
2022-01-06T10,23
2022-01-06T11,20
2022-01-06T12,19
2022-01-06T13,22
2022-01-06T14,18
2022-01-06T15,13
2022-01-06T16,10
2022-01-06T17,11
2022-01-06T18,11
2022-01-06T19,13
2022-01-06T20,17
2022-01-06T21,28
2022-01-06T22,27
2022-01-06T23,32
2022-01-07T00,20
2022-01-07T01,23
2022-01-07T02,12
2022-01-07T03,11
2022-01-07T04,19
2022-01-07T05,15
2022-01-07T06,3
2022-01-07T07,8
2022-01-07T08,9
2022-01-07T09,7
2022-01-07T10,4
2022-01-07T11,8
2022-01-07T12,9
2022-01-07T13,7
2022-01-07T14,8
2022-01-07T15,10
2022-01-07T16,17
2022-01-07T17,16
2022-01-07T18,14
2022-01-07T19,16
2022-01-07T20,36
2022-01-07T21,73
2022-01-07T22,38
2022-01-07T23,39
2022-01-08T00,39
2022-01-08T01,36
2022-01-08T02,27
2022-01-08T03,36
2022-01-08T04,20
2022-01-08T05,19
2022-01-08T06,21
2022-01-08T07,11
2022-01-08T08,13
2022-01-08T09,18
2022-01-08T10,12
2022-01-08T11,15
2022-01-08T12,11
2022-01-08T13,30
2022-01-08T14,16
2022-01-08T15,16
2022-01-08T16,12
2022-01-08T17,10
2022-01-08T18,12
2022-01-08T19,10
2022-01-08T20,50
2022-01-08T21,55
2022-01-08T22,29
2022-01-08T23,25
2022-01-09T00,27
2022-01-09T01,14
2022-01-09T02,17
2022-01-09T03,23
2022-01-09T04,12
2022-01-09T05,4
2022-01-09T06,3
2022-01-09T07,4
2022-01-09T08,9
2022-01-09T09,15
2022-01-09T10,17
2022-01-09T11,10
2022-01-09T12,13
2022-01-09T13,29
2022-01-09T14,16
2022-01-09T15,10
2022-01-09T16,10
2022-01-09T17,8
2022-01-09T18,6
2022-01-09T19,7
2022-01-09T20,19
2022-01-09T21,22
2022-01-09T22,19
2022-01-09T23,12
2022-01-10T00,11
2022-01-10T01,22
2022-01-10T02,16
2022-01-10T03,5
2022-01-10T04,4
2022-01-10T05,8
2022-01-10T06,11
2022-01-10T07,1
2022-01-10T08,5
2022-01-10T09,4
2022-01-10T10,6
2022-01-10T11,7
2022-01-10T12,4
2022-01-10T13,11
2022-01-10T14,7
2022-01-10T15,5
2022-01-10T16,6
2022-01-10T17,5
2022-01-10T18,8
2022-01-10T19,11
2022-01-10T20,17
2022-01-10T21,96
2022-01-10T22,52
2022-01-10T23,46
2022-01-11T00,42
2022-01-11T01,34
2022-01-11T02,23
2022-01-11T03,21
2022-01-11T04,17
2022-01-11T05,21
2022-01-11T06,19
2022-01-11T07,14
2022-01-11T08,12
2022-01-11T09,11
2022-01-11T10,12
2022-01-11T11,13
2022-01-11T12,12
2022-01-11T13,20
2022-01-11T14,13
2022-01-11T15,11
2022-01-11T16,8
2022-01-11T17,10
2022-01-11T18,10
2022-01-11T19,12
2022-01-11T20,25
2022-01-11T21,14
2022-01-11T22,15
2022-01-11T23,14
2022-01-12T00,9
2022-01-12T01,9
2022-01-12T02,4
2022-01-12T03,14
2022-01-12T04,12
2022-01-12T05,12
2022-01-12T06,7
2022-01-12T07,8
2022-01-12T08,9
2022-01-12T09,7
2022-01-12T10,3
2022-01-12T11,5
2022-01-12T12,9
2022-01-12T13,12
2022-01-12T14,6
