Category: All categories

Region,"António Costa: (1/5/22, 2:43 PM - 1/12/22, 2:43 PM)"
Lisbon,100
Setubal,96
Guarda District,92
Vila Real District,91
Portalegre District,88
Évora District,87
Coimbra District,86
Viseu District,83
Braga,81
Castelo Branco District,80
Porto District,78
Santarém District,77
Aveiro District,76
Viana do Castelo District,75
Leiria District,72
Bragança District,63
Faro District,63
Beja District,62
Azores,57
Madeira,28
Category: All categories

Region,"André Ventura: (1/5/22, 2:49 PM - 1/12/22, 2:49 PM)"
Lisbon,100
Coimbra District,88
Évora District,84
Setubal,79
Guarda District,79
Santarém District,78
Vila Real District,78
Beja District,73
Viseu District,73
Braga,73
Porto District,73
Castelo Branco District,71
Leiria District,71
Viana do Castelo District,70
Portalegre District,64
Aveiro District,63
Faro District,62
Bragança District,59
Azores,53
Madeira,32
Category: All categories

Region,"Catarina Martins: (1/5/22, 2:46 PM - 1/12/22, 2:46 PM)"
Coimbra District,100
Viseu District,96
Lisbon,89
Porto District,87
Braga,84
Santarém District,81
Setubal,81
Vila Real District,77
Viana do Castelo District,77
Évora District,76
Leiria District,75
Aveiro District,74
Guarda District,74
Castelo Branco District,71
Beja District,66
Portalegre District,55
Bragança District,49
Faro District,49
Azores,47
Madeira,25
Category: All categories

Region,"Francisco Rodrigues dos Santos: (1/5/22, 2:50 PM - 1/12/22, 2:50 PM)"
Castelo Branco District,100
Guarda District,100
Coimbra District,95
Lisbon,92
Évora District,88
Santarém District,87
Porto District,77
Viana do Castelo District,76
Viseu District,74
Vila Real District,72
Braga,72
Leiria District,68
Setubal,67
Aveiro District,66
Portalegre District,60
Bragança District,60
Faro District,51
Beja District,49
Azores,38
Madeira,24
Category: All categories

Region,"Inês Sousa Real: (1/5/22, 2:47 PM - 1/12/22, 2:47 PM)"
Santarém District,100
Lisbon,97
Setubal,88
Coimbra District,87
Évora District,86
Aveiro District,79
Porto District,68
Viseu District,67
Braga,63
Leiria District,56
Faro District,54
Castelo Branco District,
Beja District,
Guarda District,
Vila Real District,
Portalegre District,
Bragança District,
Azores,
Viana do Castelo District,
Madeira,
Category: All categories

Region,"joao cotrim figueiredo: (1/5/22, 2:41 PM - 1/12/22, 2:41 PM)"
Coimbra District,100
Porto District,91
Lisbon,90
Santarém District,77
Aveiro District,69
Braga,68
Setubal,63
Leiria District,60
Faro District,46
Castelo Branco District,
Guarda District,
Viseu District,
Portalegre District,
Vila Real District,
Viana do Castelo District,
Évora District,
Azores,
Beja District,
Bragança District,
Madeira,
Category: All categories

Region,"Jerónimo de Sousa: (1/5/22, 2:48 PM - 1/12/22, 2:48 PM)"
Évora District,100
Coimbra District,86
Lisbon,86
Beja District,80
Setubal,77
Porto District,76
Castelo Branco District,74
Santarém District,66
Guarda District,64
Braga,63
Viseu District,63
Leiria District,61
Vila Real District,60
Portalegre District,60
Viana do Castelo District,59
Aveiro District,56
Bragança District,52
Faro District,46
Azores,43
Madeira,22
Category: All categories

Region,"Rui Rio: (1/5/22, 2:46 PM - 1/12/22, 2:46 PM)"
Porto District,100
Viseu District,100
Braga,90
Vila Real District,89
Viana do Castelo District,88
Coimbra District,88
Lisbon,85
Aveiro District,84
Bragança District,82
Castelo Branco District,79
Guarda District,79
Leiria District,69
Setubal,69
Santarém District,64
Portalegre District,62
Évora District,60
Beja District,50
Faro District,50
Azores,43
Madeira,32
Category: All categories

Region,"Rui Tavares: (1/5/22, 2:42 PM - 1/12/22, 2:42 PM)"
Lisbon,100
Coimbra District,97
Leiria District,82
Setubal,82
Porto District,82
Braga,76
Viana do Castelo District,76
Santarém District,74
Guarda District,74
Viseu District,74
Évora District,72
Vila Real District,69
Castelo Branco District,67
Aveiro District,64
Bragança District,55
Beja District,50
Portalegre District,49
Faro District,49
Azores,37
Madeira,32
