Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Camilo Lourenço,ACorDoDinheiroCL,917329228367601,ACTIVITY_GENERAL,PT,"Economia de todos, para todos.",2016-12-30 11:04:54,209623,307003,2022-01-07 08:01:38 WET,2022-01-07,08:01:38,Live Video Complete,"17,152",9825,2802,3178,1164,17,46,23,57,40,owned,Yes,57623,72791,0,00:29:21,https://www.facebook.com/917329228367601/posts/1096132564483473,"Antes da ordem do dia: Quer saber como se ultrapassa o problema da receita fiscal com a flat tax?😉 Apoiantes do hacker Rui Pinto… ainda estão por aí?😂 *Quer saber como é que o primeiro-ministro gasta os seus impostos? Veja a manchete do Expresso…🤬 1 - António Costa não tem jeito para campanha eleitoral. Entrou nervoso, tenso, no debate com Ventura👎🤢 2 - E tentou fazer o jogo de Ventura. Correu mal: ataques pessoais, não apresentou uma ideia, levou sopa na corrupção, levou sopa na carga fiscal, levou sopa no SNS, levou sopa na pobreza, levou sopa na Justiça, levou sopa na colagem a Sócrates…😁😨 3 - Houve um ponto que mostrou que Costa quis fazer jogada baixa: o pormenor do consultor fiscal. Um desastre😂😁 4 - Há um pormenor que mostra que Costa se sentiu mal com o debate que fez: a entrevista final à RTP🤢🤮 5 - André Ventura cometeu um erro: não explicou que os países que nos ultrapassaram nos últimos anos têm flat tax🤬🤬 6 - Esta imagem vai ficar na cabeça de muita gente…🤔😵‍💫 7 - Lembra-se deste video?😱😱 8 - O debate Catarina - Cotrim Figueiredo: muita macieza… 9 - Sabe qual é o resumo do debate de Catarina? Mais 18 mil profissionais para o SNS. E o custo? “É o que tiver de ser”. Como?🤬🤬 Nota: Este canal tem uma parceria com a Prozis o que lhe dá acesso a descontos privilegiados. Assim, de 3/1/2022 até 9/1/2022 se usar o cupão CAMILO no checkout da sua encomenda no site da Prozis. Tem ainda 10% de desconto direto sobre tudo aquilo que comprar. Em compras de 35€ - Oferta de: Peanut butter creamy (salty) Em compras de 70€ - escolhe 1 suplemento: Vitamin K2-MK7 200mcg 60 caps Vitamin D3 800IU 120 softgels Vitamin C 1000 mg + Rose Hip 120 tabs Red Yeast Rice 2400 mg 120 caps Omega 3 EPA Plus 90 Softgels",https://www.facebook.com/ACorDoDinheiroCL/videos/1096132564483473/,,,,,,,,"17,152",1.67
Camilo Lourenço,ACorDoDinheiroCL,917329228367601,ACTIVITY_GENERAL,PT,"Economia de todos, para todos.",2016-12-30 11:04:54,209464,306820,2022-01-03 08:00:54 WET,2022-01-03,08:00:54,Live Video Complete,"13,734",8916,2055,1643,954,18,47,21,51,29,owned,Yes,60663,70677,0,00:28:59,https://www.facebook.com/917329228367601/posts/3003702799958727,"Antes da ordem do dia: O hacking dos sites do grupo Impresa🤭 O caos continua nos aeroportos…🙄 A Ikea vai aumentar preços em 9%😳 UE quer pôr gás e nuclear na lista de energias verdes: a divergência entre Alemanha e França😂 Constâncio nos 20 anos do Euro…😂 O discurso de Ano Novo do Presidente da República🙄 1 - O fundo para capitalizar empresas tem um limite de 10 milhões por empresa. Falta dinheiro ao governo…🤮🤢 2 - No total são 1,3 mil milhões. Mas só arranca com 320 milhões. Falta dinheiro ao governo…🤬😳 3 - Falta dinheiro ao governo. Sabe onde está? Na TAP. E na Efacec. E na CP…😱😨 4 - Os debates para as legislativas: um Costa que não sabe debater e um André Ventura que encostou Catarina Martins às cordas😉🤔 - Costa vs Tavares - olho para ti e vejo o Rio… - Catarina vs André - garras de fora, de lado a lado… “Discos riscados”, “mentirosos”, “condenados por racismo”, “boa atriz”… Catarina citando o Papa Francisco?😂 5 - Um grupo de 31 personalidades quer nova união das esquerdas. em prol do Estado social. Hummm…! - A esquerda está com medo da direita? - Não se distribui o que não se cria… - O que esta gente quer é o ter EStado no centro de tudo - veja o aumento do salário mínimo… 6 - O primeiro-ministro assinalou ontem a subida do salário mínimo para 705 euros. Pois, com o Estado a gastar 92 milhões do contribuinte…🤬👎 7 - Como 25% dos portugueses ganham o salário mínimo, isto vem mesmo a calhar para as eleições… Capice?!😉🤭 8 - Frase da semana: “A ministra não fez nada pelos funcionários judiciais”. António Marçal, presidente do sindicato dos funcionários judiciais. Como? E eu que pensava que a ministra era… ministra da Justiça de todos os portugueses Nota: Este canal tem uma parceria com a Prozis o que lhe dá acesso a descontos privilegiados. Assim, de 3/1/2022 até 9/1/2022 se usar o cupão CAMILO no checkout da sua encomenda no site da Prozis. Tem ainda 10% de desconto direto sobre tudo aquilo que comprar. Em compras de 35€ - Oferta de: Peanut butter creamy (salty) Em compras de 70€ - escolhe 1 suplemento: Vitamin K2-MK7 200mcg 60 caps Vitamin D3 800IU 120 softgels Vitamin C 1000 mg + Rose Hip 120 tabs Red Yeast Rice 2400 mg 120 caps Omega 3 EPA Plus 90 Softgels",https://www.facebook.com/ACorDoDinheiroCL/videos/3003702799958727/,,,,,,,,"13,734",1.32
Camilo Lourenço,ACorDoDinheiroCL,917329228367601,ACTIVITY_GENERAL,PT,"Economia de todos, para todos.",2016-12-30 11:04:54,209506,306882,2022-01-04 08:01:06 WET,2022-01-04,08:01:06,Live Video Complete,"13,441",8662,2292,1528,822,25,22,24,38,28,owned,Yes,49105,54536,0,00:26:22,https://www.facebook.com/917329228367601/posts/897122131006275,"Antes da ordem do dia: A cena de tiros à porta do quartel dos Bombeiros da Ajuda😱 Governo deixa em aberto a reavaliação do período de isolamento🙄 as mortes entre os não vacinados é 7 vezes superior à dos vacinados, dizia bastonário da Ordem dos Médicos🤔 290 mil de um total de 600 mil crianças estão vacinadas. Erro dos pais ou do governo?👎 *Afinal o Chega vai para o governo ou não?😉 1 - O programa do PS e a chuva de promessas eleitorais…:😂😵‍💫 - Salário mínimo nos 900 euros - As empresas aguentam? - Contratar professores… - Fixar médicos… - Subir salário médio… 2 - António Costa quer maioria absoluta. Para quê? Ainda não explicou ao que vem…🙄😨 3 - Lembra-se de quando Costa dizia que os portugueses têm má memória das maiorias absolutas? Estava a falar de Sócrates? 😉🤬 4 - As aulas vão recomeçar no dia 10, diz o Secretário de Estado. O que levou a esta decisão?🤔🧐 5 - Os professores vão ser vacinados em massa? Porquê em massa? 6 - Os debates das eleições - Rio vs Ventura: - aposta na moralização (Ventura): os subsídios, os Mercedes à porta… - o ventura ao ataque, Rio à defesa - não pode haver políticos pesos a receber 3 mil euros - body language de Rio - não há mão de-obra em certos setores PPT as pessoas vivem de subsídios - Ventura - Rio quer ser vice de Costa. Eu não quero ser vice de ninugém - Rio não fechou a porta a conversas depois de dia 30 (veja-se a admissão da fiscalização à subsidiodependência) - Chega no governo? Não! - Rio falhou numa coisa - não conseguiu apelar ao voto útil - A não descolagem entre Rio e Ventura vai ser usada por outros partidos - As pensões de reforma são intocáveis - posição comum aos dois Nota: Este canal tem uma parceria com a Prozis o que lhe dá acesso a descontos privilegiados. Assim, de 3/1/2022 até 9/1/2022 se usar o cupão CAMILO no checkout da sua encomenda no site da Prozis. Tem ainda 10% de desconto direto sobre tudo aquilo que comprar. Em compras de 35€ - Oferta de: Peanut butter creamy (salty) Em compras de 70€ - escolhe 1 suplemento: Vitamin K2-MK7 200mcg 60 caps Vitamin D3 800IU 120 softgels Vitamin C 1000 mg + Rose Hip 120 tabs Red Yeast Rice 2400 mg 120 caps Omega 3 EPA Plus 90 Softgels",https://www.facebook.com/ACorDoDinheiroCL/videos/897122131006275/,,,,,,,,"13,441",1.29
Camilo Lourenço,ACorDoDinheiroCL,917329228367601,ACTIVITY_GENERAL,PT,"Economia de todos, para todos.",2016-12-30 11:04:54,209572,306958,2022-01-06 08:00:13 WET,2022-01-06,08:00:13,Live Video Complete,"12,158",7710,2209,1303,794,14,29,23,49,27,owned,Yes,44755,49483,0,00:26:22,https://www.facebook.com/917329228367601/posts/522451448819555,"Antes da ordem do dia: A violência contra um agente da Polícia Municipal😱 A saída de um governante de Sócrates da Galp🤔 Moedas vai manter o programa de Renda Acessivel?😱 O governo já fala da vacina de reforço nos jovens sem ter resolvido o problema da primeira vacinação😂 Afinal as autoridades já sabem o que valem as vacinas para a Ómicron?🧐 *Que interesse tem a prisão perpétua para a vida dos portugueses? Ontem um debate perdeu quase 5 minutos a falar disto🤬 1 - Hoje começamos pelos debates… e pela demagogia de Catarina Martins…😉😵‍💫 2 - Mas se o SNS é assim tão bom, porque é que João Semedo recorreu tanto à CUF Porto no fim da sua vida?😳🙄 3 - O Secretário de Estado da Saúde diz que as aulas são para começar no dia 10. António Costa diz que não sabe😱😱 4 - Está a ver a confusão que vai no governo?🤮🤢 5 - Mas quer mais? As crianças já não ficam em isolamento. Quer mais? No dia de eleição não há isolamento?🤬😱 6 - Como é que os portugueses hão-de confiar no que lhes dizem?😱😨 7 - E parece que ontem a miserável política de comunicação da Saúde fez estragos no Infarmed…😉🙄 8 - Voltemos aos debates: Chicão vs Cotrim Figueiredo - direita à chapada Catarina vs Rio - Catarina bateu Rio Ventura vs Tavares - Ventura ganhou Nota: Este canal tem uma parceria com a Prozis o que lhe dá acesso a descontos privilegiados. Assim, de 3/1/2022 até 9/1/2022 se usar o cupão CAMILO no checkout da sua encomenda no site da Prozis. Tem ainda 10% de desconto direto sobre tudo aquilo que comprar. Em compras de 35€ - Oferta de: Peanut butter creamy (salty) Em compras de 70€ - escolhe 1 suplemento: Vitamin K2-MK7 200mcg 60 caps Vitamin D3 800IU 120 softgels Vitamin C 1000 mg + Rose Hip 120 tabs Red Yeast Rice 2400 mg 120 caps Omega 3 EPA Plus 90 Softgels",https://www.facebook.com/ACorDoDinheiroCL/videos/522451448819555/,,,O Bloco defende o SNS. Mas vai a hospitais privados,,,,,"12,158",1.18
André Ventura,AndreAmaralVentura,101269364554956,POLITICIAN,PT,"Portugal precisa de uma 4ª República! Só acordando os portugueses e trabalhando juntos poderemos ter sucesso neste desafio.

Não podemos desistir, nem perder a esperança. Venha connosco reerguer Portugal!",2019-07-29 14:29:26,153996,173957,2022-01-08 13:44:19 WET,2022-01-08,13:44:19,Photo,"9,433",6780,805,797,962,3,22,4,6,54,,-,0,0,0,N/A,https://www.facebook.com/101269364554956/posts/649894623025758,"Não desistirei disto: violadores, pedófilos e homicidas não se continuarão a sentir impunes em Portugal!",https://www.facebook.com/AndreAmaralVentura/photos/a.125033022178590/649894583025762/?type=3,,OBSERVADOR Sondagem Observador/TVI Observador/TVI/Pitagórica. Quase metade dos portugueses concorda com Ventura e defende o regresso da prisão perpétua,,,,,,"9,433",3.76
André Ventura,AndreAmaralVentura,101269364554956,POLITICIAN,PT,"Portugal precisa de uma 4ª República! Só acordando os portugueses e trabalhando juntos poderemos ter sucesso neste desafio.

Não podemos desistir, nem perder a esperança. Venha connosco reerguer Portugal!",2019-07-29 14:29:26,153747,173709,2022-01-04 19:23:02 WET,2022-01-04,19:23:02,Photo,"6,981",5269,758,370,499,3,23,4,5,50,,-,0,0,0,N/A,https://www.facebook.com/101269364554956/posts/647648073250413,Rui Rio nunca mostrou onde é que o CHEGA é radical ou perigoso para a democracia. Dá a ideia que é ele e o PSD que querem ir para o Governo para deixar tudo na mesma. Ontem ficou clara a importância de votar CHEGA no dia 30 de Janeiro!,https://www.facebook.com/AndreAmaralVentura/photos/a.125033022178590/647648033250417/?type=3,,SiC RUI RIO 02:21 PSD 00:37 CHEGA ANDRÉ VENTURA,,,,,,"6,981",2.58
André Ventura,AndreAmaralVentura,101269364554956,POLITICIAN,PT,"Portugal precisa de uma 4ª República! Só acordando os portugueses e trabalhando juntos poderemos ter sucesso neste desafio.

Não podemos desistir, nem perder a esperança. Venha connosco reerguer Portugal!",2019-07-29 14:29:26,153927,173894,2022-01-07 08:27:49 WET,2022-01-07,08:27:49,Link,"6,184",4205,919,291,626,2,91,2,3,45,,-,0,0,0,N/A,https://www.facebook.com/101269364554956/posts/649178536430700,"Depois deste debate,o primeiro-ministro certamente já ligou à Procuradoria-Geral da República e disse :isto é inadmissível, o Chega tem de ser ilegalizado, o André Ventura tem de ser constituído arguido e preso. Mesmo que assim seja, os portugueses já estão a abrir os olhos! E lutar por Portugal vai valer a pena!",https://www.sabado.pt/portugal/detalhe/costa-atacou-e-atacou-mas-acabou-encostado-as-cordas-por-ventura,,,"Debate. Costa atacou e atacou, mas acabou encostado às cordas por Ventura","António Costa levava a estratégia estudada: atacar o programa do Chega! e pôr André Ventura à defesa. A espaços conseguiu fazê-lo, mas geriu mal o tempo do debate e acabou a ouvir um mini-comício sobre os pecados capitais do PS na justiça e na corrupção.",,,,"6,184",3.77
André Ventura,AndreAmaralVentura,101269364554956,POLITICIAN,PT,"Portugal precisa de uma 4ª República! Só acordando os portugueses e trabalhando juntos poderemos ter sucesso neste desafio.

Não podemos desistir, nem perder a esperança. Venha connosco reerguer Portugal!",2019-07-29 14:29:26,153854,173827,2022-01-06 17:47:52 WET,2022-01-06,17:47:52,Photo,"5,246",3424,1069,183,459,5,32,1,3,70,,-,0,0,0,N/A,https://www.facebook.com/101269364554956/posts/648834083131812,Hoje é o dia pelo qual esperámos tanto tempo! Às 21h na RTP1. Até já!,https://www.facebook.com/AndreAmaralVentura/photos/a.125033022178590/648834039798483/?type=3,,,Photos from André Ventura's post,,,,,"5,246",2
André Ventura,AndreAmaralVentura,101269364554956,POLITICIAN,PT,"Portugal precisa de uma 4ª República! Só acordando os portugueses e trabalhando juntos poderemos ter sucesso neste desafio.

Não podemos desistir, nem perder a esperança. Venha connosco reerguer Portugal!",2019-07-29 14:29:26,153703,173658,2022-01-03 12:45:07 WET,2022-01-03,12:45:07,Link,"4,327",3098,563,209,382,4,39,0,3,29,,-,0,0,0,N/A,https://www.facebook.com/101269364554956/posts/646893466659207,"Foi um debate fácil. O Bloco quer falar de corrupção, mas votou contra as propostas do CHEGA para duplicar as penas. Quer pôr os portugueses a pagar mais impostos, mas eles próprios não pagam esses impostos! A hipocrisia habitual, agora desmascarada! https://cnnportugal.iol.pt/videos/andre-ventura-para-catarina-martins-o-be-quer-inundar-os-portugueses-de-imi-mas-voces-nao-pagam/61d2310c0cf2cc58e7daaa99",https://cnnportugal.iol.pt/videos/andre-ventura-para-catarina-martins-o-be-quer-inundar-os-portugueses-de-imi-mas-voces-nao-pagam/61d2310c0cf2cc58e7daaa99,,,"André Ventura para Catarina Martins: ""O BE quer inundar os portugueses de IMI, mas vocês não pagam""","André Ventura diz ter apresentado mais de 150 propostas no Parlamento e acusa o Bloco de Esquerda de ""virar as costas"" no combate à corrupção. O presidente do Chega foi mais longe e aponta que o BE é o quarto partido com maior património imobiliário: ""E sabe quanto paga de IMI? Zero"". Em resp...",,,,"4,327",2.64
André Ventura,AndreAmaralVentura,101269364554956,POLITICIAN,PT,"Portugal precisa de uma 4ª República! Só acordando os portugueses e trabalhando juntos poderemos ter sucesso neste desafio.

Não podemos desistir, nem perder a esperança. Venha connosco reerguer Portugal!",2019-07-29 14:29:26,153784,173748,2022-01-05 12:20:45 WET,2022-01-05,12:20:45,Photo,"4,296",2073,911,177,85,10,947,21,22,50,,-,0,0,0,N/A,https://www.facebook.com/101269364554956/posts/648053633209857,"Ahhhh o primeiro-ministro ficou muito incomodado com a questão da prisão perpétua e dos privilégios de algumas minorias! E já anunciou que vai ser muito mau comigo no debate de amanhã! Sem medo, ali o enfrentarei!",https://www.facebook.com/AndreAmaralVentura/photos/a.125033022178590/648053606543193/?type=3,,"CNN PORTUGAL Política DIRETO EHERSED T DECISÃO 22 o calendário dos debates na TV nestas Leg ""Foi penoso, fiquei boquiaberto"": breve exclusivo CNN em que António Costa arrasa Rio e anuncia o que vai dizer a Ventura Há 3h e 21min",,,,,,"4,296",1.62
