Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Iniciativa Liberal,iniciativaliberal,282717852317261,POLITICAL_PARTY,PT,"Partido Iniciativa Liberal. Mais Liberdade Política, Social e Económica. Juntos somos alternativa por um Portugal Mais Liberal.",2018-08-22 19:59:20,105114,116817,2022-01-05 15:25:23 WET,2022-01-05,15:25:23,Photo,887,709,105,52,12,0,7,1,0,1,,-,0,0,0,N/A,https://www.facebook.com/282717852317261/posts/978324029423303,🔴🔵 O kick-off dos debates da Iniciativa Liberal é hoje 📺 RTP3 - 18:15 💥 João Cotrim Figueiredo vs Francisco Rodrigues dos Santos 📈 O FUTURO É LIBERAL #PortugalMaisLiberal,https://www.facebook.com/iniciativaliberal/photos/a.292960941292952/978323936089979/?type=3,,"RTP3 DEBATE HOJE, 18h15 20ਾ João Cotrim Figueiredo Francisco Rodrigues dos Santos iniciativa liberal PREPARADOS",,,,,,887,-1.12
Caça & Cães de Caça,cacaecaesdecaca,239802256185670,COMMUNITY,PT,A revista onde todos os meses encontrará os melhores artigos de Caça Menor e Caça Maior. Sempre acompanhada por um DVD com emocionantes lances de caça.,2013-11-28 14:29:51,7320,7583,2022-01-06 18:38:03 WET,2022-01-06,18:38:03,Photo,848,470,130,180,66,0,1,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/239802256185670/posts/2049856691846875,"Um texto de Maria Carvalho Vacas, que partilhamos com todos os nossos leitores: Carta aberta ao PAN: Senhora deputada Inês de Sousa Real, estou estupefacta, com as suas intervenções, no debate frente a frente com o Senhor Presidente do CDS Francisco Rodrigues dos Santos. PAN vs CDS. A Sra. deputada e o seu partido ODEIAM pessoas. São verdadeiros terroristas, no sentido literal da palavra e tem apenas como objetivo a destruição da economia, do ambiente, dos animais, das pessoas e são um atentado a Portugal e aos portugueses, com particularidade ao mundo rural, que tão chicoteado foi. Fiquei angustiada, ofendida e sentida com cada palavra disparatada que a Sra. ousou referir para delinear o seu pensamento acerca dos objetivos que propõe e daquilo que defende. É importante sermos claros e racionais, e como tal não me consigo conter e tenho de passar, o transtorno que me causou para entre linhas. Fiquei assustada e temo este ideal de sociedade, IRREAL que nos coloca á frente dos olhos, e todo este discurso ANTAGÓNICO, fez-me questionar se estaremos a habitar no mesmo planeta. A sério. Ora então peguemos nesta caricata frase, dita por si, no decorrer do debate: “A caça é uma das atividades humanas que mais coloca pressão sobre as espécies e a proteção da biodiversidade.” (Um pequeno parênteses, só para a enquadrar) - (O meu pai, Nuno Carvalho Vacas, é gestor cinegético e talvez um dos senhores que neste país mais lida e trabalha com caça diariamente, dedica a sua atividade profissional e pessoal a esta nobre e relevante atividade. Ao longo dos anos desenvolveu um papel de grande relevância para a preservação das espécies cinegéticas e trabalha diariamente no progresso e na evolução positiva das zonas de caça pelas quais é responsável, no nosso país). Eu Maria, uma miúda de 16 anos, convivo diariamente com esta realidade, com a dureza que é esta vida do campo, da paixão que se tem pelo trabalho e da dedicação que os verdadeiros protetores e amantes do mundo rural tem no seu dia a dia por esta vida, que eu muitas vezes já coloquei em causa e me atrevi a dizer que era loucura. A caça é a atividade que mais defende a biodiversidade e as espécies. Isto é muito simples de justificar. O caçador é o único “maluco” que se levanta a um quarto para as seis da manhã, ao fim de semana, a pagar (maioritariamente), veste as calças, a camisa e de seguida calça as botas, faça muita ou pouca chuva, faça muito ou pouco sol, pega nos seus amados e prestáveis cães, e segue viagem,… chega ao campo, pode ver muita caça ou nenhuma, pode nem levar cartuchos, até se esquecer de levar a arma… é o melhor dia da semana… vá-se lá perceber esta paixão… O tiro é apenas uma consequência do ato de disparar, mas a caça não se reduz a esse preciso ato. O dia da caçada começa nos meses antes, quando os comedouros e bebedouros são abastecidos, quando os predadores são abatidos, quando alguém decide investir, criar e trabalhar para garantir as melhores condições para a caça ali se instalar… O convívio, o olhar apaixonado, o respirar deste ar, o caminhar pelo terreno molhado, ver os cães a caçar, as peças de caça a fintar, a paisagem e a natureza a acolher, uma manhã que está a começar e o sol que teima em espreitar,… Para terminar, vai tudo almoçar… sabe Sra. deputada, quantos restaurantes estão vivos na província, devido a este terminar de uma manhã de caça - MUITOS. Mas a Sra. refere que esta atividade “ em nada contribui, ou melhor, que só dá prejuízo “ mas todos os fins de semana, enchem as suas salas para estes senhores caçadores alimentar e com isto proporciona-se o desenvolvimento das áreas rurais, a criação de emprego e a fixação de população. Mas isso pouco lhe deve interessar. Sabe Sra. deputada nunca serei capaz de a esclarecer ou de chegar a um consenso sobre o que é amar verdadeiramente pessoas, animais e natureza. Talvez a Sra. só entenda, quando conhecer estes 3 conceitos e os associar. Um dia quem sabe, a caçar os conseguisse perspectivar. Entre tantos outros temas a poderia desmarcar. Maria Carvalho Vacas",https://www.facebook.com/cacaecaesdecaca/photos/a.240127259486503/2049856311846913/?type=3,,,,,,,,848,22.32
SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763774,1940633,2022-01-07 23:26:06 WET,2022-01-07,23:26:06,Link,686,323,273,11,21,0,41,4,10,3,,-,0,0,0,N/A,https://www.facebook.com/150808986387/posts/10160370852991388,"Rui Rio (PSD) debateu, esta sexta-feira, com Francisco Rodrigues dos Santos (CDS-PP). Líder centrista defende que “todas as companhias de transportes detidas pelo Estado“ devem passar para o setor privado.",https://sicnoticias.pt/eleicoes-legislativas/legislativas-rio-considera-que-tap-e-uma-vergonha-e-quer-reprivatiza-la,https://sicnoticias.pt/eleicoes-legislativas/legislativas-rio-considera-que-tap-e-uma-vergonha-e-quer-reprivatiza-la/,,Legislativas: Rio considera que “TAP é uma vergonha” e quer reprivatizá-la,,,,,686,7.8
PAN - Pessoas Animais Natureza,PANpartido,890462117681551,POLITICAL_ORGANIZATION,PT,Pessoas-Animais-Natureza,2015-05-17 20:36:09,165618,166635,2022-01-07 20:00:12 WET,2022-01-07,20:00:12,Native Video,442,127,96,61,21,5,121,3,3,5,owned,Yes,2199,2827,0,00:01:31,https://www.facebook.com/890462117681551/posts/4853713341356389,"No debate com a nossa porta-voz Inês de Sousa Real, o líder do CDS demonstrou não só que não sabe o que o PAN defende, mas também que o CDS não defende nem o ambiente, nem a proteção animal, nem as pessoas (já que preferiu atacar o PAN em vez de apresentar propostas concretas). Não, os caçadores não protegem nem a biodiversidade, nem o ambiente. Muito pelo contrário. Não, o mundo rural não se reduz apenas à caça e à produção de animais para consumo. Sim, o PAN é um partido animalista, e continuaremos a ser #OrgulhosamenteAnimalistasRadicais no combate à violência animal e pela proteção dos animais, animais estes que o CDS quer continuar a permitir que sejam abusados e desrespeitados com a defesa do setor da caça e da tauromaquia. Da nossa parte, continuaremos a lutar por todos os animais e sabemos que ficaremos do lado certo da história na sua defesa, ao contrário do CDS e do seu líder.",https://www.facebook.com/PANpartido/videos/320430076640459/,,,#OrgulhosamenteAnimalistasRadicais,,,,,442,4.25
Tauronews,Tauronews2017,1679598488999208,MEDIA_NEWS_COMPANY,PT,"Bem-vindos à Página Oficial da Tauronews. 

Aqui daremos toda a informação taurina que precisa.

Mais informações em www.tauronews.com",2017-02-22 11:51:18,29233,37398,2022-01-05 18:23:05 WET,2022-01-05,18:23:05,Native Video,419,308,24,48,34,0,0,1,1,3,owned,Yes,2770,3655,0,00:00:57,https://www.facebook.com/1679598488999208/posts/2805859403039772,"Francisco Rodrigues dos Santos do CDS-PP, aborda a tauromaquia em debate com a líder do Pan, no debate ontem na RTP para as legislativas.",https://www.facebook.com/Tauronews2017/videos/291462619705038/,,,,,,,,419,1.12
CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1155288,1138621,2022-01-07 21:11:35 WET,2022-01-07,21:11:35,Live Video Complete,395,132,175,23,27,1,28,3,6,0,owned,Yes,10802,10890,0,00:28:44,https://www.facebook.com/101826228779402/posts/311214127586615,DECISÃO 22: Rui Rio e Francisco Rodrigues dos Santos frente a frente. Acompanhe aqui o debate e deixe os seus comentários.,https://www.facebook.com/cnnportugal/videos/311214127586615/,,,Debate PSD-CDS,,,,,395,-1.58
SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763539,1940118,2022-01-05 08:35:25 WET,2022-01-05,08:35:25,Link,365,63,243,4,0,1,48,4,1,1,,-,0,0,0,N/A,https://www.facebook.com/150808986387/posts/10160366024546388,"Francisco Rodrigues dos Santos e Inês de Sousa Real estiveram em debate, tendo o líder do CDS procurado caracterizar o PAN como radical.",https://sicnoticias.pt/eleicoes-legislativas/legislativas-cds-e-pan-separados-pelo-mundo-rural-e-pelas-touradas/,,,Legislativas: CDS e PAN separados pelo “mundo rural” e pelas touradas,"Francisco Rodrigues dos Santos e Inês de Sousa Real estiveram em debate, tendo o líder do CDS procurado caracterizar o PAN como radical.",,,,365,4.1
Observador,ObservadorOnTime,111978555633494,NEWS_SITE,PT,"Obrigado por visitar o Observador no Facebook. Aqui queremos partilhar informação, interagir com os nossos leitores e discutir ideias.",2012-11-27 14:41:38,828630,934013,2022-01-04 17:23:45 WET,2022-01-04,17:23:45,Link,287,22,169,5,1,2,80,1,7,0,,-,0,0,0,N/A,https://www.facebook.com/111978555633494/posts/2275057592658902,"Em entrevista ao Observador, o líder do CDS sublinha que não quer estar dependente do Chega para ""formar soluções governativas"", mas admite que uma solução idêntica à dos Açores pode ser replicável.",https://observador.pt/programas/sob-escuta/queremos-ver-o-chega-pelas-costas/?utm_medium=Social&utm_source=Facebook#Echobox=1641311319,,,"""Queremos ver o Chega pelas costas""",,,,,287,3.99
Observador,ObservadorOnTime,111978555633494,NEWS_SITE,PT,"Obrigado por visitar o Observador no Facebook. Aqui queremos partilhar informação, interagir com os nossos leitores e discutir ideias.",2012-11-27 14:41:38,828630,934013,2022-01-04 23:44:58 WET,2022-01-04,23:44:58,Link,280,80,156,8,0,0,34,2,0,0,,-,0,0,0,N/A,https://www.facebook.com/111978555633494/posts/2275286372636024,"A líder de um partido ""animalista"" e ""radical"" contra um líder do século passado, ultrapassado em todas matérias estruturais. Sousa Real e Rodrigues dos Santos mediram forças e não pouparam mimos.",https://observador.pt/2022/01/04/contra-o-pan-lider-do-cds-pos-a-carne-toda-no-assador/?utm_medium=Social&utm_source=Facebook#Echobox=1641339628,,,"Contra o PAN, líder do CDS pôs a carne toda no assador",,,,,280,4.12
Observador,ObservadorOnTime,111978555633494,NEWS_SITE,PT,"Obrigado por visitar o Observador no Facebook. Aqui queremos partilhar informação, interagir com os nossos leitores e discutir ideias.",2012-11-27 14:41:38,828630,934013,2022-01-04 19:33:00 WET,2022-01-04,19:33:00,Native Video,265,72,108,11,4,3,56,6,3,2,owned,Yes,8050,8074,0,00:10:34,https://www.facebook.com/111978555633494/posts/2275063219325006,"O líder centrista, em entrevista ao Observador, diz que gostava de ""ver o Chega pelas costas"", mas admite repetir uma solução no continente igual à dos Açores, porque o ""CDS nunca será maioritário"".",https://www.facebook.com/ObservadorOnTime/videos/476030760533216/,,,"""Vamos ver se o PSD vai precisar ou não do CDS"". O essencial da entrevista a Rodrigues dos Santos",,,,,265,2.52
