Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Camilo Lourenço,ACorDoDinheiroCL,917329228367601,ACTIVITY_GENERAL,PT,"Economia de todos, para todos.",2016-12-30 11:04:54,209623,307003,2022-01-07 08:01:38 WET,2022-01-07,08:01:38,Live Video Complete,"17,153",9826,2802,3178,1164,17,46,23,57,40,owned,Yes,57643,72822,0,00:29:21,https://www.facebook.com/917329228367601/posts/1096132564483473,"Antes da ordem do dia: Quer saber como se ultrapassa o problema da receita fiscal com a flat tax?😉 Apoiantes do hacker Rui Pinto… ainda estão por aí?😂 *Quer saber como é que o primeiro-ministro gasta os seus impostos? Veja a manchete do Expresso…🤬 1 - António Costa não tem jeito para campanha eleitoral. Entrou nervoso, tenso, no debate com Ventura👎🤢 2 - E tentou fazer o jogo de Ventura. Correu mal: ataques pessoais, não apresentou uma ideia, levou sopa na corrupção, levou sopa na carga fiscal, levou sopa no SNS, levou sopa na pobreza, levou sopa na Justiça, levou sopa na colagem a Sócrates…😁😨 3 - Houve um ponto que mostrou que Costa quis fazer jogada baixa: o pormenor do consultor fiscal. Um desastre😂😁 4 - Há um pormenor que mostra que Costa se sentiu mal com o debate que fez: a entrevista final à RTP🤢🤮 5 - André Ventura cometeu um erro: não explicou que os países que nos ultrapassaram nos últimos anos têm flat tax🤬🤬 6 - Esta imagem vai ficar na cabeça de muita gente…🤔😵‍💫 7 - Lembra-se deste video?😱😱 8 - O debate Catarina - Cotrim Figueiredo: muita macieza… 9 - Sabe qual é o resumo do debate de Catarina? Mais 18 mil profissionais para o SNS. E o custo? “É o que tiver de ser”. Como?🤬🤬 Nota: Este canal tem uma parceria com a Prozis o que lhe dá acesso a descontos privilegiados. Assim, de 3/1/2022 até 9/1/2022 se usar o cupão CAMILO no checkout da sua encomenda no site da Prozis. Tem ainda 10% de desconto direto sobre tudo aquilo que comprar. Em compras de 35€ - Oferta de: Peanut butter creamy (salty) Em compras de 70€ - escolhe 1 suplemento: Vitamin K2-MK7 200mcg 60 caps Vitamin D3 800IU 120 softgels Vitamin C 1000 mg + Rose Hip 120 tabs Red Yeast Rice 2400 mg 120 caps Omega 3 EPA Plus 90 Softgels",https://www.facebook.com/ACorDoDinheiroCL/videos/1096132564483473/,,,,,,,,"17,153",1.67
Camilo Lourenço,ACorDoDinheiroCL,917329228367601,ACTIVITY_GENERAL,PT,"Economia de todos, para todos.",2016-12-30 11:04:54,209572,306958,2022-01-06 08:00:13 WET,2022-01-06,08:00:13,Live Video Complete,"12,158",7710,2209,1303,794,14,29,23,49,27,owned,Yes,44758,49489,0,00:26:22,https://www.facebook.com/917329228367601/posts/522451448819555,"Antes da ordem do dia: A violência contra um agente da Polícia Municipal😱 A saída de um governante de Sócrates da Galp🤔 Moedas vai manter o programa de Renda Acessivel?😱 O governo já fala da vacina de reforço nos jovens sem ter resolvido o problema da primeira vacinação😂 Afinal as autoridades já sabem o que valem as vacinas para a Ómicron?🧐 *Que interesse tem a prisão perpétua para a vida dos portugueses? Ontem um debate perdeu quase 5 minutos a falar disto🤬 1 - Hoje começamos pelos debates… e pela demagogia de Catarina Martins…😉😵‍💫 2 - Mas se o SNS é assim tão bom, porque é que João Semedo recorreu tanto à CUF Porto no fim da sua vida?😳🙄 3 - O Secretário de Estado da Saúde diz que as aulas são para começar no dia 10. António Costa diz que não sabe😱😱 4 - Está a ver a confusão que vai no governo?🤮🤢 5 - Mas quer mais? As crianças já não ficam em isolamento. Quer mais? No dia de eleição não há isolamento?🤬😱 6 - Como é que os portugueses hão-de confiar no que lhes dizem?😱😨 7 - E parece que ontem a miserável política de comunicação da Saúde fez estragos no Infarmed…😉🙄 8 - Voltemos aos debates: Chicão vs Cotrim Figueiredo - direita à chapada Catarina vs Rio - Catarina bateu Rio Ventura vs Tavares - Ventura ganhou Nota: Este canal tem uma parceria com a Prozis o que lhe dá acesso a descontos privilegiados. Assim, de 3/1/2022 até 9/1/2022 se usar o cupão CAMILO no checkout da sua encomenda no site da Prozis. Tem ainda 10% de desconto direto sobre tudo aquilo que comprar. Em compras de 35€ - Oferta de: Peanut butter creamy (salty) Em compras de 70€ - escolhe 1 suplemento: Vitamin K2-MK7 200mcg 60 caps Vitamin D3 800IU 120 softgels Vitamin C 1000 mg + Rose Hip 120 tabs Red Yeast Rice 2400 mg 120 caps Omega 3 EPA Plus 90 Softgels",https://www.facebook.com/ACorDoDinheiroCL/videos/522451448819555/,,,O Bloco defende o SNS. Mas vai a hospitais privados,,,,,"12,158",1.18
Iniciativa Liberal,iniciativaliberal,282717852317261,POLITICAL_PARTY,PT,"Partido Iniciativa Liberal. Mais Liberdade Política, Social e Económica. Juntos somos alternativa por um Portugal Mais Liberal.",2018-08-22 19:59:20,105114,116817,2022-01-05 20:40:59 WET,2022-01-05,20:40:59,Native Video,"1,838",1307,226,179,107,2,11,2,1,3,owned,Yes,14038,17555,0,00:08:26,https://www.facebook.com/282717852317261/posts/978453642743675,"🔴🔵 INICIATIVA LIBERAL: VOLTAR A PÔR PORTUGAL A CRESCER Resumo do debate entre João Cotrim Figueiredo da Iniciativa Liberal e o CDS: 📍 O liberalismo funciona e o liberalismo faz falta. 📍 O grande foco desta campanha tem de ser perguntar ""Porque é que Portugal não cresce?"". O crescimento económico tem de estar no centro das nossas ambições, é a prioridade da Iniciativa Liberal. 📍 O Francisco Santos tem o mesmo discurso do Bloco de Esquerda contra a Iniciativa Liberal. 📍 O CDS tem uma visão assistencialista da sociedade. 📍 Os liberais nunca deixaram de defender uma rede social do Estado. 📍 O CDS recusa qualquer forma de descentralização ou de regionalização para um país que é altamente centralista, que é uma das razões do nosso fraco desenvolvimento 📍 Que raio de direita é um CDS que vota contra a privatização da TAP, CGD e RTP, querendo o Estado em todos estes sectores? 📍 O problema em Portugal é o salário médio e para fazer subir o salário médio é preciso mudar o modelo económico. 📍 O Francisco Santos, o mais novo dos líderes partidários, é o que tem a cabeça mas velha de todos eles. 📍 Os portugueses querem uma visão de Portugal diferente, muito mais moderno e arejado. FAZER PORTUGAL CRESCER. CRIAR CONDIÇÕES PARA OS SALÁRIOS SUBIREM. MUDAR O RUMO A PORTUGAL. A Iniciativa Liberal tem muito claro quais são as prioridades para reformar o país e não se distrai. Dia 30 não faltes, vota Liberal. #PortugalMaisLiberal",https://www.facebook.com/iniciativaliberal/videos/451918279714330/,,,🔴🔵 Voltar a pôr Portugal a crescer,,,,,"1,838",1.78
Jovem Conservador de Direita,jovemcd,100050453681565,COMEDIAN,PT,"ESPETÁCULOS E PARCERIAS
info@haffdelta.com // +351 916 798 041",2015-10-27 13:35:32,97993,100884,2022-01-06 23:06:07 WET,2022-01-06,23:06:07,Photo,"1,449",631,122,160,140,1,393,0,1,1,,-,0,0,0,N/A,https://www.facebook.com/100050453681565/posts/467476868277432,"Hoje foi o tão esperado debate entre o primeiro ministro e o auto-proclamado político preferido da Dra. Nossa Senhora de Fátima. O Dr. Cabeça de Geleia estava muito calmo. Pode ser stress pós-traumático do Dr. Rui Tavares. O debate começou com um ataque do Dr. António Costa ao Dr. Cabeça de Geleia por não se ter vacinado. Um ataque totalitário à liberdade individual do Dr. Cabeça de Geleia que tem todo o direito de querer causar boa impressão em burros. O Dr. Cabeça de Geleia disse que não se tinha vacinado porque estava à espera de mais informação. Deve estar à espera do paper do Dr. João Tilly e do CHEGA Vila Real para tomar uma decisão definitiva. E depois até disse que estava a pensar vacinar-se, para desilusão de muitos dos seus fãs. No final, o Dr. António Costa ousou dizer que o debate foi bom porque ""ganharam mais um vacinado"". É preciso mais provas para a ditadura do marxismo cultural do que um primeiro ministro gabar-se literalmente de enfiar uma pica num cidadão de ideologias alternativas? O Dr. Cabeça de Geleia aproveitou a ocasião para culpar o Governo pela pandemia. O que é uma excelente ideia. Há muitas pessoas que não têm gostado da experiência de estar em pandemia e precisam de alguém com quem reclamar. E depois acusou o Governo de não ter preparado bem a pandemia. Presumo que o programa de 9 páginas para o país esteja cheio de planos para lidar com ameaças como pandemias globais ou apocalipses zombie de pedófilos sem gónadas. Criticou o governo por causa dos atrasos no SNS provocados pela pandemia. Algo que certamente nunca aconteceria se o governo tivesse seguido o plano do CHEGA que era: continuar a fazer jantares de dezenas de pessoas sem máscara no pico da pandemia a receber beijinhos da Dra. Maria Vieira. Depois, o Dr. António Costa, como o radical extremista de esquerda que é, resolveu criticar uma das melhores medidas do CHEGA: a flat tax. O moderador abandonou a isenção e pediu ao Dr. Cabeça de Geleia que lhe explicasse como é que ele ia conciliar a descida de impostos com o aumento da despesa que propõe. Ele disse que ia fazer contas e falou sobre o facto de o Presidente e o primeiro ministro terem viajado muito. Ou seja, se pusermos o Dr. Marcelo em teletrabalho conseguimos financiar 5 SNS. Falou ainda da sua proposta para lhe baixarem o próprio salário. O que é muito generoso, já que recebe subsídio de alimentação do Dr. Caesar de Paço. O Dr. Cabeça de Geleia criticou o governo pela taxa de desemprego e muito bem. Com ele e com a sua solução clássica para o desemprego (“pôs os desempregados a trabalhar) a taxa de desemprego seria -40%. Disse depois que ""o IMI é o imposto mais estúpido do Mundo porque andamos a pagar casas a quem não quer trabalhar.” Isto já é só relacionar coisas ao calhas, tipo “o desemprego é um problema porque esses chulos andam a mamar dinheiro do estado” ou “o SNS tem problemas porque eu sofro de hemorróidas.” Depois, o Dr. António Costa fez um golpe baixo ao apontar que o Dr. Cabeça de Geleia pediu licença de um trabalho na autoridade tributária para ir trabalhar como consultor fiscal. Atacar o Dr. Cabeça de Geleia pelo acto heróico de ajudar pessoas a fugir aos impostos do estado socialista é como criticar o Dr. Aristides Sousa Mendes por ajudar na fuga de recursos humanos de offshores de concentração. O Dr. António Costa criticou o Dr. Cabeça de Geleia por ter faltado na votação de uma lei contra corrupção. Ninguém gosta do Dr. Cabeça de Geleia, mas depois parece que ficam muito tristes quando ele lhes faz o favor de nunca ir à AR. Por outro lado, o Dr. Cabeça de Geleia ficou a perceber que os posts no Facebook não contam como propostas para combater a corrupção. Depois o Dr. António Costa criticou a tese de doutoramento do Dr. Cabeça de Geleia por ser demasiado de esquerda. Um excelente momento em que quase conseguiu provar que era mais de direita do que o candidato de extrema direita. É também ingénuo por achar que o Dr. Cabeça de Geleia tem mesmo princípios. Ele pensa aquilo que o facebook decidiu que ele ia pensar. Possui uma enorme flexibilidade de princípios que lhe permite ter um conjunto de princípios como académico e outro conjunto de princípios para falarem dele na televisão. É natural que já tenha sido mais de esquerda do que o Dr. António Costa. O Dr. Cabeça de Geleia terminou em grande com os grandes trunfos. Disse “Sócrates” e logo ali ficou a meia Venezuela de ganhar o debate. Depois colou o primeiro ministro a um processo de pedofilia. Se a extrema direita tem uma utilidade é fazer este trabalho sujo mas necessário para que nós, democratas, não tenhamos de o fazer. Acabou o debate sem fazer uma única menção à Mercedes, o que é pena. É uma marca que produz excelentes automóveis, como é reconhecido pela maior parte dos subsidiodependentes. Depois aconteceu o debate entre o Dr. Cotrim Figueiredo e a Dra. Catarina Martins. É um debate que pode ser resumido entre “liberalismo - liberdade, socialismo - ditadura.” Fim. O Dr. Cotrim (truncated)",https://www.facebook.com/photo.php?fbid=467476848277434&set=a.208076194217502&type=3,,DIRETO 0 DOUTOR COMENTADS DEBATES,,,,,,"1,449",-1.23
Iniciativa Liberal,iniciativaliberal,282717852317261,POLITICAL_PARTY,PT,"Partido Iniciativa Liberal. Mais Liberdade Política, Social e Económica. Juntos somos alternativa por um Portugal Mais Liberal.",2018-08-22 19:59:20,105180,116879,2022-01-07 12:39:32 WET,2022-01-07,12:39:32,Native Video,"1,344",965,115,132,87,2,41,0,1,1,owned,Yes,8138,9070,0,00:00:44,https://www.facebook.com/282717852317261/posts/979371202651919,"🇩🇰 - Catarina Martins: Nós não nos importávamos muito de ter os rendimentos da Dinamarca - João Cotrim Figueiredo: Basta ter as políticas da Dinamarca, ó Catarina. ❓ Qual é o país que implementa o modelo económico de desenvolvimento que o BE defende? #PortugalMaisLiberal",https://www.facebook.com/iniciativaliberal/videos/345927030379756/,,,,,,,,"1,344",1.31
Jovem Conservador de Direita,jovemcd,100050453681565,COMEDIAN,PT,"ESPETÁCULOS E PARCERIAS
info@haffdelta.com // +351 916 798 041",2015-10-27 13:35:32,97962,100853,2022-01-05 22:53:15 WET,2022-01-05,22:53:15,Photo,"1,246",520,76,128,115,1,402,0,1,3,,-,0,0,0,N/A,https://www.facebook.com/100050453681565/posts/466865548338564,"O primeiro debate do dia foi entre o Dr. Chicão e o Dr. Cotrim Figueiredo. Havia várias incógnitas para este debate. Por exemplo, não se sabia se o Dr. Chicão ia voltar a trocar o seu ar clássico de capivara assustada pelo estilo de porquinho da Índia revoltado que usou contra o PAN. Foi um porquinho da Índia revoltado, o que mostra que o Dr. Chicão é pela igualdade: é igualmente mal educado com senhoras e com senhores. O mais provável é alguém lhe ter dito que o Dr. Cotrim Figueiredo já comeu tofu ou que resgate javalis da Arrábida na sua moradia. O Dr. Cotrim Figueiredo foi apanhado de surpresa. Ele está habituado a debates mais civilizados, como aqueles que acontecem com os seus bots do Twitter ou na Estónia. Não sei se é positivo terem começado a dar cafeína ao Dr. Chicão. A saúde das crianças está em primeiro lugar. Outra incógnita era se o Dr. Chicão ia levar camisa branca com o botão de cima aberto, para tentar roubar eleitorado à IL? Levou, por isso é possível que leve a sua farda dos pupilos do exército para o debate com o CHEGA. E, finalmente, não se sabia como é que estes dois partidos iriam resolver uma das suas maiores divergências: os pobres são mandriões que não gostam de trabalhar ou os pobres são mandriões que não gostam de trabalhar, mas se rezarem até se ajuda? O debate começou precisamente por aí. A propósito da TAP, o Dr. Chicão rejeita ser um capitalista selvagem. Deve daqueles capitalistas que só sai à rua de trela e com uma camisolinha para não apanhar frio. E acusou a IL de não se preocupar com os membros mais desfavorecidos da sociedade, caracterizando-os como bloquistas que não dão esmola aos pobres à saída da Igreja. O Dr. João Cotrim Figueiredo negou a acusação, dizendo que se preocupam com os mais desfavorecidos, mas que o desenvolvimento económico é que tem de lhes dar de comer. Ou seja, quando um desfavorecido tem fome, vai lá o crescimento económico e dá-lhe de comer ou, melhor do que isso, motiva-o gritando “faça mais por si” com um megafone. O próprio Dr. Cotrim Figueiredo podia contar a sua história inspiradora de mérito individual, quando vendeu cabides para a empresa do seu avô a um cliente a quem o seu pai já tinha vendido cabides. Aí as pessoas iriam saber como poderiam fazer mais por si, sem estarem dependentes do Estado. O Dr. Chicão puxou todos os trunfos do Portugal em Festa para criticar o posicionamento ideológico da IL, que não se considera de esquerda ou de direita. Começou por citar o Dr. Iran Costa, comparando a bússola política com a coreografia da música “Bicho.” Nenhum jornalista lhe perguntou de que modo a bússola política se assemelha a esta coreografia, mas pelo menos ficamos a perceber um pouco melhor o cérebro do Dr. Chicão. Provavelmente também acha que o gráfico do crescimento económico faz lembrar a coreografia da Macarena ou o gráfico da mortalidade infantil os acordes de “Morangos do Nordeste” dos Canta Bahia. Depois ainda citou a música “Pisca, pisca” da Dra. Ruth Marlene, criticando a promiscuidade da IL. E esteve mal a acusar a IL de ser o Chega com trocos no bolso. O Dr. DePaço nunca deixa o Chega nas lonas. Mais tarde, o Dr. Cotrim Figueiredo esteve bem ao sair do armário. Afinal não fica ofendido quando dizem que é de direita. Depois de debates chatos em que se falou de economia, ambiente ou pandemia, foi preciso chegarmos a um debate entre partidos de direita para voltarmos a debater temas relevantes para o país. O Dr. Chicão acusou o Dr. Cotrim Figueiredo de não ter dito nada em relação àquele pai de Famalicão que deixou que os filhos chumbassem para poder escrever no facebook que está a ser perseguido pelo marxismo cultural e que a ideologia de género está a destruir o cérebro das nossas crianças. Relembrou o passado do Dr. Cotrim Figueiredo de espectador de touradas, o que mostra a sua hipocrisia porque agora não diz nada sobre o direito absoluto dos portugueses de assistirem a touradas com IVA a 15%. Trouxe ainda a cancel culture para o debate, a propósito do cancelamento de um dirigente da IL. Os eleitores também cancelaram o CDS e o CDS cancelou o Dr. Chicão. É normal que o Dr. Chicão esteja preocupado e é óbvio que os portugueses vão votar em função da cultura de cancelamento nas comissões executivas de partidos. O dr. Chicão cheguizou-se para este debate e vai liberalizar-se para o debate com o CHEGA. É o que dá estar a fazer a espargata no meio das duas metades do seu partido que se separaram. Falou-se ainda de educação e aí gostei de ver dois partidos que defendem os contribuintes e o Estado pequeno a debater quem é que quer transferir mais dinheiro do Estado para colégios. Não podem ser só os subsídiodependentes. Depois discutiram a subida do salário mínimo, outro tema chato. O Dr. Cotrim é contra, mas diz que é baixo. Nesta altura quase adormecia e desejei que voltassem a discutir temas relevantes como cancel culture, prisão perpétua e a obra do Dr. Iran Costa. Falaram ainda sobre coligações de governo. Ambos (truncated)",https://www.facebook.com/photo.php?fbid=466865528338566&set=a.208076194217502&type=3,,ODOUTOR COMENTAOS DEBATES,,,,,,"1,246",-1.46
Jovem Conservador de Direita,jovemcd,100050453681565,COMEDIAN,PT,"ESPETÁCULOS E PARCERIAS
info@haffdelta.com // +351 916 798 041",2015-10-27 13:35:32,98053,100946,2022-01-07 22:18:04 WET,2022-01-07,22:18:04,Photo,"1,201",476,132,109,70,0,407,0,1,6,,-,0,0,0,N/A,https://www.facebook.com/100050453681565/posts/468050294886756,"O primeiro debate de hoje foi entre o partido conhecido por defender os direitos dos animais e o partido que defende os direitos dos investidores bolsistas, que também são animais, mas com a diferença de que criam riqueza. Enquanto uma hiena não for capaz de investir em criptomoedas, é óbvio que vou estar do lado da IL. O ambiente foi um dos principais temas do debate. O PAN apresentou a posição irracional de fazer alguma coisa para reverter as alterações climáticas. Teria maior apoio se fosse mais moderado. Ser totalmente contra as alterações climáticas é muito radical. Tem de ser mais centrista nesse assunto. Felizmente estava lá o Dr. Cotrim Figueiredo, com a sua racionalidade, a afirmar que não se pode salvar o ambiente à custa da actividade económica. Há que ter noção das prioridades. Uma coisa é haver alterações climáticas, outra coisa é o Estado intervir para tratar desse problema. A IL não abdica dos seus princípios, intervenção estatal nunca. Se foi a mão humana a destruir o ambiente não deverá ser a mão humana a salvar o planeta. É só ver os índices de mercado e fazer uma análise SWOT do impacto da sobrevivência da Humanidade na economia. Segundo o Dr. Cotrim Figueiredo, ""enriquecer Portugal é uma boa política ambiental”. É verdade, sem tantos pobres a cheirar mal o ambiente fica melhor. O enriquecimento é o febreze da sociedade e não há melhor política ambiental do que baixar os impostos às pessoas para que elas possam investir em desodorizantes. Quando a moderadora falou em “emergência climática” o Dr. Cotrim indignou-se, e bem, e disse que o termo ""emergência climática faz parte de uma agenda."" Muito bem o Dr. Cotrim a colocar alguma racionalidade neste debate. É um termo muito polarizador. Ele prefere ""à espera do relatório que diga que é possível lucrar com resolver as alterações climáticas"". É verdade que existe uma questão climática que o mercado eventualmente vai resolver com lucros para toda a gente, mas sem stresses. Não é prioritário. Não podemos dar cobertura a essa conspiração marxista que passa por colocar o ambiente em frente da economia. Há alterações climáticas, mas o Dr. Cotrim Figueiredo vai esperar pela próxima Web Summit para ver se há start ups para resolver isso. Ainda há muito petróleo para extrair e não podemos deixar ficar mal os dinossauros que faleceram para que pudéssemos circular de carro. Usando a metáfora subtil do cometa que está prestes a colidir com a Terra, o PAN está a gritar histericamente agarrado aos seus gatos, a IL está calma a olhar de forma racional para a colisão do cometa como uma oportunidade. Se o cometa colidir com o planeta, infelizmente, a economia vai ser afectada. Mas não podemos entrar em desespero e a sofrer por antecipação. A este propósito, o Dr. Cotrim deu o exemplo da proposta do PAN de taxar viagens aéreas e abordou o impacto que essa medida desumana terá nas viagens aéreas low cost dos jovens. Da mesma forma que no debate contra o BE disse “ensino superior? Então e a netflix e as criptomoedas que o BE quer taxar?” hoje disse “ambiente? Então as viagens low cost?” De que serve salvar o planeta se os jovens não podem ir apanhar bebedeiras a Praga? Não podemos colocar o ambiente à frente de possibilitar que os jovens viajem em low costs para Bratislava, para experiências de drogas e sexualidade. E se, por absurdo, o mercado não resolver o problema e o Mundo acabar mesmo, pelo menos que os jovens possam ir a Vilnius cumprir todos os itens sexuais da sua bucketlist. O PAN quer roubar-lhes essa felicidade. Pior, sem viagens low cost, os jovens podem ter de ser obrigados a experienciar o apocalipse em Portugal. A Dra. Inês Sousa Real puxou o tema da ferrovia. O Dr. Cotrim, como é óbvio, decidiu falar sobre saúde. Antes isso do que ter de discutir sobre um meio de transporte datado que pode ter impacto negativo no lucro das gasolineiras. Os comboios cheiram mal. É tudo aquilo que precisamos de saber sobre isso. Na área da saúde o Dr. Cotrim expôs o plano da IL. O SNS como está, está mal, por isso temos de encaminhar para os privados. Segundo o Dr. Cotrim, o plano da IL para a saúde vai permitir uma maior liberdade de escolha, acabar com filas de espera, trazer mais lucros para os privados e tudo isto com uma flat tax. Como é que isto funciona? Com crescimento económico. Quem não votar na IL está a atrasar o país e a impedir a vinda do Dr. Messias Cristocimento Económico que vai salvar o nosso planeta e a nossa economia. Votar na IL é votar num Euromilhões para cada português. A verdade é que a liberdade de escolha é um aspecto essencial em qualquer sistema de saúde. Quem tem um seguro premium tem o direito de escolher um hospital melhor num mercado concorrencial. Merece isso, em vez de ter de ir ao SNS com todas as pessoas que não se esforçaram. Os que ficarem com o seguro de saúde versão gratuita que recorram aos hospitais com menos estrelas e que sejam obrigados a ver anúncios antes das suas operações. Ou então que beneficiem de (truncated)",https://www.facebook.com/photo.php?fbid=468050281553424&set=a.208076194217502&type=3,,0 DOUTOR COMENTA OS DEBATES,,,,,,"1,201",-1.46
João Cotrim Figueiredo - Iniciativa Liberal,jcf.liberal,105318777575778,POLITICIAN,PT,"1º deputado da Iniciativa Liberal ☝️ 

twitter.com/jcf_liberal
instagram.com/jcf_liberal ",2019-10-29 18:07:51,10459,11227,2022-01-03 18:16:07 WET,2022-01-03,18:16:07,Photo,963,843,25,80,12,0,0,0,1,2,,-,0,0,0,N/A,https://www.facebook.com/105318777575778/posts/654043742703276,"Hoje Portugal já não se compara com países europeus ocidentais, mas sim com os países de leste. E muitos desses, com políticas liberais, já nos ultrapassaram. 🔴🔵 Foram 20 anos de estagnação socialista. Agora temos de pôr Portugal a crescer novamente. Dia 30 vota IL.",https://www.facebook.com/jcf.liberal/photos/a.106048890836100/654043636036620/?type=3,,"João Cotrim Figueiredo @jcf_liberal Costa disse que o rendimento das famílias subiu 25% desde 2016. Costa mentiu, foi 12%. E esqueceu-se de dizer que o rendimento bruto das famílias (ppc) nos seus primeiros 4 anos subiu 11%, mas na Lituânia foi 20%, Estónia 17% e Eslovénia 15%. Com a IL U vai finalmente crescer.",,,,,,963,1.49
Iniciativa Liberal,iniciativaliberal,282717852317261,POLITICAL_PARTY,PT,"Partido Iniciativa Liberal. Mais Liberdade Política, Social e Económica. Juntos somos alternativa por um Portugal Mais Liberal.",2018-08-22 19:59:20,105114,116817,2022-01-05 15:25:23 WET,2022-01-05,15:25:23,Photo,887,709,105,52,12,0,7,1,0,1,,-,0,0,0,N/A,https://www.facebook.com/282717852317261/posts/978324029423303,🔴🔵 O kick-off dos debates da Iniciativa Liberal é hoje 📺 RTP3 - 18:15 💥 João Cotrim Figueiredo vs Francisco Rodrigues dos Santos 📈 O FUTURO É LIBERAL #PortugalMaisLiberal,https://www.facebook.com/iniciativaliberal/photos/a.292960941292952/978323936089979/?type=3,,"RTP3 DEBATE HOJE, 18h15 20ਾ João Cotrim Figueiredo Francisco Rodrigues dos Santos iniciativa liberal PREPARADOS",,,,,,887,-1.12
Iniciativa Liberal,iniciativaliberal,282717852317261,POLITICAL_PARTY,PT,"Partido Iniciativa Liberal. Mais Liberdade Política, Social e Económica. Juntos somos alternativa por um Portugal Mais Liberal.",2018-08-22 19:59:20,105080,116781,2022-01-04 19:58:17 WET,2022-01-04,19:58:17,Link,837,714,54,45,13,2,3,2,0,4,,-,0,0,0,N/A,https://www.facebook.com/282717852317261/posts/977883802800659,"⚠️ Iniciativa Liberal considera que problema da educação está a transformar-se em tragédia “O problema da educação em Portugal está, por via de decisões política, relativas a confinamentos, horários e férias, a transformar-se numa autêntica tragédia, relativamente à qual, se não tivermos atenção, vamos demorar décadas a recuperar”, disse João Cotrim de Figueiredo, em Lisboa. “Estivemos na Escola Josefa de Óbidos e estamos agora numa particular [Salesianos]. Ambas têm as mesmas condições, ambas não estão impedidas de ter ensino remoto, no entanto, a pública está encerrada a cadeado, e esta iniciou o período de inverno com aulas remotas“ #PortugalMaisLiberal",https://observador.pt/2022/01/04/iniciativa-liberal-considera-que-problema-da-educacao-esta-a-transformar-se-em-tragedia/,,,"Iniciativa Liberal considera que problema da educação está a transformar-se em ""tragédia""","João Cotrim de Figueiredo falou sobre o assunto à porta da escola dos Salesianos, pouco depois de ter passado pela Escola Josefa de Óbidos, ambas em Lisboa.",,,,837,1.03
