Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Camilo Lourenço,ACorDoDinheiroCL,917329228367601,ACTIVITY_GENERAL,PT,"Economia de todos, para todos.",2016-12-30 11:04:54,209536,306927,2022-01-05 08:00:41 WET,2022-01-05,08:00:41,Live Video Complete,"11,762",7429,2001,1381,793,23,48,20,42,25,owned,Yes,45380,50156,0,00:25:43,https://www.facebook.com/917329228367601/posts/1773786636344240,"Antes da ordem do dia: A inflação em 2021 ficou acima das previsões do Baco de Portugal👎 A nova variante da COVID-19😂 As ameaças a quem fala da COVID-19 e critica negacionistas e anti-vax🤮 Patrões, sindicatos e a semana de 4 dias😉 As manchetes do Público e DN…🤔 1 - António Costa quer semana de 4 dias. O 1º ministro tem de voltar a fazer exame de Introdução ao Estudo da Economia😉👎 2 - Isto é António Costa ignorante ou António Costa populista?🙄😳 3 - As empresas têm duas hipóteses:😱😨 - aumentam preços (para manter margens) - Ou baixam salários (para serem rentáveis) 4 - A jogada de Costa é clara: ter mais emprego, mas à custa de destruição de valor pelas empresas🤬🤮 5 - Costa acusou Rio de defender a prisão perpétua. Tem razão? Não!🤭🤔 6 - Vamos ouvir o que disse Costa…?🤔 E Costa? Não dormiu com um partido que apoia a Venezuela e Cuba?🤬 E não dormiu com outro que defende o regime norte-coreano😱 7 - Os debates eleitorais:😵‍💫🤭 - Rui Tavares vs Catarina Martins - reencontro de “ex-namorados”?😉 - António Costa vs. Jerónimo de Sousa - Jerónimo irreconhecível😱 - “Chicão” vs Inês Sousa Real - tareia merecida😂 Nota: Este canal tem uma parceria com a Prozis o que lhe dá acesso a descontos privilegiados. Assim, de 3/1/2022 até 9/1/2022 se usar o cupão CAMILO no checkout da sua encomenda no site da Prozis. Tem ainda 10% de desconto direto sobre tudo aquilo que comprar. Em compras de 35€ - Oferta de: Peanut butter creamy (salty) Em compras de 70€ - escolhe 1 suplemento: Vitamin K2-MK7 200mcg 60 caps Vitamin D3 800IU 120 softgels Vitamin C 1000 mg + Rose Hip 120 tabs Red Yeast Rice 2400 mg 120 caps Omega 3 EPA Plus 90 Softgels",https://www.facebook.com/ACorDoDinheiroCL/videos/1773786636344240/,,,"Semana de 4 dias? E as empresas, aumentam preços?",,,,,"11,762",1.13
João Ferreira,,265470557318917,PERSON,PT,Public figure,2018-01-21 21:39:45,12873,13233,2022-01-04 23:55:00 WET,2022-01-04,23:55:00,Photo,"1,736",1159,182,346,40,1,2,1,0,5,,-,0,0,0,N/A,https://www.facebook.com/265470557318917/posts/1182392518960045,Jerónimo sabe disto como ninguém e a questão foi absolutamente certeira. A caducidade da contração coletiva (que o PS recusou revogar ou sequer suspender sem condições) pode dizer pouco a muita gente. Sucede isto: remover ou não remover este e outros obstáculos presentes na legislação laboral pode fazer a diferença entre o aumento do salário médio ser realidade concreta ou promessa de campanha inconsequente.,https://www.facebook.com/265470557318917/photos/a.266215337244439/1182389735626990/?type=3,,,,,,,,"1,736",4.39
Jovem Conservador de Direita,jovemcd,100050453681565,COMEDIAN,PT,"ESPETÁCULOS E PARCERIAS
info@haffdelta.com // +351 916 798 041",2015-10-27 13:35:32,97935,100828,2022-01-04 22:41:43 WET,2022-01-04,22:41:43,Photo,"1,343",558,68,113,127,2,470,0,1,4,,-,0,0,0,N/A,https://www.facebook.com/100050453681565/posts/466268755064910,"Hoje houve mais três debates, nenhum dos quais com grande interesse. A extrema esquerda debateu toda entre si. Começou com um debate entre o LIVRE, que pode ser definido como ala direita do BE, e o BE, que em termos ideológicos é como se fosse a ala esquerda do LIVRE. Foi basicamente um debate sobre as diferenças entre a Coca Cola da esquerda e a Pepsi da esquerda. Serviu para o Dr. Rui Tavares relembrar as pessoas da sua existência e pouco mais. Durante estes longos 25 minutos, estes dois extremistas de esquerda debateram coisas horríveis como o papel de Portugal na UE, o aumento do salário mínimo ou o investimento no SNS. É muito grave numa democracia termos partidos extremistas a fazerem este tipo de propaganda na televisão. Seria o equivalente a ter o CHEGA e o ERGUE-TE a discutir técnicas de remoção de testículos em horário nobre. Mas os meios de comunicação social são de esquerda por isso aceita-se. Falaram também de alterações climáticas. Se eu fosse jornalista colocaria a seguinte questão: ""Usando um cometa como metáfora subtil para as alterações climáticas, quais dos dois é que se oferece para ser disparado num canhão contra a Lua?” Era bom para a nossa democracia termos esquerdalhos a comprometer-se com o seu envio para a estratosfera. Um dos pontos altos do debate foi quando a Dra. Catarina Martins disse que o Dr. Rui Tavares parecia o Dr. António Costa a falar. O Dr. Rui Tavares fez a cara que o estagiário faria se alguém, por absurdo, o comparasse comigo. As pessoas não sabem porque, àquela hora estavam todas em massa a ver o debate BE/LIVRE, mas à mesma hora no Big Brother Famosos, o Dr. Bruno de Carvalho estava numa acesa discussão com o Dr. Kasha sobre a necessidade de financiar o SNS. Ninguém diria, mas o Dr. Kasha sabe muito sobre burnout de profissionais de saúde. O Dr. Bruno de Carvalho fez-lhes uma ovação para mostrar que também está do lado daqueles que fazem tudo pela nossa saúde. O Dr. Jardel entrou no debate para dizer que já foi operado ao apêndice. Bom argumento. Mas as pessoas perderam este grande momento porque estão obcecadas com as nuances entre BE e LIVRE. O outro debate entre radicais de esquerda foi entre Dr. António Costa e Dr. Jerónimo de Sousa. Quem ouve o Dr. António Costa a falar quase nem percebe que esteve 6 anos a servir de marioneta do PCP. Por outro lado, quem ouve o Dr. Jerónimo de Sousa a falar quase nem percebe que esteve 6 anos a comprometer os seus princípios para ajudar o PS. Apesar de tudo tenho de deixar um agradecimento a estes dois intervenientes. Fizeram cair o Governo. Um chumbou o OE e o outro não cedeu à esquerda. Não sei se sabem, mas cada vez que o Dr. Jerónimo de Sousa diz portanto a pele do cadáver embalsamado do Dr. Lenine fica 0,00001% mais hidratada. Proponho um drinking game a todos os meus seguidores de esquerda: bebam um shot de vodka sempre que o Dr. Jerónimo de Sousa diz “portanto” e faleçam passados 5 minutos. O Dr. Jerónimo de Sousa mostrou abertura para uma nova geringonça. Ou seja, não se importa de abdicar do seu comunismo para continuar a manobrar o Dr. António Costa. Por outro lado, o Dr. António Costa não sente confiança numa futura geringonça. Sente-se traído porque os partidos de esquerda se recusaram a abdicar do seu programa para ele poder continuar a exercer o cargo de primeiro ministro. Ou seja, só voltará a haver geringonça se o Dr. Jerónimo de Sousa lhe oferecer uma caixa de Mon Chèri e uma serenata de cante alentejano. Foram dois debates pouco interessantes em que se debateram questões irrelevantes como economia, pandemia, SNS, etc. Ninguém falou sobre prisão perpétua ou remoção de gónadas de pedófilos. Os jornalistas foram terrivelmente enviesados e permitiram que os candidatos falassem sem os confrontarem com questões verdadeiramente importantes, como a posição sobre o regime nortecoreano, a Venezuela e o facto de existirem comunistas com iPhones. Nem um foi capaz de lhes perguntar se sabem quantas vítimas fez o socialismo. É que desde a revolução de Outubro até Pedrógão Grande foram cerca de 500 mil milhões. Como ninguém gritou os jornalistas não vão conseguir dizer quem ganhou estes debates. Ninguém foi killer. Perderam todos, como acontece na esquerda. Perdem demasiado tempo a debater os seus programas em vez de arrasar, humilhar e aniquilar os seus adversários. Felizmente, enquanto decorria este debate, estava a decorrer um mais interessante sobre o salário mínimo no Big Brother Famosos. A Dra. Jaciara é contra porque as pessoas só devem receber aquilo que produzem. O Dr. Leandro diz que o salário mínimo devia ser 3 milhões. O Dr. Jardel diz que gosta de dinheiro. O Dr. Kasha está triste porque ainda ninguém falou de ganza grátis. Depois houve um debate realmente interessante, entre o Dr. Chicão e a Dra. Inês Sousa Real do PAN. O Dr. Chicão gritou muito, por isso ganhou. Fez lembrar um porco durante a sua própria matança. A guinchar e a espernear para tentar persuadir as pessoas de que ele ainda existe (truncated)",https://www.facebook.com/photo.php?fbid=466268505064935&set=a.208076194217502&type=3,,た.G 21:26 18:21 DIRETO 0 DOUTOR COMENTA OS DEBATES Î×× AIS-NATUREZA PES,,,,,,"1,343",-1.36
Partido Socialista,SedeNacionalPartidoSocialista,188500147828984,POLITICAL_PARTY,PT,Partido Socialista - Sede Nacional,2011-01-06 12:09:53,94206,99504,2022-01-05 20:39:08 WET,2022-01-05,20:39:08,Link,"1,056",816,109,74,34,1,10,2,2,8,,-,0,0,0,N/A,https://www.facebook.com/188500147828984/posts/5050294208316196,"O PS quer terminar com o modelo de “professores de casa às costas” e garante que vai avançar com a vinculação dos docentes às escolas. O compromisso foi deixado ontem por António Costa no debate televisivo com o líder do PCP, Jerónimo de Sousa, com o Secretário-geral socialista a considerar que a solução da ‘geringonça’, sobre a qual sempre “honrou a sua palavra” e foi interrompida pelos parceiros da esquerda, deixou de oferecer confiança como modelo estável de governação. #JuntosSeguimosEConseguimos",https://ps.pt/criacao-de-uma-crise-politica-foi-ato-de-enorme-irresponsabilidade-que-reforca-a-necessidade-de-uma-maioria-do-ps/,,,“Criação de uma crise política foi ato de enorme irresponsabilidade que reforça a necessidade de uma maioria do PS” | Partido Socialista,%,,,,"1,056",3.57
CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1154994,1138155,2022-01-04 21:06:02 WET,2022-01-04,21:06:02,Live Video Complete,"1,046",249,534,93,56,3,58,9,40,4,owned,Yes,16529,16988,0,00:28:16,https://www.facebook.com/101826228779402/posts/640325547164166,DECISÃO 22: Veja aqui o debate entre António Costa e Jerónimo Sousa na íntegra e deixe os seus comentários. Quem ganhou? Leia mais aqui: https://swki.me/JDyv3V9j:=:https://cnnportugal.iol.pt/antonio-costa/jeronimo-de-sousa/costa-sem-confianca-noutra-geringonca-critica-irresponsabilidade-do-pcp-jeronimo-quer-negociar-e-dispensa-futurologia/20520104/61d4be950cf2cc58e7db20a8,https://www.facebook.com/cnnportugal/videos/640325547164166/,,,Debate PS-PCP,,,,,"1,046",-1.33
CHEGA,PartidoChegaOficial,1989920374407828,ACTIVITY_GENERAL,PT,"O CHEGA quer ser a voz do cidadão comum! Perante os novos desafios futuros que iremos enfrentar, precisamos unirmos para reerguer Portugal! Contamos consigo para sermos uma só Voz e uma só Força! É hora dos portugueses dizerem CHEGA!",2018-10-23 22:50:31,128167,143534,2022-01-07 11:49:21 WET,2022-01-07,11:49:21,Link,635,518,14,63,22,1,15,0,1,1,,-,0,0,0,N/A,https://www.facebook.com/1989920374407828/posts/4847134125353091,"[...] Costa está gasto e cheira a mofo. Tudo promete como sempre fez mas nada fará como sempre faz. Catarina Martins é um disco riscado. Fraca figura. Uma hipócrita elevada ao seu expoente máximo. Jerónimo de Sousa já não aguenta a pedalada. O Chiquinho faz vídeos por achar que estamos num circo mas acaba sempre por ser o palhaço de serviço. Cotrim de Figueiredo fala muito mas ainda não explicou, afinal, se teve ou não teve alguma coisa a ver com o Banco de João Rendeiro. Rui Rio anda atarantado sem conseguir admitir que terá que governar com o CHEGA e Inês Sousa Real já tem bolor, é fruta estragada da estufa de onde saiu [...]",https://ionline.sapo.pt/artigo/758529/um-rolo-compressor-chamado-andre-ventura?seccao=Opini%C3%A3o_i,,,Um rolo compressor chamado André Ventura,"Um rolo compressor chamado André Ventura Um rolo compressor chamado André Ventura Rodrigo Alves Taxa 07/01/2022 09:19 Facebook Twitter LinkedIN WhatsApp Messenger Email Muito bem! 2022, cá estamos, e sendo a primeira vez que escrevo no presente ano civil, permitam-me começar por desejar a todos ...",,,,635,1.13
CDU - Coligação Democrática Unitária,CDUPCPPEV,166405943417778,POLITICAL_ORGANIZATION,PT,"Página oficial da CDU - Coligação Democrática Unitária
www.cdu.pt",2011-04-19 20:10:32,18911,19347,2022-01-05 00:14:09 WET,2022-01-05,00:14:09,Native Video,593,128,3,441,16,2,2,0,0,1,owned,Yes,1754,7231,0,00:00:59,https://www.facebook.com/166405943417778/posts/4908560989202226,"António Costa afirmou que não seria possível fazer o aumento extraordinário de pensões já em janeiro depois da não aprovação do OE para 2022. Mas o mesmo António Costa confirmou em Novembro o que o PCP sempre afirmou, e Jerónimo de Sousa lembrou no debate: o PS só não faz o aumento extraordinário porque não quer.",https://www.facebook.com/CDUPCPPEV/videos/897358224302563/,,,Aumento extraordinário das pensões? Afinal até pode. Só não quer,,,,,593,5.65
Polígrafo,jornalpoligrafo,258649144844557,TOPIC_NEWSPAPER,PT,"Página oficial do Polígrafo, o primeiro jornal português de fact-checking. Polígrafo - Em Nome da Verdade. Todos os dias. ",2018-10-18 14:31:26,119106,124873,2022-01-06 07:52:06 WET,2022-01-06,07:52:06,Link,552,156,174,160,5,0,53,2,0,2,,-,0,0,0,N/A,https://www.facebook.com/258649144844557/posts/915522029157262,"#LêNovamente Acredita que podia muito bem tratar-se de uma personagem da obra de Soeiro Pereira Gomes, ""Esteiros"", junto às margens do Tejo na recolha do barro para telhas e tijolos. A trabalhar desde os 14 anos, à data como afinador de máquinas na MEC - Fábrica de Aparelhagem Industrial, Jerónimo de Sousa não se deixa levar pela romantização e diz mesmo que, em Pirescoxe, todos sabiam que iam ""ter à fábrica"". Como tem evoluído, desde então, o trabalho infantil em Portugal?",https://poligrafo.sapo.pt/sociedade/artigos/jeronimo-de-sousa-o-afiador-de-maquinas-ja-trabalhava-aos-14-anos-como-evoluiu-em-portugal-o-trabalho-infantil?utm_term=Autofeed&utm_medium=Social&utm_source=Facebook#Echobox=1641453476,,,"Jerónimo de Sousa, o afinador de máquinas, já trabalhava aos 14 anos. Como evoluiu em Portugal o trabalho infantil?","Acredita que podia muito bem tratar-se de uma personagem da obra de Soeiro Pereira Gomes, ""Esteiros"", junto às margens do Tejo na recolha do barro para telhas e tijolos. A trabalhar desde os 14 anos, à data como afiador de máquinas na MEC - Fábrica de Aparelhagem Industrial, Jerónimo de Sousa n...",,,,552,10.22
CORRUPÇÃO À VISTA DE TODOS. ACORDEM,Apodrecetuga,100065162134065,DIGITAL_CREATOR,PT,"URGENTE CAMPANHA POR PORTUGAL CONTRA CORRUPÇÃO DÉCADAS DO ARCO DO PODER PS PSD PCP BE
 VOTA CONTRA",2011-10-10 22:20:08,54004,53506,2022-01-06 10:53:46 WET,2022-01-06,10:53:46,Native Video,531,182,64,207,3,3,54,8,5,5,owned,Yes,3466,4489,0,00:15:40,https://www.facebook.com/100065162134065/posts/292459216269481,"António Costa repete que foi uma irresponsabilidade chumbar o orçamento em tempo de pandemia, e culpa o PCP e BE, mas não contava que o idoso e pacato Jerónimo de Sousa o desmascarasse. E eis que ele expõe a farsa de Costa. ""Em vez de pensar em soluções, começou a pensar em eleições"", disse Jerónimo de Sousa em relação a António Costa. E a prova de que foi Costa que provocou a crise politica foi revelada quando Jerónimo de Sousa referiu que foi Costa que afirmou que queria ir para eleições por uma maioria absoluta . A acusação foi feita pelo secretário geral do PCP a prova de tal são os pedidos de ""maioria estável"" ou ""maioria mais um"" feita pelos socialistas nas últimas semanas e durante todo o debate do video. Costa responde a estas acusações questionando o comunista: “Algum primeiro-ministro no mundo, numa crise destas, quer abrir uma crise e ir para eleições? Algum primeiro-ministro provoca eleições antecipadas numa situação destas???”. Ao que parece sim, o Costa que assaltou o poder do seu colega José Seguro, e assaltou o poder de Portugal em 2015, é capaz de tudo como sabemos. O Costa que assinou um contrato o do Siresp, responsável por vidas humanas, onde iliba de responsabilidades os donos seus amigos corruptos, é capaz de tudo. O Costa/PS que ganha sempre eleições enganando idosos com promessas falsas do que vai fazer e mentiras sobre o que já fez, abusando da sua ignorância/ingenuidade, muitos com demência, e aproveitando a sua pobreza desesperante, queria também abusar de Jerónimo que lhe pareceu um alvo fácil por se mostrar lento e idoso? E quando a conversa não lhe agradou Costa tentou calar o adversário, ""Estas eleições não são sobre recriminações sobre o passado, são sobre o futuro"", sublinhou António Costa quando questionado sobre o porquê de os comunistas e o BE terem chumbado o Orçamento de Estado, acrescentando que não queria ""estar a fazer acusações, mas também não"" as aceita. Disse olhando para Jerónimo com ar ameaçador. Jerónimo de Sousa afirmou que o mais marcante neste OE eram os direitos laborais e o reforço do SNS que Costa não respeitava e que estão na constituição. Quem quis a crise politica foi Costa que claramente queria eleições para ir em busca de mais poder. Costa e Jerónimo trocaram críticas sobre a responsabilidade nesta crise política, “Precisamos de uma maioria que não chumbe tudo” ou “não podemos ter um governo de dois em dois anos”, duas frases de Costa neste debate, é trabalhar num exercício de amnésia. Um Orçamento, que Costa defende para o futuro coisas que recusou agora. COSTA REPETE INCESSANTEMENTE QUE QUER A MAIORIA ABSOLUTA PARA TER ESTABILIDADE, QUANDO NA VERDADE QUER É PODER E LIBERDADE PARA FAZER O QUE MAIS CRESCE EM PORTUGAL PELA MÃO DO PS, CORRUPÇÃO E SAQUE? De recordar que os países menos corruptos e mais evoluídos governam sempre em coligação precisamente para travar o excesso de liberdade. Certamente não era o BE nem o PCP que queriam ir a votos, pois jamais estiveram tão confortáveis no poder. Já o PS nunca gostou de travões muito menos de democracia.. O governo socialista de Costa o maior e um dos piores da história da democracia mantem os velhos ministros para próximo governo na velha tradição socialista, resolveu acautelar ‘jobs for the boys para o caso do PS perder as eleições e assim garantirem um lugar no Parlamento. Partido Socialista não esclarece os portugueses se apoiam um governo minoritário do PSD, caso percam as eleições, porque não tencionam fazê-lo. Querem continuar no poder, nem que tenham de engolir uns sapos, à custa do apoio, uma vez mais, dos comunistas e dos bloquistas. Diz-me com quem andas, dir-te-ei quem és. Fica claro para o eleitorado moderado que, para alterar a situação existente, devem votar nos partidos do centro-direita para que não haja maioria de esquerda no Parlamento com socialistas, comunistas e bloquistas. Não acredito que os portugueses já se tenham esquecido que depois de seis anos de governos socialistas, Guterres deixou o país de tanga em 2001, José Sócrates deixou o país na bancarrota em 2011 e Costa deixa o país, em 2021, mais pobre em relação aos outros países europeus. Não acredito que os portugueses depois de terem visto os ex-países comunistas da Europa de leste a ultrapassarem Portugal no rendimento per capita, em paridade do poder de compra, de terem suportado a mais alta carga fiscal de sempre, de terem sofrido os desmandos da geringonça com a degradação do Serviço Nacional de Saúde, da escola pública e da generalidade dos serviços públicos queiram que os socialistas voltem a formar governo com o apoio da extrema-esquerda dos comunistas e dos bloquistas. Costa e os socialistas querem que os portugueses estejam anestesiados até às eleições legislativas e para isso usam o medo da pandemia para não exporem todas as falhas da governação socialista com o apoio da ‘geringonça’.",https://www.facebook.com/Apodrecetuga/videos/259122842958288/,,,"Debate Jerónimo desmascara Costa, sem carácter sem vergonha",,,,,531,8.56
Público,Publico,88388366982,MEDIA_NEWS_COMPANY,PT,"Bem-vindo à página do PÚBLICO no Facebook, um espaço de informação, partilha e debate.",2009-04-14 17:16:12,1188738,1185575,2022-01-04 23:20:01 WET,2022-01-04,23:20:01,Link,505,173,218,18,4,4,80,5,3,0,,-,0,0,0,N/A,https://www.facebook.com/88388366982/posts/10160045025436983,"""Houve momentos de alguma penosidade no debate Jerónimo-Costa, com o secretário-geral do PCP a admitir “novas soluções” tipo “geringonça” e António Costa a descartar, sem dó, repetir o passado comum, perante o outrora parceiro “mais confiável”"", leia a crónica de Ana Sá Lopes.",https://www.publico.pt/2022/01/04/politica/cronica/costa-derrota-jeronimo-1990792,,,Costa derrota Jerónimo sem dó,"Houve momentos de alguma penosidade no debate Jerónimo-Costa, com o secretário-geral do PCP a admitir “novas soluções” tipo “geringonça” e António Costa a descartar, sem dó, repetir o passado comum, perante o outrora parceiro “mais confiável”.",,,,505,6.23
