Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Camilo Lourenço,ACorDoDinheiroCL,917329228367601,ACTIVITY_GENERAL,PT,"Economia de todos, para todos.",2016-12-30 11:04:54,209536,306927,2022-01-05 08:00:41 WET,2022-01-05,08:00:41,Live Video Complete,"11,764",7431,2001,1381,793,23,48,20,42,25,owned,Yes,45389,50167,0,00:25:43,https://www.facebook.com/917329228367601/posts/1773786636344240,"Antes da ordem do dia: A inflação em 2021 ficou acima das previsões do Baco de Portugal👎 A nova variante da COVID-19😂 As ameaças a quem fala da COVID-19 e critica negacionistas e anti-vax🤮 Patrões, sindicatos e a semana de 4 dias😉 As manchetes do Público e DN…🤔 1 - António Costa quer semana de 4 dias. O 1º ministro tem de voltar a fazer exame de Introdução ao Estudo da Economia😉👎 2 - Isto é António Costa ignorante ou António Costa populista?🙄😳 3 - As empresas têm duas hipóteses:😱😨 - aumentam preços (para manter margens) - Ou baixam salários (para serem rentáveis) 4 - A jogada de Costa é clara: ter mais emprego, mas à custa de destruição de valor pelas empresas🤬🤮 5 - Costa acusou Rio de defender a prisão perpétua. Tem razão? Não!🤭🤔 6 - Vamos ouvir o que disse Costa…?🤔 E Costa? Não dormiu com um partido que apoia a Venezuela e Cuba?🤬 E não dormiu com outro que defende o regime norte-coreano😱 7 - Os debates eleitorais:😵‍💫🤭 - Rui Tavares vs Catarina Martins - reencontro de “ex-namorados”?😉 - António Costa vs. Jerónimo de Sousa - Jerónimo irreconhecível😱 - “Chicão” vs Inês Sousa Real - tareia merecida😂 Nota: Este canal tem uma parceria com a Prozis o que lhe dá acesso a descontos privilegiados. Assim, de 3/1/2022 até 9/1/2022 se usar o cupão CAMILO no checkout da sua encomenda no site da Prozis. Tem ainda 10% de desconto direto sobre tudo aquilo que comprar. Em compras de 35€ - Oferta de: Peanut butter creamy (salty) Em compras de 70€ - escolhe 1 suplemento: Vitamin K2-MK7 200mcg 60 caps Vitamin D3 800IU 120 softgels Vitamin C 1000 mg + Rose Hip 120 tabs Red Yeast Rice 2400 mg 120 caps Omega 3 EPA Plus 90 Softgels",https://www.facebook.com/ACorDoDinheiroCL/videos/1773786636344240/,,,"Semana de 4 dias? E as empresas, aumentam preços?",,,,,"11,764",1.13
Camilo Lourenço,ACorDoDinheiroCL,917329228367601,ACTIVITY_GENERAL,PT,"Economia de todos, para todos.",2016-12-30 11:04:54,209464,306820,2022-01-03 21:00:00 WET,2022-01-03,21:00:00,Native Video,"3,222",2343,213,511,109,8,10,5,15,8,owned,Yes,22645,25056,0,00:41:45,https://www.facebook.com/917329228367601/posts/4279297102170780,Nesta edição vamos comentar os dois primeiros debates das legislativas: Catarina Martins vs André Ventura e António Costa vs Rui Tavares. Analisamos também o legado do PS seis anos depois de ter chegado ao governo. Venha daí,https://www.facebook.com/ACorDoDinheiroCL/videos/4773059606146848/,,,Dia D,,,,,"3,222",1.79
André Ventura,AndreAmaralVentura,101269364554956,POLITICIAN,PT,"Portugal precisa de uma 4ª República! Só acordando os portugueses e trabalhando juntos poderemos ter sucesso neste desafio.

Não podemos desistir, nem perder a esperança. Venha connosco reerguer Portugal!",2019-07-29 14:29:26,153784,173748,2022-01-05 18:22:16 WET,2022-01-05,18:22:16,Photo,"2,913",2032,484,125,184,4,58,2,1,23,,-,0,0,0,N/A,https://www.facebook.com/101269364554956/posts/648234119858475,Hoje o debate é com o ex-partido da Joacine Katar Moreira.,https://www.facebook.com/AndreAmaralVentura/photos/a.110518413630051/648234119858475/?type=3,,"HOJE às 22H00 na CNN PORTUGAL DEBATE CHEGA VS LIVRE CHEGA Hoje há novo debate na CNN Portugal! A partir das 22 horas, André Ventura enfrenta Rui Tavares, do LIVRE.",Timeline photos,,,,,"2,913",1.11
André Ventura,AndreAmaralVentura,101269364554956,POLITICIAN,PT,"Portugal precisa de uma 4ª República! Só acordando os portugueses e trabalhando juntos poderemos ter sucesso neste desafio.

Não podemos desistir, nem perder a esperança. Venha connosco reerguer Portugal!",2019-07-29 14:29:26,153854,173827,2022-01-06 16:09:52 WET,2022-01-06,16:09:52,Link,"2,426",1966,127,80,222,1,7,1,1,21,,-,0,0,0,N/A,https://www.facebook.com/101269364554956/posts/648784629803424,Finalmente! https://cnnportugal.iol.pt/videos/finalmente-ha-uma-forca-o-chega-que-desmascara-a-extrema-esquerda-em-portugal-culmina-ventura/61d6245e0cf21a10a417cf4e,https://cnnportugal.iol.pt/videos/finalmente-ha-uma-forca-o-chega-que-desmascara-a-extrema-esquerda-em-portugal-culmina-ventura/61d6245e0cf21a10a417cf4e,,,"“Finalmente, há uma força [o Chega] que desmascara a extrema-esquerda em Portugal”, culmina Ventura","No debate eleitoral entre o Livre e o Chega, André Ventura voltou a criticar o programa eleitoral do partido de Rui Tavares, por este defender que a quem nasce em Portugal deve ser automaticamente concedida a nacionalidade portuguesa.",,,,"2,426",1.46
André Ventura,AndreAmaralVentura,101269364554956,POLITICIAN,PT,"Portugal precisa de uma 4ª República! Só acordando os portugueses e trabalhando juntos poderemos ter sucesso neste desafio.

Não podemos desistir, nem perder a esperança. Venha connosco reerguer Portugal!",2019-07-29 14:29:26,153784,173748,2022-01-05 23:51:11 WET,2022-01-05,23:51:11,Link,"2,269",1423,474,151,28,12,151,8,12,10,,-,0,0,0,N/A,https://www.facebook.com/101269364554956/posts/648353749846512,Hoje o Livre foi finalmente desmascarado: o seu programa inclui atribuir um subsídio a pessoas como Salgado e Sócrates e acabar com a nacionalidade portuguesa. O programa mais ridículo destas eleições legislativas! https://cnnportugal.iol.pt/rui-tavares/andre-ventura/rendimento-universal-junta-socrates-e-salgado-ao-debate-livre-chega-joacine-foi-o-fantasma-de-servico/20520105/61d623d10cf2cc58e7db6310,https://cnnportugal.iol.pt/rui-tavares/andre-ventura/rendimento-universal-junta-socrates-e-salgado-ao-debate-livre-chega-joacine-foi-o-fantasma-de-servico/20520105/61d623d10cf2cc58e7db6310,,,Rendimento universal junta Sócrates e Salgado ao debate Livre-Chega. Joacine foi o ‘fantasma’ de serviço,Ventura explorou o divórcio entre Joacine Katar Moreira e o Livre para desvalorizar o confronto com Rui Tavares. Mas o fundador do Livre também desenterrou ‘esqueletos’ a Ventura. A corrupção acabou por se tranformar no motor do confronto,,,,"2,269",1.37
Sensivelmente Idiota,sensivelmenteidiota,100044567643603,COMEDIAN,PT,"Está a valer tudo.
Contacto agência: monica@estudiomanifesto.pt ",2010-10-25 17:32:14,157003,157594,2022-01-06 21:31:56 WET,2022-01-06,21:31:56,Status,"2,254",1117,505,45,128,1,455,2,1,0,,-,0,0,0,N/A,https://www.facebook.com/100044567643603/posts/466851748143743,"Resumindo, Ventura leva baile da Catarina Martins, do Rui Tavares e do António Costa. Não está fácil ser fascista.",,,,,,,,,"2,254",1
Jovem Conservador de Direita,jovemcd,100050453681565,COMEDIAN,PT,"ESPETÁCULOS E PARCERIAS
info@haffdelta.com // +351 916 798 041",2015-10-27 13:35:32,97937,100830,2022-01-03 12:14:35 WET,2022-01-03,12:14:35,Photo,"1,907",779,154,196,147,1,622,1,1,6,,-,0,0,0,N/A,https://www.facebook.com/100050453681565/posts/465409651817487,"Ontem começaram os debates para as Legislativas. Começaram com um debate entre o Dr. António Costa e si próprio, em que o Dr. Rui Tavares também esteve presente. Depois, seguiu-se um debate entre o pior dos partidos extremistas e o Chega. Muita gente criticou o facto de os debates terem apenas 25 minutos. 25 minutos é demasiado tempo. Parecendo que não são quase 10 minutos em que o Dr. Cabeça de Geleia tem de fingir que tem ideias. A verdadeira campanha faz-se nos memes, bebés ao colo, passou-bens e quantidade de velhinhos que o Dr. António Costa grita. Sonho com o dia em que os debates são substituídos por fotos do Instagram de todos os candidatos, seguidos de 24 horas por dia de interpretação das fotos pelos comentadores políticos de todas as televisões. Mais importante que os debates são os debates entre os comentadores especializados sobre os debates. Aí é que as pessoas ficam a perceber quem ganhou e o que foi dito de relevante. Se não lhes explicarem isso podem acabar por votar no partido errado. Uma forma de os partidos se adaptarem aos debates de 25 minutos é apresentar os seus programas em versão haiku. Por exemplo: ""Ciganos à solta Esperam no Mercedes Por subsídios."" CHEGA ""Drogas são boas Enquanto ensino sexo a crianças E mato ricos."" BE ""Liberdade de escolha na saúde Barulho metálico gostoso Na conta dos hospitais privados."" IL “Beber batidos de espinafre Animais felizes Longe do prato.” PAN O debate entre o Dr. Rui Tavares e o Dr. António Costa foi muito tranquilo, como uma conversa entre dois amigos em que um deles não sabe como é que vai pedir dinheiro emprestado ao outro. Mas gostei da dinâmica, podiam criar um podcast depois das eleiçõos. Falou-se bastante sobre aumentar o salário mínimo e muito pouco sobre reduzi-lo. É o que a esquerda faz em campanha, suborna as pessoas com melhores condições de vida. Para ser justo, o Dr. António Costa devia suspender os ordenados dos funcionários públicos até às eleições e diminuir o salário mínimo para duas raspadinhas. O problema de aumentar o salário mínimo é que muitas pessoas que até ganham razoavelmente bem passam a ganhar o salário mínimo. Isso é terrível para a sua auto-estima. Temos de proteger estas pessoas e garantir que elas possam continuar a ser produtivas e felizes sabendo que pelo menos não ganham o salário mínimo. É claro que o dr. Rui Tavares desperdiçou neste debate uma oportunidade de usar o seu superpoder que garantiria uma derrota do dr. António Costa: declarar-lhe o seu apoio. A seguir começou o debate extremista entre o Dr. Cabeça de Geleia e a Dra. Catarina Martins. Notou-se pela sua cara que o Dr. Cabeça de Geleia estava com medo que lhe desse vontade de ir à casa de banho produzir um programa novo do CHEGA. O síndrome do cólon irritável é um problema que afecta muita gente e recomendo ao dr. Cabeça de Geleia que leve fraldas para o próximo debate. Seria até coerente com a sua forma de debater, que passa muito por chorar enquanto o adversário fala. O grande argumento do Dr. Cabeça de Geleia é que “anda tudo a mamar.” Fala-se pouco de mamar na política. Se resulta na música do Dr. Quim Barreiros, também tem de resultar para o Chega. Apesar de tudo, o dr. Cabeça de Geleia tem uma posição construtiva sobre pobres (andam a mamar). O problema é dizê-la em público. A Dra. Catarina Martins acusou o Dr. Cabeça de Geleia de ser cúmplice de corrupção. Ridículo. Ele quer acabar com a corrupção através da legalização. Confrontou-o também com as posições do Dr. Papa. É demasiado baixo a Dra. Catarina Martins usar o Dr. Papa e os polícias para atacar o mais católico e fetichista de fardas da nossa política. Há limites. Além disso acusou-o de ter sido condenado por racismo, ao que o Dr. Cabeça de Geleia respondeu, e bem, que foi condenado por ter ofendido uma família de forma racista. Um bom advogado arranja sempre forma de enquadrar a sua grunhice de forma inteligente. Dizem que o Dr. Cabeça de Geleia é anti-imigração, mas é muito favorável aos vistos gold porque tem muitos amigos que vendem casas. Portugal aos portugueses e estrangeiros com meio milhão para investir em imóveis. É claro que apresentou medidas excelentes para a economia. Por exemplo, a proposta do Dr. Cabeça de Geleia para os desempregados é colocá-los a trabalhar. Como é que ninguém se tinha lembrado disto? ""Sabem como é que podemos resolver o problema do défice? É criar medidas para baixarmos o défice."" Economistas pelo Chega “O nosso plano para a saúde é criar um sistema de saúde de excelente qualidade.” Posto isto, o Dr. Cabeça de Geleia foi, de longe, o vencedor do debate. Falou mais alto, grunhiu várias vezes e apresentou as melhores propostas: - Anda tudo a mamar; - A corrupção é má; - Vamos colocar os desempregados a trabalhar.",https://www.facebook.com/photo.php?fbid=465409425150843&set=a.208076194217502&type=3,,DIRETO 0 DOUTOR COMENTA OS DEBATES,,,,,,"1,907",1.04
Expresso,jornalexpresso,43218682948,TOPIC_NEWSPAPER,PT,"Página oficial do Expresso no Facebook. As notícias e a opinião que interessam. Todos os dias, a todas as horas 
https://expresso.pt",2009-01-03 09:57:23,760641,796750,2022-01-06 09:00:42 WET,2022-01-06,09:00:42,Link,"1,889",406,814,67,67,12,502,8,11,2,,-,0,0,0,N/A,https://www.facebook.com/43218682948/posts/10159307305467949,"Pode haver um debate esclarecedor entre dois pólos realmente opostos em tudo? Pode, respondem os comentadores do Expresso. Neste caso, vitória clara atribuída ao líder do Livre",https://expresso.pt/politica/rui-tavares-levou-ventura-as-cordas-e-fez-ko-as-notas-e-analises-dos-comentadores-expresso,https://expresso.pt/politica/rui-tavares-levou-ventura-as-cordas-e-fez-ko-as-notas-e-analises-dos-comentadores-expresso/,,Rui Tavares levou Ventura às cordas e fez KO (as notas e análises dos comentadores Expresso) - Expresso,"Pode haver um debate esclarecedor entre dois pólos realmente opostos em tudo? Pode, respondem os comentadores do Expresso. Neste caso, vitória clara atribuída ao líder do Livre",,,,"1,889",28.19
SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763675,1940405,2022-01-06 12:22:08 WET,2022-01-06,12:22:08,Link,"1,787",359,747,46,48,7,556,7,12,5,,-,0,0,0,N/A,https://www.facebook.com/150808986387/posts/10160367992861388,"Pode haver um debate esclarecedor entre dois pólos realmente opostos em tudo? Pode, respondem os comentadores do Expresso. Neste caso, vitória clara atribuída ao líder do Livre. No Expresso",https://expresso.pt/eleicoes-legislativas-2022/rui-tavares-levou-ventura-as-cordas-e-fez-ko-as-notas-e-analises-dos-comentadores-expresso/,,,Rui Tavares levou Ventura às cordas e fez KO (as notas e análises dos comentadores Expresso),"Pode haver um debate esclarecedor entre dois pólos realmente opostos em tudo? Pode, respondem os comentadores do Expresso. Neste caso, vitória clara atribuída ao líder do Livre",,,,"1,787",18.61
Sensivelmente Idiota,sensivelmenteidiota,100044567643603,COMEDIAN,PT,"Está a valer tudo.
Contacto agência: monica@estudiomanifesto.pt ",2010-10-25 17:32:14,157016,157610,2022-01-05 23:05:03 WET,2022-01-05,23:05:03,Status,"1,683",1224,238,26,135,1,35,9,7,8,,-,0,0,0,N/A,https://www.facebook.com/100044567643603/posts/466286988200219,"Imaginem a vergonha de viver num país em que alguém tão inteligente como o Rui Tavares não está no parlamento, mas um escroto mole como o Ventura está.",,,,,,,,,"1,683",-1.34
CHEGA,PartidoChegaOficial,1989920374407828,ACTIVITY_GENERAL,PT,"O CHEGA quer ser a voz do cidadão comum! Perante os novos desafios futuros que iremos enfrentar, precisamos unirmos para reerguer Portugal! Contamos consigo para sermos uma só Voz e uma só Força! É hora dos portugueses dizerem CHEGA!",2018-10-23 22:50:31,128009,143372,2022-01-05 21:51:45 WET,2022-01-05,21:51:45,Native Video,"1,486",1221,155,58,37,0,3,0,2,10,owned,Yes,12401,13615,0,00:00:26,https://www.facebook.com/1989920374407828/posts/4842359359163901,"O nosso Presidente já está na CNN Portugal para o debate com Rui Tavares. Não percam, às 22h00",https://www.facebook.com/PartidoChegaOficial/videos/3088429138039669/,,,,,,,,"1,486",1.42
