Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Iniciativa Liberal,iniciativaliberal,282717852317261,POLITICAL_PARTY,PT,"Partido Iniciativa Liberal. Mais Liberdade Política, Social e Económica. Juntos somos alternativa por um Portugal Mais Liberal.",2018-08-22 19:59:20,105114,116817,2022-01-05 20:40:59 WET,2022-01-05,20:40:59,Native Video,"1,821",1294,223,179,107,2,10,2,1,3,owned,Yes,13764,17144,0,00:08:26,https://www.facebook.com/282717852317261/posts/978453642743675,"🔴🔵 INICIATIVA LIBERAL: VOLTAR A PÔR PORTUGAL A CRESCER Resumo do debate entre João Cotrim Figueiredo da Iniciativa Liberal e o CDS: 📍 O liberalismo funciona e o liberalismo faz falta. 📍 O grande foco desta campanha tem de ser perguntar ""Porque é que Portugal não cresce?"". O crescimento económico tem de estar no centro das nossas ambições, é a prioridade da Iniciativa Liberal. 📍 O Francisco Santos tem o mesmo discurso do Bloco de Esquerda contra a Iniciativa Liberal. 📍 O CDS tem uma visão assistencialista da sociedade. 📍 Os liberais nunca deixaram de defender uma rede social do Estado. 📍 O CDS recusa qualquer forma de descentralização ou de regionalização para um país que é altamente centralista, que é uma das razões do nosso fraco desenvolvimento 📍 Que raio de direita é um CDS que vota contra a privatização da TAP, CGD e RTP, querendo o Estado em todos estes sectores? 📍 O problema em Portugal é o salário médio e para fazer subir o salário médio é preciso mudar o modelo económico. 📍 O Francisco Santos, o mais novo dos líderes partidários, é o que tem a cabeça mas velha de todos eles. 📍 Os portugueses querem uma visão de Portugal diferente, muito mais moderno e arejado. FAZER PORTUGAL CRESCER. CRIAR CONDIÇÕES PARA OS SALÁRIOS SUBIREM. MUDAR O RUMO A PORTUGAL. A Iniciativa Liberal tem muito claro quais são as prioridades para reformar o país e não se distrai. Dia 30 não faltes, vota Liberal. #PortugalMaisLiberal",https://www.facebook.com/iniciativaliberal/videos/451918279714330/,,,🔴🔵 Voltar a pôr Portugal a crescer,,,,,"1,821",1.82
Jovem Conservador de Direita,jovemcd,100050453681565,COMEDIAN,PT,"ESPETÁCULOS E PARCERIAS
info@haffdelta.com // +351 916 798 041",2015-10-27 13:35:32,97993,100884,2022-01-06 23:06:07 WET,2022-01-06,23:06:07,Photo,"1,431",618,122,160,137,1,391,0,1,1,,-,0,0,0,N/A,https://www.facebook.com/100050453681565/posts/467476868277432,"Hoje foi o tão esperado debate entre o primeiro ministro e o auto-proclamado político preferido da Dra. Nossa Senhora de Fátima. O Dr. Cabeça de Geleia estava muito calmo. Pode ser stress pós-traumático do Dr. Rui Tavares. O debate começou com um ataque do Dr. António Costa ao Dr. Cabeça de Geleia por não se ter vacinado. Um ataque totalitário à liberdade individual do Dr. Cabeça de Geleia que tem todo o direito de querer causar boa impressão em burros. O Dr. Cabeça de Geleia disse que não se tinha vacinado porque estava à espera de mais informação. Deve estar à espera do paper do Dr. João Tilly e do CHEGA Vila Real para tomar uma decisão definitiva. E depois até disse que estava a pensar vacinar-se, para desilusão de muitos dos seus fãs. No final, o Dr. António Costa ousou dizer que o debate foi bom porque ""ganharam mais um vacinado"". É preciso mais provas para a ditadura do marxismo cultural do que um primeiro ministro gabar-se literalmente de enfiar uma pica num cidadão de ideologias alternativas? O Dr. Cabeça de Geleia aproveitou a ocasião para culpar o Governo pela pandemia. O que é uma excelente ideia. Há muitas pessoas que não têm gostado da experiência de estar em pandemia e precisam de alguém com quem reclamar. E depois acusou o Governo de não ter preparado bem a pandemia. Presumo que o programa de 9 páginas para o país esteja cheio de planos para lidar com ameaças como pandemias globais ou apocalipses zombie de pedófilos sem gónadas. Criticou o governo por causa dos atrasos no SNS provocados pela pandemia. Algo que certamente nunca aconteceria se o governo tivesse seguido o plano do CHEGA que era: continuar a fazer jantares de dezenas de pessoas sem máscara no pico da pandemia a receber beijinhos da Dra. Maria Vieira. Depois, o Dr. António Costa, como o radical extremista de esquerda que é, resolveu criticar uma das melhores medidas do CHEGA: a flat tax. O moderador abandonou a isenção e pediu ao Dr. Cabeça de Geleia que lhe explicasse como é que ele ia conciliar a descida de impostos com o aumento da despesa que propõe. Ele disse que ia fazer contas e falou sobre o facto de o Presidente e o primeiro ministro terem viajado muito. Ou seja, se pusermos o Dr. Marcelo em teletrabalho conseguimos financiar 5 SNS. Falou ainda da sua proposta para lhe baixarem o próprio salário. O que é muito generoso, já que recebe subsídio de alimentação do Dr. Caesar de Paço. O Dr. Cabeça de Geleia criticou o governo pela taxa de desemprego e muito bem. Com ele e com a sua solução clássica para o desemprego (“pôs os desempregados a trabalhar) a taxa de desemprego seria -40%. Disse depois que ""o IMI é o imposto mais estúpido do Mundo porque andamos a pagar casas a quem não quer trabalhar.” Isto já é só relacionar coisas ao calhas, tipo “o desemprego é um problema porque esses chulos andam a mamar dinheiro do estado” ou “o SNS tem problemas porque eu sofro de hemorróidas.” Depois, o Dr. António Costa fez um golpe baixo ao apontar que o Dr. Cabeça de Geleia pediu licença de um trabalho na autoridade tributária para ir trabalhar como consultor fiscal. Atacar o Dr. Cabeça de Geleia pelo acto heróico de ajudar pessoas a fugir aos impostos do estado socialista é como criticar o Dr. Aristides Sousa Mendes por ajudar na fuga de recursos humanos de offshores de concentração. O Dr. António Costa criticou o Dr. Cabeça de Geleia por ter faltado na votação de uma lei contra corrupção. Ninguém gosta do Dr. Cabeça de Geleia, mas depois parece que ficam muito tristes quando ele lhes faz o favor de nunca ir à AR. Por outro lado, o Dr. Cabeça de Geleia ficou a perceber que os posts no Facebook não contam como propostas para combater a corrupção. Depois o Dr. António Costa criticou a tese de doutoramento do Dr. Cabeça de Geleia por ser demasiado de esquerda. Um excelente momento em que quase conseguiu provar que era mais de direita do que o candidato de extrema direita. É também ingénuo por achar que o Dr. Cabeça de Geleia tem mesmo princípios. Ele pensa aquilo que o facebook decidiu que ele ia pensar. Possui uma enorme flexibilidade de princípios que lhe permite ter um conjunto de princípios como académico e outro conjunto de princípios para falarem dele na televisão. É natural que já tenha sido mais de esquerda do que o Dr. António Costa. O Dr. Cabeça de Geleia terminou em grande com os grandes trunfos. Disse “Sócrates” e logo ali ficou a meia Venezuela de ganhar o debate. Depois colou o primeiro ministro a um processo de pedofilia. Se a extrema direita tem uma utilidade é fazer este trabalho sujo mas necessário para que nós, democratas, não tenhamos de o fazer. Acabou o debate sem fazer uma única menção à Mercedes, o que é pena. É uma marca que produz excelentes automóveis, como é reconhecido pela maior parte dos subsidiodependentes. Depois aconteceu o debate entre o Dr. Cotrim Figueiredo e a Dra. Catarina Martins. É um debate que pode ser resumido entre “liberalismo - liberdade, socialismo - ditadura.” Fim. O Dr. Cotrim (truncated)",https://www.facebook.com/photo.php?fbid=467476848277434&set=a.208076194217502&type=3,,DIRETO 0 DOUTOR COMENTADS DEBATES,,,,,,"1,431",-1.23
Iniciativa Liberal,iniciativaliberal,282717852317261,POLITICAL_PARTY,PT,"Partido Iniciativa Liberal. Mais Liberdade Política, Social e Económica. Juntos somos alternativa por um Portugal Mais Liberal.",2018-08-22 19:59:20,105180,116879,2022-01-07 12:39:32 WET,2022-01-07,12:39:32,Native Video,"1,289",926,111,128,81,2,39,0,1,1,owned,Yes,7587,8338,0,00:00:44,https://www.facebook.com/282717852317261/posts/979371202651919,"🇩🇰 - Catarina Martins: Nós não nos importávamos muito de ter os rendimentos da Dinamarca - João Cotrim Figueiredo: Basta ter as políticas da Dinamarca, ó Catarina. ❓ Qual é o país que implementa o modelo económico de desenvolvimento que o BE defende? #PortugalMaisLiberal",https://www.facebook.com/iniciativaliberal/videos/345927030379756/,,,,,,,,"1,289",1.33
Jovem Conservador de Direita,jovemcd,100050453681565,COMEDIAN,PT,"ESPETÁCULOS E PARCERIAS
info@haffdelta.com // +351 916 798 041",2015-10-27 13:35:32,97962,100853,2022-01-05 22:53:15 WET,2022-01-05,22:53:15,Photo,"1,233",514,75,127,112,1,400,0,1,3,,-,0,0,0,N/A,https://www.facebook.com/100050453681565/posts/466865548338564,"O primeiro debate do dia foi entre o Dr. Chicão e o Dr. Cotrim Figueiredo. Havia várias incógnitas para este debate. Por exemplo, não se sabia se o Dr. Chicão ia voltar a trocar o seu ar clássico de capivara assustada pelo estilo de porquinho da Índia revoltado que usou contra o PAN. Foi um porquinho da Índia revoltado, o que mostra que o Dr. Chicão é pela igualdade: é igualmente mal educado com senhoras e com senhores. O mais provável é alguém lhe ter dito que o Dr. Cotrim Figueiredo já comeu tofu ou que resgate javalis da Arrábida na sua moradia. O Dr. Cotrim Figueiredo foi apanhado de surpresa. Ele está habituado a debates mais civilizados, como aqueles que acontecem com os seus bots do Twitter ou na Estónia. Não sei se é positivo terem começado a dar cafeína ao Dr. Chicão. A saúde das crianças está em primeiro lugar. Outra incógnita era se o Dr. Chicão ia levar camisa branca com o botão de cima aberto, para tentar roubar eleitorado à IL? Levou, por isso é possível que leve a sua farda dos pupilos do exército para o debate com o CHEGA. E, finalmente, não se sabia como é que estes dois partidos iriam resolver uma das suas maiores divergências: os pobres são mandriões que não gostam de trabalhar ou os pobres são mandriões que não gostam de trabalhar, mas se rezarem até se ajuda? O debate começou precisamente por aí. A propósito da TAP, o Dr. Chicão rejeita ser um capitalista selvagem. Deve daqueles capitalistas que só sai à rua de trela e com uma camisolinha para não apanhar frio. E acusou a IL de não se preocupar com os membros mais desfavorecidos da sociedade, caracterizando-os como bloquistas que não dão esmola aos pobres à saída da Igreja. O Dr. João Cotrim Figueiredo negou a acusação, dizendo que se preocupam com os mais desfavorecidos, mas que o desenvolvimento económico é que tem de lhes dar de comer. Ou seja, quando um desfavorecido tem fome, vai lá o crescimento económico e dá-lhe de comer ou, melhor do que isso, motiva-o gritando “faça mais por si” com um megafone. O próprio Dr. Cotrim Figueiredo podia contar a sua história inspiradora de mérito individual, quando vendeu cabides para a empresa do seu avô a um cliente a quem o seu pai já tinha vendido cabides. Aí as pessoas iriam saber como poderiam fazer mais por si, sem estarem dependentes do Estado. O Dr. Chicão puxou todos os trunfos do Portugal em Festa para criticar o posicionamento ideológico da IL, que não se considera de esquerda ou de direita. Começou por citar o Dr. Iran Costa, comparando a bússola política com a coreografia da música “Bicho.” Nenhum jornalista lhe perguntou de que modo a bússola política se assemelha a esta coreografia, mas pelo menos ficamos a perceber um pouco melhor o cérebro do Dr. Chicão. Provavelmente também acha que o gráfico do crescimento económico faz lembrar a coreografia da Macarena ou o gráfico da mortalidade infantil os acordes de “Morangos do Nordeste” dos Canta Bahia. Depois ainda citou a música “Pisca, pisca” da Dra. Ruth Marlene, criticando a promiscuidade da IL. E esteve mal a acusar a IL de ser o Chega com trocos no bolso. O Dr. DePaço nunca deixa o Chega nas lonas. Mais tarde, o Dr. Cotrim Figueiredo esteve bem ao sair do armário. Afinal não fica ofendido quando dizem que é de direita. Depois de debates chatos em que se falou de economia, ambiente ou pandemia, foi preciso chegarmos a um debate entre partidos de direita para voltarmos a debater temas relevantes para o país. O Dr. Chicão acusou o Dr. Cotrim Figueiredo de não ter dito nada em relação àquele pai de Famalicão que deixou que os filhos chumbassem para poder escrever no facebook que está a ser perseguido pelo marxismo cultural e que a ideologia de género está a destruir o cérebro das nossas crianças. Relembrou o passado do Dr. Cotrim Figueiredo de espectador de touradas, o que mostra a sua hipocrisia porque agora não diz nada sobre o direito absoluto dos portugueses de assistirem a touradas com IVA a 15%. Trouxe ainda a cancel culture para o debate, a propósito do cancelamento de um dirigente da IL. Os eleitores também cancelaram o CDS e o CDS cancelou o Dr. Chicão. É normal que o Dr. Chicão esteja preocupado e é óbvio que os portugueses vão votar em função da cultura de cancelamento nas comissões executivas de partidos. O dr. Chicão cheguizou-se para este debate e vai liberalizar-se para o debate com o CHEGA. É o que dá estar a fazer a espargata no meio das duas metades do seu partido que se separaram. Falou-se ainda de educação e aí gostei de ver dois partidos que defendem os contribuintes e o Estado pequeno a debater quem é que quer transferir mais dinheiro do Estado para colégios. Não podem ser só os subsídiodependentes. Depois discutiram a subida do salário mínimo, outro tema chato. O Dr. Cotrim é contra, mas diz que é baixo. Nesta altura quase adormecia e desejei que voltassem a discutir temas relevantes como cancel culture, prisão perpétua e a obra do Dr. Iran Costa. Falaram ainda sobre coligações de governo. Ambos (truncated)",https://www.facebook.com/photo.php?fbid=466865528338566&set=a.208076194217502&type=3,,ODOUTOR COMENTAOS DEBATES,,,,,,"1,233",-1.47
João Cotrim Figueiredo - Iniciativa Liberal,jcf.liberal,105318777575778,POLITICIAN,PT,"1º deputado da Iniciativa Liberal ☝️ 

twitter.com/jcf_liberal
instagram.com/jcf_liberal ",2019-10-29 18:07:51,10459,11227,2022-01-03 18:16:07 WET,2022-01-03,18:16:07,Photo,963,843,25,80,12,0,0,0,1,2,,-,0,0,0,N/A,https://www.facebook.com/105318777575778/posts/654043742703276,"Hoje Portugal já não se compara com países europeus ocidentais, mas sim com os países de leste. E muitos desses, com políticas liberais, já nos ultrapassaram. 🔴🔵 Foram 20 anos de estagnação socialista. Agora temos de pôr Portugal a crescer novamente. Dia 30 vota IL.",https://www.facebook.com/jcf.liberal/photos/a.106048890836100/654043636036620/?type=3,,"João Cotrim Figueiredo @jcf_liberal Costa disse que o rendimento das famílias subiu 25% desde 2016. Costa mentiu, foi 12%. E esqueceu-se de dizer que o rendimento bruto das famílias (ppc) nos seus primeiros 4 anos subiu 11%, mas na Lituânia foi 20%, Estónia 17% e Eslovénia 15%. Com a IL U vai finalmente crescer.",,,,,,963,1.49
Iniciativa Liberal,iniciativaliberal,282717852317261,POLITICAL_PARTY,PT,"Partido Iniciativa Liberal. Mais Liberdade Política, Social e Económica. Juntos somos alternativa por um Portugal Mais Liberal.",2018-08-22 19:59:20,105114,116817,2022-01-05 15:25:23 WET,2022-01-05,15:25:23,Photo,884,707,105,52,12,0,6,1,0,1,,-,0,0,0,N/A,https://www.facebook.com/282717852317261/posts/978324029423303,🔴🔵 O kick-off dos debates da Iniciativa Liberal é hoje 📺 RTP3 - 18:15 💥 João Cotrim Figueiredo vs Francisco Rodrigues dos Santos 📈 O FUTURO É LIBERAL #PortugalMaisLiberal,https://www.facebook.com/iniciativaliberal/photos/a.292960941292952/978323936089979/?type=3,,"RTP3 DEBATE HOJE, 18h15 20ਾ João Cotrim Figueiredo Francisco Rodrigues dos Santos iniciativa liberal PREPARADOS",,,,,,884,-1.12
João Cotrim Figueiredo - Iniciativa Liberal,jcf.liberal,105318777575778,POLITICIAN,PT,"1º deputado da Iniciativa Liberal ☝️ 

twitter.com/jcf_liberal
instagram.com/jcf_liberal ",2019-10-29 18:07:51,10482,11253,2022-01-08 20:15:25 WET,2022-01-08,20:15:25,Photo,852,718,29,46,55,0,2,0,0,2,,-,0,0,0,N/A,https://www.facebook.com/105318777575778/posts/657152902392360,Apresentámos hoje o programa da Iniciativa Liberal! Cerca de 100 medidas bem explicadas para mudar o país. 🔴🔵 Vamos pôr Portugal a crescer!,https://www.facebook.com/jcf.liberal/photos/a.106048890836100/657152729059044/?type=3,,,Photos from João Cotrim Figueiredo - Iniciativa Liberal's post,,,,,852,1.51
Iniciativa Liberal,iniciativaliberal,282717852317261,POLITICAL_PARTY,PT,"Partido Iniciativa Liberal. Mais Liberdade Política, Social e Económica. Juntos somos alternativa por um Portugal Mais Liberal.",2018-08-22 19:59:20,105080,116781,2022-01-04 19:58:17 WET,2022-01-04,19:58:17,Link,835,713,54,45,13,2,2,2,0,4,,-,0,0,0,N/A,https://www.facebook.com/282717852317261/posts/977883802800659,"⚠️ Iniciativa Liberal considera que problema da educação está a transformar-se em tragédia “O problema da educação em Portugal está, por via de decisões política, relativas a confinamentos, horários e férias, a transformar-se numa autêntica tragédia, relativamente à qual, se não tivermos atenção, vamos demorar décadas a recuperar”, disse João Cotrim de Figueiredo, em Lisboa. “Estivemos na Escola Josefa de Óbidos e estamos agora numa particular [Salesianos]. Ambas têm as mesmas condições, ambas não estão impedidas de ter ensino remoto, no entanto, a pública está encerrada a cadeado, e esta iniciou o período de inverno com aulas remotas“ #PortugalMaisLiberal",https://observador.pt/2022/01/04/iniciativa-liberal-considera-que-problema-da-educacao-esta-a-transformar-se-em-tragedia/,,,"Iniciativa Liberal considera que problema da educação está a transformar-se em ""tragédia""","João Cotrim de Figueiredo falou sobre o assunto à porta da escola dos Salesianos, pouco depois de ter passado pela Escola Josefa de Óbidos, ambas em Lisboa.",,,,835,1.03
Iniciativa Liberal,iniciativaliberal,282717852317261,POLITICAL_PARTY,PT,"Partido Iniciativa Liberal. Mais Liberdade Política, Social e Económica. Juntos somos alternativa por um Portugal Mais Liberal.",2018-08-22 19:59:20,105139,116840,2022-01-06 16:28:32 WET,2022-01-06,16:28:32,Photo,787,656,81,34,11,0,4,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/282717852317261/posts/978906442698395,"🔴🔵 HOJE, segundo embate da Iniciativa Liberal 📺 SICN - 22:00 💥 João Cotrim Figueiredo (IL) vs Catarina Martins (BE) 📈 O FUTURO É LIBERAL #PortugalMaisLiberal",https://www.facebook.com/iniciativaliberal/photos/a.292960941292952/978905342698505/?type=3,,"SIC nOTICIOS ー DEBATE HOJE, 22h00 João Cotrim Figueiredo Catarina Martins iniciativa liberal PREPARADOS",,,,,,787,-1.21
Iniciativa Liberal,iniciativaliberal,282717852317261,POLITICAL_PARTY,PT,"Partido Iniciativa Liberal. Mais Liberdade Política, Social e Económica. Juntos somos alternativa por um Portugal Mais Liberal.",2018-08-22 19:59:20,105180,116879,2022-01-07 19:18:33 WET,2022-01-07,19:18:33,Native Video,763,484,123,69,9,2,74,1,0,1,owned,Yes,6238,7453,0,00:00:40,https://www.facebook.com/282717852317261/posts/979546952634344,"🔴🔵 FAZER PORTUGAL CRESCER ECONOMICAMENTE É DEFENDER O AMBIENTE Resumo do debate entre João Cotrim Figueiredo da Iniciativa Liberal e Inês de Sousa Real do PAN: 📍 Rejeitamos partidos que tenham uma visão proibicionista ou de ataque à economia do mercado com a desculpa de defender o Ambiente, usando essa política como desculpa para inventar novas lutas de classes. 📍 A preocupação número 1 do PAN é o Ambiente e o bem-estar animal mas as soluções que propõe conduzem ao empobrecimento das pessoas. Já a preocupação número 1 da Iniciativa Liberal é o crescimento económico, o que é também uma política pro-ambiental porque são os países mais ricos que melhor defendem o ambiente. A Iniciativa Liberal tem as pessoas no centro das suas preocupações. 📍 O nosso programa tem um conjunto de medidas ambientais que não atacam a economia de mercado nem fazem as pessoas empobrecer. 📍 Temos um plano ferroviário nacional para desenvolver a ferrovia no país, o que pode ajudar a mobilidade das populações no interior que só têm como hipótese de deslocação o transporte individual com uma carga fiscal brutal sobre os combustíveis. 📍 Governo com o PAN só sem as bizarrias do costume como o Big Brother carapau. #PortugalMaisLiberal",https://www.facebook.com/iniciativaliberal/videos/1075737206612705/,,,🔴🔵 FAZER PORTUGAL CRESCER ECONOMICAMENTE É DEFENDER O AMBIENTE,,,,,763,-1.22
