Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763024,1939164,2022-01-03 00:05:24 WET,2022-01-03,00:05:24,Native Video,"4,101",1693,1182,757,110,16,261,26,33,23,owned,Yes,75199,84008,0,00:27:30,https://www.facebook.com/150808986387/posts/10160361814021388,"DEBATE LEGISLATIVAS 2022 Veja aqui na íntegra o debate entre a porta-voz do Bloco de Esquerda, Catarina Martins, e o líder do Chega, André Ventura.",https://www.facebook.com/sicnoticias/videos/292928992803960/,,,,,,,,"4,101",20.2
SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763024,1939164,2022-01-02 23:34:45 WET,2022-01-02,23:34:45,Native Video,"3,897",1634,1342,383,74,20,392,17,25,10,owned,Yes,88036,100940,0,00:02:34,https://www.facebook.com/150808986387/posts/10160361768781388,"""VENCEU ANDRÉ VENTURA. FOI UM DEBATE ENTRE UM KILLER E UMA MODERADA"" A jornalista do Expresso Ângela Silva considera que André Ventura venceu o debate com Catarina Martins, este domingo, na SIC Notícias. ""Foi um debate entre um killer, demagogo mas killer, e uma moderada, que não era suposto ser tão moderada"", afirma.",https://www.facebook.com/sicnoticias/videos/1290042864846851/,,,,,,,,"3,897",19.2
Expresso,jornalexpresso,43218682948,TOPIC_NEWSPAPER,PT,"Página oficial do Expresso no Facebook. As notícias e a opinião que interessam. Todos os dias, a todas as horas 
https://expresso.pt",2009-01-03 09:57:23,759793,795770,2022-01-03 00:11:35 WET,2022-01-03,00:11:35,Photo,"3,227",357,1647,122,14,12,1024,20,24,7,,-,0,0,0,N/A,https://www.facebook.com/43218682948/posts/10159302041652949,"#Debates Legislativas2022: CATARINA MARTINS MELHOR QUE VENTURA. AS NOTAS DOS COMENTADORES DO EXPRESSO No segundo debate das legislativas, as notas dos comentadores do Expresso dão negativa a André Ventura: o líder do Chega não passa a médio dos 3,8 valores, contra 5,5 da líder do Bloco. Veja porquê, aqui em baixo, lendo a avaliação dos comentadores do Expresso. Daniel Oliveira Catarina Martins – 7 x 5 André Ventura Pela primeira vez, um dirigente de esquerda conseguiu impedir a sabotagem. A todas as interrupções, Catartina Martins nunca se deixou levar. Nunca baixou o nível ou perdeu a calma. Os dois candidatos falavam para os seus potenciais eleitores, não a indecisos entre si. E Catarina Martins precisava de deixar claro que a simetria entre Ventura e ela são absurdas. O que deixou alguns comentadores dececionados. E centrou o debate no terreno que Ventura costuma tentar focar sozinho: na corrupção. Ventura disse para marcar o dia e a hora para debater a corrupção. Faltou, no parlamento, quando se votaram as medidas anticorrupção. Como o conteúdo conta, deve-se reforçar que não teve medo de defender a decência, seja sobre imigrantes ou os mais pobres, mesmo em temas que podem ser impopulares. Foi inteligente na utilização do Papa Francisco no confronto com Ventura. Martim Silva Catarina Martins 4 – 2 André Ventura Catarina Martins procurou levar o debate para temas como a corrupção, tentando combater André Ventura em áreas com que este adora encher a boca. A opção era difícil e arriscada, convenha-se. De qualquer forma, André Ventura (com um discurso que, há que reconhecer, é fácil e pode ter impacto) continua a querer assustar e a usar o discurso do medo, dizendo por exemplo que o RSI é “distribuir subsídios para o pessoal” ou que o apoio aos refugiados e migrantes cria subsidio-dependência. Quem o faz não pode, necessariamente, ter uma avaliação positiva. Cristina Figueiredo Catarina Martins 7, André Ventura 7 A coordenadora do BE trazia a lição bem estudada e manteve-se disciplinadamente dentro do guião, sem se deixar distrair pelas provocações (que já sabia que as teria) do adversário. O presidente do Chega, por sua vez, conseguiu deixar de ser o candidato mal-educado que tínhamos visto em anteriores debates (nas presidenciais). Só por aí, nota positiva para ambos. O debate acabou por afunilar no combate à corrupção, responsabilidade sobretudo de Catarina Martins, que logo na primeira pergunta quis levar a conversa para aí. Não é líquido que tenha sido uma aposta vencedora, até porque (como seria de esperar) a André Ventura não lhe faltavam respostas num território que, a bem dizer, é a sua praia. Feitas as contas, cada um falou para os seus eleitorados e, nessa tarefa, foram ambos bem-sucedidos. Se os eleitorados de cada um são suficientes para que consigam o almejado terceiro lugar nas legislativas... essa é outra conversa. David Dinis Catarina 4 - Ventura 1 Ventura está mais agressivo, mais demagogo, mais insultuoso, mais irascível, mais perigoso do que nunca. Ventura foi, porventura, eficaz para os seus, leva um ponto, porque um ponto é o melhor que se consegue dar a quem entra num debate como se entrasse no Squid Game. Catarina Martins foi cilindrada com ataques e muitos insultos e, em contenção (lembram-se de Marisa Matias?), só mais perto do fim decidiu dizer a verdade: “André Ventura é um condenado por racismo”. Pois é, mas Catarina foi pouco eficaz. Nota: o site do Expresso encontra-se temporariamente indisponível, pelo que estamos a usar as nossas redes sociais para lhe trazer as notícias do dia. Fique connosco. #liberdadeparainformar",https://www.facebook.com/jornalexpresso/photos/a.378167197948/10159302039392949/?type=3,,,,,,,,"3,227",42.46
Edio Antônio Notícias,edioantonionoticias,107569617522185,PRODUCT_SERVICE,BR,"Edio Antônio nasceu em Marmeleiro no Sudoeste do Paraná. Sua carreira no rádio teve início em 1988 em 19 de fevereiro de 2020 deixou o rádio. Em abril de 2020 surgia o seu mais novo projeto o EA Notícias. Mais um sonho deste paranaense.
 ",2020-03-04 17:46:45,20291,31035,2022-01-02 20:55:44 WET,2022-01-02,20:55:44,Photo,"2,162",816,700,147,6,1,0,176,0,316,,-,0,0,0,N/A,https://www.facebook.com/107569617522185/posts/442020080743802,"EA NOTÍCIAS DIRETO DE ORLEANS. “A adolescente Vanessa Martins Figueiredo foi transferida para Florianópolis”. Seguimos com as nossas orações o momento é muito delicado, mas é necessário redobrarmos as nossas preces. Vanessa Martins Figueiredo de 13 anos de idade, estava internada no Hospital Regional de Araranguá. E nesta tarde de domingo 02/01/22, ela foi transferida via Serviço de Resgate Aeromédico Especializado, da Secretaria de Estado da Saúde de Santa Catarina. “Os exames foram feitos e foi constatado um Acidente Vascular Cerebral Isquêmico (AVCI). Agora o neurologista vai ver o que fazer, iniciar um tratamento ou fazer a cirurgia. A Vanessa neste momento as 17:50 está a caminho do Hospital Infantil Joana de Gusmão. A onde será acompanhada por um neurologista e demais médicos”. Conforme relato da mãe Alice Romano Martins. Como é de conhecimento o EA Notícias é uma Plataforma diferente. Somos sensíveis a momentos difíceis como este. Fica aqui mais uma VEZ o nosso pedido, respeitando a crença de cada um, vamos redobrar as nossas orações. Para que a Vanessa retorne curada o mais rápido possível para Orleans. E que Deus de forças aos seus familiares! Pensamentos positivos é o mínimo que podemos fazer neste momento.",https://www.facebook.com/edioantonionoticias/photos/a.109940657285081/442019470743863/?type=3,,,,,,,,"2,162",17.44
Jovem Conservador de Direita,jovemcd,100050453681565,COMEDIAN,PT,"ESPETÁCULOS E PARCERIAS
info@haffdelta.com // +351 916 798 041",2015-10-27 13:35:32,97937,100830,2022-01-03 12:14:35 WET,2022-01-03,12:14:35,Photo,"1,904",777,154,196,146,1,622,1,1,6,,-,0,0,0,N/A,https://www.facebook.com/100050453681565/posts/465409651817487,"Ontem começaram os debates para as Legislativas. Começaram com um debate entre o Dr. António Costa e si próprio, em que o Dr. Rui Tavares também esteve presente. Depois, seguiu-se um debate entre o pior dos partidos extremistas e o Chega. Muita gente criticou o facto de os debates terem apenas 25 minutos. 25 minutos é demasiado tempo. Parecendo que não são quase 10 minutos em que o Dr. Cabeça de Geleia tem de fingir que tem ideias. A verdadeira campanha faz-se nos memes, bebés ao colo, passou-bens e quantidade de velhinhos que o Dr. António Costa grita. Sonho com o dia em que os debates são substituídos por fotos do Instagram de todos os candidatos, seguidos de 24 horas por dia de interpretação das fotos pelos comentadores políticos de todas as televisões. Mais importante que os debates são os debates entre os comentadores especializados sobre os debates. Aí é que as pessoas ficam a perceber quem ganhou e o que foi dito de relevante. Se não lhes explicarem isso podem acabar por votar no partido errado. Uma forma de os partidos se adaptarem aos debates de 25 minutos é apresentar os seus programas em versão haiku. Por exemplo: ""Ciganos à solta Esperam no Mercedes Por subsídios."" CHEGA ""Drogas são boas Enquanto ensino sexo a crianças E mato ricos."" BE ""Liberdade de escolha na saúde Barulho metálico gostoso Na conta dos hospitais privados."" IL “Beber batidos de espinafre Animais felizes Longe do prato.” PAN O debate entre o Dr. Rui Tavares e o Dr. António Costa foi muito tranquilo, como uma conversa entre dois amigos em que um deles não sabe como é que vai pedir dinheiro emprestado ao outro. Mas gostei da dinâmica, podiam criar um podcast depois das eleiçõos. Falou-se bastante sobre aumentar o salário mínimo e muito pouco sobre reduzi-lo. É o que a esquerda faz em campanha, suborna as pessoas com melhores condições de vida. Para ser justo, o Dr. António Costa devia suspender os ordenados dos funcionários públicos até às eleições e diminuir o salário mínimo para duas raspadinhas. O problema de aumentar o salário mínimo é que muitas pessoas que até ganham razoavelmente bem passam a ganhar o salário mínimo. Isso é terrível para a sua auto-estima. Temos de proteger estas pessoas e garantir que elas possam continuar a ser produtivas e felizes sabendo que pelo menos não ganham o salário mínimo. É claro que o dr. Rui Tavares desperdiçou neste debate uma oportunidade de usar o seu superpoder que garantiria uma derrota do dr. António Costa: declarar-lhe o seu apoio. A seguir começou o debate extremista entre o Dr. Cabeça de Geleia e a Dra. Catarina Martins. Notou-se pela sua cara que o Dr. Cabeça de Geleia estava com medo que lhe desse vontade de ir à casa de banho produzir um programa novo do CHEGA. O síndrome do cólon irritável é um problema que afecta muita gente e recomendo ao dr. Cabeça de Geleia que leve fraldas para o próximo debate. Seria até coerente com a sua forma de debater, que passa muito por chorar enquanto o adversário fala. O grande argumento do Dr. Cabeça de Geleia é que “anda tudo a mamar.” Fala-se pouco de mamar na política. Se resulta na música do Dr. Quim Barreiros, também tem de resultar para o Chega. Apesar de tudo, o dr. Cabeça de Geleia tem uma posição construtiva sobre pobres (andam a mamar). O problema é dizê-la em público. A Dra. Catarina Martins acusou o Dr. Cabeça de Geleia de ser cúmplice de corrupção. Ridículo. Ele quer acabar com a corrupção através da legalização. Confrontou-o também com as posições do Dr. Papa. É demasiado baixo a Dra. Catarina Martins usar o Dr. Papa e os polícias para atacar o mais católico e fetichista de fardas da nossa política. Há limites. Além disso acusou-o de ter sido condenado por racismo, ao que o Dr. Cabeça de Geleia respondeu, e bem, que foi condenado por ter ofendido uma família de forma racista. Um bom advogado arranja sempre forma de enquadrar a sua grunhice de forma inteligente. Dizem que o Dr. Cabeça de Geleia é anti-imigração, mas é muito favorável aos vistos gold porque tem muitos amigos que vendem casas. Portugal aos portugueses e estrangeiros com meio milhão para investir em imóveis. É claro que apresentou medidas excelentes para a economia. Por exemplo, a proposta do Dr. Cabeça de Geleia para os desempregados é colocá-los a trabalhar. Como é que ninguém se tinha lembrado disto? ""Sabem como é que podemos resolver o problema do défice? É criar medidas para baixarmos o défice."" Economistas pelo Chega “O nosso plano para a saúde é criar um sistema de saúde de excelente qualidade.” Posto isto, o Dr. Cabeça de Geleia foi, de longe, o vencedor do debate. Falou mais alto, grunhiu várias vezes e apresentou as melhores propostas: - Anda tudo a mamar; - A corrupção é má; - Vamos colocar os desempregados a trabalhar.",https://www.facebook.com/photo.php?fbid=465409425150843&set=a.208076194217502&type=3,,DIRETO 0 DOUTOR COMENTA OS DEBATES,,,,,,"1,904",1.05
CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1154829,1137904,2022-01-02 23:40:10 WET,2022-01-02,23:40:10,Link,"1,823",725,772,65,28,9,210,5,7,2,,-,0,0,0,N/A,https://www.facebook.com/101826228779402/posts/228866266075397,André Ventura diz que a “maior falácia“ do Bloco de Esquerda foi não ter apoiado a duplicação de penas de corrupção.,https://cnnportugal.iol.pt/videos/corrupcao-enquanto-a-catarina-martins-era-atriz-eu-era-inspetor-tributario-diz-ventura/61d22fd70cf2c7ea0f1098d4?utm_source=facebook&utm_medium=social&utm_campaign=ed-cnnportugal,,,"Corrupção? ""Enquanto a Catarina Martins era atriz, eu era inspetor tributário"", diz Ventura","André Ventura diz que a ""maior falácia"" do Bloco de Esquerda foi não ter apoiado a duplicação de penas de corrupção e desafia Catarina de Martins a dar um exemplo de combate ao enriquecimento ilícito.",,,,"1,823",15.45
Catarina Martins,catarinamartinsBE,561856190508045,POLITICIAN,PT,"Coordenadora do Bloco de Esquerda.
Deputada à Assembleia da República, eleita pelo círculo do Porto, desde 2009.",2012-11-27 18:39:14,86458,88292,2022-01-03 21:17:16 WET,2022-01-03,21:17:16,Photo,"1,688",1158,246,56,158,3,47,2,6,12,,-,0,0,0,N/A,https://www.facebook.com/561856190508045/posts/5449358151757800,"No debate de ontem, disse ao candidato da extrema-direita que me levantarei sempre contra o racismo. Hoje, na Solim, estive com migrantes que têm de ser respeitados em Portugal. É também isto que se decide a 30 Janeiro: reforçar o Bloco como terceira força é vencer a extrema-direita. fotos de Pedro Almeida #Legislativas2022",https://www.facebook.com/catarinamartinsBE/photos/a.866514976708830/5449356615091287/?type=3,,,Photos from Catarina Martins's post,,,,,"1,688",3.19
Jovem Conservador de Direita,jovemcd,100050453681565,COMEDIAN,PT,"ESPETÁCULOS E PARCERIAS
info@haffdelta.com // +351 916 798 041",2015-10-27 13:35:32,97993,100884,2022-01-06 23:06:07 WET,2022-01-06,23:06:07,Photo,"1,431",618,122,160,137,1,391,0,1,1,,-,0,0,0,N/A,https://www.facebook.com/100050453681565/posts/467476868277432,"Hoje foi o tão esperado debate entre o primeiro ministro e o auto-proclamado político preferido da Dra. Nossa Senhora de Fátima. O Dr. Cabeça de Geleia estava muito calmo. Pode ser stress pós-traumático do Dr. Rui Tavares. O debate começou com um ataque do Dr. António Costa ao Dr. Cabeça de Geleia por não se ter vacinado. Um ataque totalitário à liberdade individual do Dr. Cabeça de Geleia que tem todo o direito de querer causar boa impressão em burros. O Dr. Cabeça de Geleia disse que não se tinha vacinado porque estava à espera de mais informação. Deve estar à espera do paper do Dr. João Tilly e do CHEGA Vila Real para tomar uma decisão definitiva. E depois até disse que estava a pensar vacinar-se, para desilusão de muitos dos seus fãs. No final, o Dr. António Costa ousou dizer que o debate foi bom porque ""ganharam mais um vacinado"". É preciso mais provas para a ditadura do marxismo cultural do que um primeiro ministro gabar-se literalmente de enfiar uma pica num cidadão de ideologias alternativas? O Dr. Cabeça de Geleia aproveitou a ocasião para culpar o Governo pela pandemia. O que é uma excelente ideia. Há muitas pessoas que não têm gostado da experiência de estar em pandemia e precisam de alguém com quem reclamar. E depois acusou o Governo de não ter preparado bem a pandemia. Presumo que o programa de 9 páginas para o país esteja cheio de planos para lidar com ameaças como pandemias globais ou apocalipses zombie de pedófilos sem gónadas. Criticou o governo por causa dos atrasos no SNS provocados pela pandemia. Algo que certamente nunca aconteceria se o governo tivesse seguido o plano do CHEGA que era: continuar a fazer jantares de dezenas de pessoas sem máscara no pico da pandemia a receber beijinhos da Dra. Maria Vieira. Depois, o Dr. António Costa, como o radical extremista de esquerda que é, resolveu criticar uma das melhores medidas do CHEGA: a flat tax. O moderador abandonou a isenção e pediu ao Dr. Cabeça de Geleia que lhe explicasse como é que ele ia conciliar a descida de impostos com o aumento da despesa que propõe. Ele disse que ia fazer contas e falou sobre o facto de o Presidente e o primeiro ministro terem viajado muito. Ou seja, se pusermos o Dr. Marcelo em teletrabalho conseguimos financiar 5 SNS. Falou ainda da sua proposta para lhe baixarem o próprio salário. O que é muito generoso, já que recebe subsídio de alimentação do Dr. Caesar de Paço. O Dr. Cabeça de Geleia criticou o governo pela taxa de desemprego e muito bem. Com ele e com a sua solução clássica para o desemprego (“pôs os desempregados a trabalhar) a taxa de desemprego seria -40%. Disse depois que ""o IMI é o imposto mais estúpido do Mundo porque andamos a pagar casas a quem não quer trabalhar.” Isto já é só relacionar coisas ao calhas, tipo “o desemprego é um problema porque esses chulos andam a mamar dinheiro do estado” ou “o SNS tem problemas porque eu sofro de hemorróidas.” Depois, o Dr. António Costa fez um golpe baixo ao apontar que o Dr. Cabeça de Geleia pediu licença de um trabalho na autoridade tributária para ir trabalhar como consultor fiscal. Atacar o Dr. Cabeça de Geleia pelo acto heróico de ajudar pessoas a fugir aos impostos do estado socialista é como criticar o Dr. Aristides Sousa Mendes por ajudar na fuga de recursos humanos de offshores de concentração. O Dr. António Costa criticou o Dr. Cabeça de Geleia por ter faltado na votação de uma lei contra corrupção. Ninguém gosta do Dr. Cabeça de Geleia, mas depois parece que ficam muito tristes quando ele lhes faz o favor de nunca ir à AR. Por outro lado, o Dr. Cabeça de Geleia ficou a perceber que os posts no Facebook não contam como propostas para combater a corrupção. Depois o Dr. António Costa criticou a tese de doutoramento do Dr. Cabeça de Geleia por ser demasiado de esquerda. Um excelente momento em que quase conseguiu provar que era mais de direita do que o candidato de extrema direita. É também ingénuo por achar que o Dr. Cabeça de Geleia tem mesmo princípios. Ele pensa aquilo que o facebook decidiu que ele ia pensar. Possui uma enorme flexibilidade de princípios que lhe permite ter um conjunto de princípios como académico e outro conjunto de princípios para falarem dele na televisão. É natural que já tenha sido mais de esquerda do que o Dr. António Costa. O Dr. Cabeça de Geleia terminou em grande com os grandes trunfos. Disse “Sócrates” e logo ali ficou a meia Venezuela de ganhar o debate. Depois colou o primeiro ministro a um processo de pedofilia. Se a extrema direita tem uma utilidade é fazer este trabalho sujo mas necessário para que nós, democratas, não tenhamos de o fazer. Acabou o debate sem fazer uma única menção à Mercedes, o que é pena. É uma marca que produz excelentes automóveis, como é reconhecido pela maior parte dos subsidiodependentes. Depois aconteceu o debate entre o Dr. Cotrim Figueiredo e a Dra. Catarina Martins. É um debate que pode ser resumido entre “liberalismo - liberdade, socialismo - ditadura.” Fim. O Dr. Cotrim (truncated)",https://www.facebook.com/photo.php?fbid=467476848277434&set=a.208076194217502&type=3,,DIRETO 0 DOUTOR COMENTADS DEBATES,,,,,,"1,431",-1.23
Jovem Conservador de Direita,jovemcd,100050453681565,COMEDIAN,PT,"ESPETÁCULOS E PARCERIAS
info@haffdelta.com // +351 916 798 041",2015-10-27 13:35:32,97935,100828,2022-01-04 22:41:43 WET,2022-01-04,22:41:43,Photo,"1,336",554,68,112,127,2,468,0,1,4,,-,0,0,0,N/A,https://www.facebook.com/100050453681565/posts/466268755064910,"Hoje houve mais três debates, nenhum dos quais com grande interesse. A extrema esquerda debateu toda entre si. Começou com um debate entre o LIVRE, que pode ser definido como ala direita do BE, e o BE, que em termos ideológicos é como se fosse a ala esquerda do LIVRE. Foi basicamente um debate sobre as diferenças entre a Coca Cola da esquerda e a Pepsi da esquerda. Serviu para o Dr. Rui Tavares relembrar as pessoas da sua existência e pouco mais. Durante estes longos 25 minutos, estes dois extremistas de esquerda debateram coisas horríveis como o papel de Portugal na UE, o aumento do salário mínimo ou o investimento no SNS. É muito grave numa democracia termos partidos extremistas a fazerem este tipo de propaganda na televisão. Seria o equivalente a ter o CHEGA e o ERGUE-TE a discutir técnicas de remoção de testículos em horário nobre. Mas os meios de comunicação social são de esquerda por isso aceita-se. Falaram também de alterações climáticas. Se eu fosse jornalista colocaria a seguinte questão: ""Usando um cometa como metáfora subtil para as alterações climáticas, quais dos dois é que se oferece para ser disparado num canhão contra a Lua?” Era bom para a nossa democracia termos esquerdalhos a comprometer-se com o seu envio para a estratosfera. Um dos pontos altos do debate foi quando a Dra. Catarina Martins disse que o Dr. Rui Tavares parecia o Dr. António Costa a falar. O Dr. Rui Tavares fez a cara que o estagiário faria se alguém, por absurdo, o comparasse comigo. As pessoas não sabem porque, àquela hora estavam todas em massa a ver o debate BE/LIVRE, mas à mesma hora no Big Brother Famosos, o Dr. Bruno de Carvalho estava numa acesa discussão com o Dr. Kasha sobre a necessidade de financiar o SNS. Ninguém diria, mas o Dr. Kasha sabe muito sobre burnout de profissionais de saúde. O Dr. Bruno de Carvalho fez-lhes uma ovação para mostrar que também está do lado daqueles que fazem tudo pela nossa saúde. O Dr. Jardel entrou no debate para dizer que já foi operado ao apêndice. Bom argumento. Mas as pessoas perderam este grande momento porque estão obcecadas com as nuances entre BE e LIVRE. O outro debate entre radicais de esquerda foi entre Dr. António Costa e Dr. Jerónimo de Sousa. Quem ouve o Dr. António Costa a falar quase nem percebe que esteve 6 anos a servir de marioneta do PCP. Por outro lado, quem ouve o Dr. Jerónimo de Sousa a falar quase nem percebe que esteve 6 anos a comprometer os seus princípios para ajudar o PS. Apesar de tudo tenho de deixar um agradecimento a estes dois intervenientes. Fizeram cair o Governo. Um chumbou o OE e o outro não cedeu à esquerda. Não sei se sabem, mas cada vez que o Dr. Jerónimo de Sousa diz portanto a pele do cadáver embalsamado do Dr. Lenine fica 0,00001% mais hidratada. Proponho um drinking game a todos os meus seguidores de esquerda: bebam um shot de vodka sempre que o Dr. Jerónimo de Sousa diz “portanto” e faleçam passados 5 minutos. O Dr. Jerónimo de Sousa mostrou abertura para uma nova geringonça. Ou seja, não se importa de abdicar do seu comunismo para continuar a manobrar o Dr. António Costa. Por outro lado, o Dr. António Costa não sente confiança numa futura geringonça. Sente-se traído porque os partidos de esquerda se recusaram a abdicar do seu programa para ele poder continuar a exercer o cargo de primeiro ministro. Ou seja, só voltará a haver geringonça se o Dr. Jerónimo de Sousa lhe oferecer uma caixa de Mon Chèri e uma serenata de cante alentejano. Foram dois debates pouco interessantes em que se debateram questões irrelevantes como economia, pandemia, SNS, etc. Ninguém falou sobre prisão perpétua ou remoção de gónadas de pedófilos. Os jornalistas foram terrivelmente enviesados e permitiram que os candidatos falassem sem os confrontarem com questões verdadeiramente importantes, como a posição sobre o regime nortecoreano, a Venezuela e o facto de existirem comunistas com iPhones. Nem um foi capaz de lhes perguntar se sabem quantas vítimas fez o socialismo. É que desde a revolução de Outubro até Pedrógão Grande foram cerca de 500 mil milhões. Como ninguém gritou os jornalistas não vão conseguir dizer quem ganhou estes debates. Ninguém foi killer. Perderam todos, como acontece na esquerda. Perdem demasiado tempo a debater os seus programas em vez de arrasar, humilhar e aniquilar os seus adversários. Felizmente, enquanto decorria este debate, estava a decorrer um mais interessante sobre o salário mínimo no Big Brother Famosos. A Dra. Jaciara é contra porque as pessoas só devem receber aquilo que produzem. O Dr. Leandro diz que o salário mínimo devia ser 3 milhões. O Dr. Jardel diz que gosta de dinheiro. O Dr. Kasha está triste porque ainda ninguém falou de ganza grátis. Depois houve um debate realmente interessante, entre o Dr. Chicão e a Dra. Inês Sousa Real do PAN. O Dr. Chicão gritou muito, por isso ganhou. Fez lembrar um porco durante a sua própria matança. A guinchar e a espernear para tentar persuadir as pessoas de que ele ainda existe (truncated)",https://www.facebook.com/photo.php?fbid=466268505064935&set=a.208076194217502&type=3,,た.G 21:26 18:21 DIRETO 0 DOUTOR COMENTA OS DEBATES Î×× AIS-NATUREZA PES,,,,,,"1,336",-1.36
Iniciativa Liberal,iniciativaliberal,282717852317261,POLITICAL_PARTY,PT,"Partido Iniciativa Liberal. Mais Liberdade Política, Social e Económica. Juntos somos alternativa por um Portugal Mais Liberal.",2018-08-22 19:59:20,105180,116879,2022-01-07 12:39:32 WET,2022-01-07,12:39:32,Native Video,"1,288",926,110,128,81,2,39,0,1,1,owned,Yes,7580,8327,0,00:00:44,https://www.facebook.com/282717852317261/posts/979371202651919,"🇩🇰 - Catarina Martins: Nós não nos importávamos muito de ter os rendimentos da Dinamarca - João Cotrim Figueiredo: Basta ter as políticas da Dinamarca, ó Catarina. ❓ Qual é o país que implementa o modelo económico de desenvolvimento que o BE defende? #PortugalMaisLiberal",https://www.facebook.com/iniciativaliberal/videos/345927030379756/,,,,,,,,"1,288",1.33
