Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Jovem Conservador de Direita,jovemcd,100050453681565,COMEDIAN,PT,"ESPETÁCULOS E PARCERIAS
info@haffdelta.com // +351 916 798 041",2015-10-27 13:35:32,97937,100830,2022-01-03 12:14:35 WET,2022-01-03,12:14:35,Photo,"1,904",777,154,196,146,1,622,1,1,6,,-,0,0,0,N/A,https://www.facebook.com/100050453681565/posts/465409651817487,"Ontem começaram os debates para as Legislativas. Começaram com um debate entre o Dr. António Costa e si próprio, em que o Dr. Rui Tavares também esteve presente. Depois, seguiu-se um debate entre o pior dos partidos extremistas e o Chega. Muita gente criticou o facto de os debates terem apenas 25 minutos. 25 minutos é demasiado tempo. Parecendo que não são quase 10 minutos em que o Dr. Cabeça de Geleia tem de fingir que tem ideias. A verdadeira campanha faz-se nos memes, bebés ao colo, passou-bens e quantidade de velhinhos que o Dr. António Costa grita. Sonho com o dia em que os debates são substituídos por fotos do Instagram de todos os candidatos, seguidos de 24 horas por dia de interpretação das fotos pelos comentadores políticos de todas as televisões. Mais importante que os debates são os debates entre os comentadores especializados sobre os debates. Aí é que as pessoas ficam a perceber quem ganhou e o que foi dito de relevante. Se não lhes explicarem isso podem acabar por votar no partido errado. Uma forma de os partidos se adaptarem aos debates de 25 minutos é apresentar os seus programas em versão haiku. Por exemplo: ""Ciganos à solta Esperam no Mercedes Por subsídios."" CHEGA ""Drogas são boas Enquanto ensino sexo a crianças E mato ricos."" BE ""Liberdade de escolha na saúde Barulho metálico gostoso Na conta dos hospitais privados."" IL “Beber batidos de espinafre Animais felizes Longe do prato.” PAN O debate entre o Dr. Rui Tavares e o Dr. António Costa foi muito tranquilo, como uma conversa entre dois amigos em que um deles não sabe como é que vai pedir dinheiro emprestado ao outro. Mas gostei da dinâmica, podiam criar um podcast depois das eleiçõos. Falou-se bastante sobre aumentar o salário mínimo e muito pouco sobre reduzi-lo. É o que a esquerda faz em campanha, suborna as pessoas com melhores condições de vida. Para ser justo, o Dr. António Costa devia suspender os ordenados dos funcionários públicos até às eleições e diminuir o salário mínimo para duas raspadinhas. O problema de aumentar o salário mínimo é que muitas pessoas que até ganham razoavelmente bem passam a ganhar o salário mínimo. Isso é terrível para a sua auto-estima. Temos de proteger estas pessoas e garantir que elas possam continuar a ser produtivas e felizes sabendo que pelo menos não ganham o salário mínimo. É claro que o dr. Rui Tavares desperdiçou neste debate uma oportunidade de usar o seu superpoder que garantiria uma derrota do dr. António Costa: declarar-lhe o seu apoio. A seguir começou o debate extremista entre o Dr. Cabeça de Geleia e a Dra. Catarina Martins. Notou-se pela sua cara que o Dr. Cabeça de Geleia estava com medo que lhe desse vontade de ir à casa de banho produzir um programa novo do CHEGA. O síndrome do cólon irritável é um problema que afecta muita gente e recomendo ao dr. Cabeça de Geleia que leve fraldas para o próximo debate. Seria até coerente com a sua forma de debater, que passa muito por chorar enquanto o adversário fala. O grande argumento do Dr. Cabeça de Geleia é que “anda tudo a mamar.” Fala-se pouco de mamar na política. Se resulta na música do Dr. Quim Barreiros, também tem de resultar para o Chega. Apesar de tudo, o dr. Cabeça de Geleia tem uma posição construtiva sobre pobres (andam a mamar). O problema é dizê-la em público. A Dra. Catarina Martins acusou o Dr. Cabeça de Geleia de ser cúmplice de corrupção. Ridículo. Ele quer acabar com a corrupção através da legalização. Confrontou-o também com as posições do Dr. Papa. É demasiado baixo a Dra. Catarina Martins usar o Dr. Papa e os polícias para atacar o mais católico e fetichista de fardas da nossa política. Há limites. Além disso acusou-o de ter sido condenado por racismo, ao que o Dr. Cabeça de Geleia respondeu, e bem, que foi condenado por ter ofendido uma família de forma racista. Um bom advogado arranja sempre forma de enquadrar a sua grunhice de forma inteligente. Dizem que o Dr. Cabeça de Geleia é anti-imigração, mas é muito favorável aos vistos gold porque tem muitos amigos que vendem casas. Portugal aos portugueses e estrangeiros com meio milhão para investir em imóveis. É claro que apresentou medidas excelentes para a economia. Por exemplo, a proposta do Dr. Cabeça de Geleia para os desempregados é colocá-los a trabalhar. Como é que ninguém se tinha lembrado disto? ""Sabem como é que podemos resolver o problema do défice? É criar medidas para baixarmos o défice."" Economistas pelo Chega “O nosso plano para a saúde é criar um sistema de saúde de excelente qualidade.” Posto isto, o Dr. Cabeça de Geleia foi, de longe, o vencedor do debate. Falou mais alto, grunhiu várias vezes e apresentou as melhores propostas: - Anda tudo a mamar; - A corrupção é má; - Vamos colocar os desempregados a trabalhar.",https://www.facebook.com/photo.php?fbid=465409425150843&set=a.208076194217502&type=3,,DIRETO 0 DOUTOR COMENTA OS DEBATES,,,,,,"1,904",1.05
Expresso,jornalexpresso,43218682948,TOPIC_NEWSPAPER,PT,"Página oficial do Expresso no Facebook. As notícias e a opinião que interessam. Todos os dias, a todas as horas 
https://expresso.pt",2009-01-03 09:57:23,760641,796750,2022-01-06 09:00:42 WET,2022-01-06,09:00:42,Link,"1,853",396,803,65,67,11,491,8,10,2,,-,0,0,0,N/A,https://www.facebook.com/43218682948/posts/10159307305467949,"Pode haver um debate esclarecedor entre dois pólos realmente opostos em tudo? Pode, respondem os comentadores do Expresso. Neste caso, vitória clara atribuída ao líder do Livre",https://expresso.pt/politica/rui-tavares-levou-ventura-as-cordas-e-fez-ko-as-notas-e-analises-dos-comentadores-expresso,https://expresso.pt/politica/rui-tavares-levou-ventura-as-cordas-e-fez-ko-as-notas-e-analises-dos-comentadores-expresso/,,Rui Tavares levou Ventura às cordas e fez KO (as notas e análises dos comentadores Expresso) - Expresso,"Pode haver um debate esclarecedor entre dois pólos realmente opostos em tudo? Pode, respondem os comentadores do Expresso. Neste caso, vitória clara atribuída ao líder do Livre",,,,"1,853",25.74
SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763675,1940405,2022-01-06 12:22:08 WET,2022-01-06,12:22:08,Link,"1,742",347,735,46,47,5,539,7,11,5,,-,0,0,0,N/A,https://www.facebook.com/150808986387/posts/10160367992861388,"Pode haver um debate esclarecedor entre dois pólos realmente opostos em tudo? Pode, respondem os comentadores do Expresso. Neste caso, vitória clara atribuída ao líder do Livre. No Expresso",https://expresso.pt/eleicoes-legislativas-2022/rui-tavares-levou-ventura-as-cordas-e-fez-ko-as-notas-e-analises-dos-comentadores-expresso/,,,Rui Tavares levou Ventura às cordas e fez KO (as notas e análises dos comentadores Expresso),"Pode haver um debate esclarecedor entre dois pólos realmente opostos em tudo? Pode, respondem os comentadores do Expresso. Neste caso, vitória clara atribuída ao líder do Livre",,,,"1,742",18.34
Jovem Conservador de Direita,jovemcd,100050453681565,COMEDIAN,PT,"ESPETÁCULOS E PARCERIAS
info@haffdelta.com // +351 916 798 041",2015-10-27 13:35:32,97993,100884,2022-01-06 23:06:07 WET,2022-01-06,23:06:07,Photo,"1,431",618,122,160,137,1,391,0,1,1,,-,0,0,0,N/A,https://www.facebook.com/100050453681565/posts/467476868277432,"Hoje foi o tão esperado debate entre o primeiro ministro e o auto-proclamado político preferido da Dra. Nossa Senhora de Fátima. O Dr. Cabeça de Geleia estava muito calmo. Pode ser stress pós-traumático do Dr. Rui Tavares. O debate começou com um ataque do Dr. António Costa ao Dr. Cabeça de Geleia por não se ter vacinado. Um ataque totalitário à liberdade individual do Dr. Cabeça de Geleia que tem todo o direito de querer causar boa impressão em burros. O Dr. Cabeça de Geleia disse que não se tinha vacinado porque estava à espera de mais informação. Deve estar à espera do paper do Dr. João Tilly e do CHEGA Vila Real para tomar uma decisão definitiva. E depois até disse que estava a pensar vacinar-se, para desilusão de muitos dos seus fãs. No final, o Dr. António Costa ousou dizer que o debate foi bom porque ""ganharam mais um vacinado"". É preciso mais provas para a ditadura do marxismo cultural do que um primeiro ministro gabar-se literalmente de enfiar uma pica num cidadão de ideologias alternativas? O Dr. Cabeça de Geleia aproveitou a ocasião para culpar o Governo pela pandemia. O que é uma excelente ideia. Há muitas pessoas que não têm gostado da experiência de estar em pandemia e precisam de alguém com quem reclamar. E depois acusou o Governo de não ter preparado bem a pandemia. Presumo que o programa de 9 páginas para o país esteja cheio de planos para lidar com ameaças como pandemias globais ou apocalipses zombie de pedófilos sem gónadas. Criticou o governo por causa dos atrasos no SNS provocados pela pandemia. Algo que certamente nunca aconteceria se o governo tivesse seguido o plano do CHEGA que era: continuar a fazer jantares de dezenas de pessoas sem máscara no pico da pandemia a receber beijinhos da Dra. Maria Vieira. Depois, o Dr. António Costa, como o radical extremista de esquerda que é, resolveu criticar uma das melhores medidas do CHEGA: a flat tax. O moderador abandonou a isenção e pediu ao Dr. Cabeça de Geleia que lhe explicasse como é que ele ia conciliar a descida de impostos com o aumento da despesa que propõe. Ele disse que ia fazer contas e falou sobre o facto de o Presidente e o primeiro ministro terem viajado muito. Ou seja, se pusermos o Dr. Marcelo em teletrabalho conseguimos financiar 5 SNS. Falou ainda da sua proposta para lhe baixarem o próprio salário. O que é muito generoso, já que recebe subsídio de alimentação do Dr. Caesar de Paço. O Dr. Cabeça de Geleia criticou o governo pela taxa de desemprego e muito bem. Com ele e com a sua solução clássica para o desemprego (“pôs os desempregados a trabalhar) a taxa de desemprego seria -40%. Disse depois que ""o IMI é o imposto mais estúpido do Mundo porque andamos a pagar casas a quem não quer trabalhar.” Isto já é só relacionar coisas ao calhas, tipo “o desemprego é um problema porque esses chulos andam a mamar dinheiro do estado” ou “o SNS tem problemas porque eu sofro de hemorróidas.” Depois, o Dr. António Costa fez um golpe baixo ao apontar que o Dr. Cabeça de Geleia pediu licença de um trabalho na autoridade tributária para ir trabalhar como consultor fiscal. Atacar o Dr. Cabeça de Geleia pelo acto heróico de ajudar pessoas a fugir aos impostos do estado socialista é como criticar o Dr. Aristides Sousa Mendes por ajudar na fuga de recursos humanos de offshores de concentração. O Dr. António Costa criticou o Dr. Cabeça de Geleia por ter faltado na votação de uma lei contra corrupção. Ninguém gosta do Dr. Cabeça de Geleia, mas depois parece que ficam muito tristes quando ele lhes faz o favor de nunca ir à AR. Por outro lado, o Dr. Cabeça de Geleia ficou a perceber que os posts no Facebook não contam como propostas para combater a corrupção. Depois o Dr. António Costa criticou a tese de doutoramento do Dr. Cabeça de Geleia por ser demasiado de esquerda. Um excelente momento em que quase conseguiu provar que era mais de direita do que o candidato de extrema direita. É também ingénuo por achar que o Dr. Cabeça de Geleia tem mesmo princípios. Ele pensa aquilo que o facebook decidiu que ele ia pensar. Possui uma enorme flexibilidade de princípios que lhe permite ter um conjunto de princípios como académico e outro conjunto de princípios para falarem dele na televisão. É natural que já tenha sido mais de esquerda do que o Dr. António Costa. O Dr. Cabeça de Geleia terminou em grande com os grandes trunfos. Disse “Sócrates” e logo ali ficou a meia Venezuela de ganhar o debate. Depois colou o primeiro ministro a um processo de pedofilia. Se a extrema direita tem uma utilidade é fazer este trabalho sujo mas necessário para que nós, democratas, não tenhamos de o fazer. Acabou o debate sem fazer uma única menção à Mercedes, o que é pena. É uma marca que produz excelentes automóveis, como é reconhecido pela maior parte dos subsidiodependentes. Depois aconteceu o debate entre o Dr. Cotrim Figueiredo e a Dra. Catarina Martins. É um debate que pode ser resumido entre “liberalismo - liberdade, socialismo - ditadura.” Fim. O Dr. Cotrim (truncated)",https://www.facebook.com/photo.php?fbid=467476848277434&set=a.208076194217502&type=3,,DIRETO 0 DOUTOR COMENTADS DEBATES,,,,,,"1,431",-1.23
CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1155036,1138258,2022-01-05 22:16:18 WET,2022-01-05,22:16:18,Live Video Complete,"1,366",204,934,74,74,7,27,5,36,5,owned,Yes,12843,13108,0,00:29:13,https://www.facebook.com/101826228779402/posts/224183083114743,Acompanhe aqui o debate entre André Ventura (Chega) e Rui Tavares (Livre) e deixe a sua opinião nos comentários.,https://www.facebook.com/cnnportugal/videos/224183083114743/,,,Acompanhe aqui o debate Chega vs Livre,,,,,"1,366",1.07
Jovem Conservador de Direita,jovemcd,100050453681565,COMEDIAN,PT,"ESPETÁCULOS E PARCERIAS
info@haffdelta.com // +351 916 798 041",2015-10-27 13:35:32,97935,100828,2022-01-04 22:41:43 WET,2022-01-04,22:41:43,Photo,"1,336",554,68,112,127,2,468,0,1,4,,-,0,0,0,N/A,https://www.facebook.com/100050453681565/posts/466268755064910,"Hoje houve mais três debates, nenhum dos quais com grande interesse. A extrema esquerda debateu toda entre si. Começou com um debate entre o LIVRE, que pode ser definido como ala direita do BE, e o BE, que em termos ideológicos é como se fosse a ala esquerda do LIVRE. Foi basicamente um debate sobre as diferenças entre a Coca Cola da esquerda e a Pepsi da esquerda. Serviu para o Dr. Rui Tavares relembrar as pessoas da sua existência e pouco mais. Durante estes longos 25 minutos, estes dois extremistas de esquerda debateram coisas horríveis como o papel de Portugal na UE, o aumento do salário mínimo ou o investimento no SNS. É muito grave numa democracia termos partidos extremistas a fazerem este tipo de propaganda na televisão. Seria o equivalente a ter o CHEGA e o ERGUE-TE a discutir técnicas de remoção de testículos em horário nobre. Mas os meios de comunicação social são de esquerda por isso aceita-se. Falaram também de alterações climáticas. Se eu fosse jornalista colocaria a seguinte questão: ""Usando um cometa como metáfora subtil para as alterações climáticas, quais dos dois é que se oferece para ser disparado num canhão contra a Lua?” Era bom para a nossa democracia termos esquerdalhos a comprometer-se com o seu envio para a estratosfera. Um dos pontos altos do debate foi quando a Dra. Catarina Martins disse que o Dr. Rui Tavares parecia o Dr. António Costa a falar. O Dr. Rui Tavares fez a cara que o estagiário faria se alguém, por absurdo, o comparasse comigo. As pessoas não sabem porque, àquela hora estavam todas em massa a ver o debate BE/LIVRE, mas à mesma hora no Big Brother Famosos, o Dr. Bruno de Carvalho estava numa acesa discussão com o Dr. Kasha sobre a necessidade de financiar o SNS. Ninguém diria, mas o Dr. Kasha sabe muito sobre burnout de profissionais de saúde. O Dr. Bruno de Carvalho fez-lhes uma ovação para mostrar que também está do lado daqueles que fazem tudo pela nossa saúde. O Dr. Jardel entrou no debate para dizer que já foi operado ao apêndice. Bom argumento. Mas as pessoas perderam este grande momento porque estão obcecadas com as nuances entre BE e LIVRE. O outro debate entre radicais de esquerda foi entre Dr. António Costa e Dr. Jerónimo de Sousa. Quem ouve o Dr. António Costa a falar quase nem percebe que esteve 6 anos a servir de marioneta do PCP. Por outro lado, quem ouve o Dr. Jerónimo de Sousa a falar quase nem percebe que esteve 6 anos a comprometer os seus princípios para ajudar o PS. Apesar de tudo tenho de deixar um agradecimento a estes dois intervenientes. Fizeram cair o Governo. Um chumbou o OE e o outro não cedeu à esquerda. Não sei se sabem, mas cada vez que o Dr. Jerónimo de Sousa diz portanto a pele do cadáver embalsamado do Dr. Lenine fica 0,00001% mais hidratada. Proponho um drinking game a todos os meus seguidores de esquerda: bebam um shot de vodka sempre que o Dr. Jerónimo de Sousa diz “portanto” e faleçam passados 5 minutos. O Dr. Jerónimo de Sousa mostrou abertura para uma nova geringonça. Ou seja, não se importa de abdicar do seu comunismo para continuar a manobrar o Dr. António Costa. Por outro lado, o Dr. António Costa não sente confiança numa futura geringonça. Sente-se traído porque os partidos de esquerda se recusaram a abdicar do seu programa para ele poder continuar a exercer o cargo de primeiro ministro. Ou seja, só voltará a haver geringonça se o Dr. Jerónimo de Sousa lhe oferecer uma caixa de Mon Chèri e uma serenata de cante alentejano. Foram dois debates pouco interessantes em que se debateram questões irrelevantes como economia, pandemia, SNS, etc. Ninguém falou sobre prisão perpétua ou remoção de gónadas de pedófilos. Os jornalistas foram terrivelmente enviesados e permitiram que os candidatos falassem sem os confrontarem com questões verdadeiramente importantes, como a posição sobre o regime nortecoreano, a Venezuela e o facto de existirem comunistas com iPhones. Nem um foi capaz de lhes perguntar se sabem quantas vítimas fez o socialismo. É que desde a revolução de Outubro até Pedrógão Grande foram cerca de 500 mil milhões. Como ninguém gritou os jornalistas não vão conseguir dizer quem ganhou estes debates. Ninguém foi killer. Perderam todos, como acontece na esquerda. Perdem demasiado tempo a debater os seus programas em vez de arrasar, humilhar e aniquilar os seus adversários. Felizmente, enquanto decorria este debate, estava a decorrer um mais interessante sobre o salário mínimo no Big Brother Famosos. A Dra. Jaciara é contra porque as pessoas só devem receber aquilo que produzem. O Dr. Leandro diz que o salário mínimo devia ser 3 milhões. O Dr. Jardel diz que gosta de dinheiro. O Dr. Kasha está triste porque ainda ninguém falou de ganza grátis. Depois houve um debate realmente interessante, entre o Dr. Chicão e a Dra. Inês Sousa Real do PAN. O Dr. Chicão gritou muito, por isso ganhou. Fez lembrar um porco durante a sua própria matança. A guinchar e a espernear para tentar persuadir as pessoas de que ele ainda existe (truncated)",https://www.facebook.com/photo.php?fbid=466268505064935&set=a.208076194217502&type=3,,た.G 21:26 18:21 DIRETO 0 DOUTOR COMENTA OS DEBATES Î×× AIS-NATUREZA PES,,,,,,"1,336",-1.36
SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763675,1940405,2022-01-06 01:06:06 WET,2022-01-06,01:06:06,Link,"1,319",287,797,32,14,9,165,5,5,5,,-,0,0,0,N/A,https://www.facebook.com/150808986387/posts/10160367310196388,"Debate fica marcado pela alegação de Rui Tavares de que o Chega é financiado por “gente ligada à indústria do armamento“ e a casos de “burla do Estado angolano”, e a “gente com contas em offshore“.",https://sicnoticias.pt/eleicoes-legislativas/legislativas-tavares-critica-candidato-do-sistema-ventura-acusa-livre-de-ter-programa-anacronico,https://sicnoticias.pt/eleicoes-legislativas/legislativas-tavares-critica-candidato-do-sistema-ventura-acusa-livre-de-ter-programa-anacronico/,,"Legislativas: Tavares critica “candidato do sistema”, Ventura acusa Livre de ter programa “anacrónico”",,,,,"1,319",13.88
CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1155138,1138409,2022-01-06 08:45:08 WET,2022-01-06,08:45:08,Link,"1,040",141,611,47,5,2,220,4,9,1,,-,0,0,0,N/A,https://www.facebook.com/101826228779402/posts/231123062516384,"Faltam 24 dias para as eleições e ainda não sabemos quem poderá ir votar. Mas já sabemos que é possível arrumar com André Ventura num debate, como Rui Tavares demonstrou. A coluna Folhetim de Voto, com análise e opinião de Filipe Santos Costa.",https://cnnportugal.iol.pt/cotrim-figueiredo/francisco-rodrigues-dos-santos/folhetim-de-voto-rui-tavares-despachou-andre-ventura-com-varios-zeros/20220106/61d6855f0cf2c7ea0f11611f?utm_source=facebook&utm_medium=social&utm_campaign=ed-cnnportugal,,,Folhetim de voto: Rui Tavares despachou André Ventura com vários zeros,"Faltam 24 dias para as eleições, e ainda não sabemos quem poderá ir votar - a solução para que quem está confinado possa ir às urnas depende do Governo. Mas já sabemos que é possível arrumar com André Ventura num debate, como Rui Tavares demonstrou. A coluna diária de análise e opiniã...",,,,"1,040",9.2
CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1155036,1138258,2022-01-05 23:45:09 WET,2022-01-05,23:45:09,Link,841,255,447,25,27,2,69,4,12,0,,-,0,0,0,N/A,https://www.facebook.com/101826228779402/posts/230898095872214,"André Ventura voltou a criticar o programa eleitoral do partido de Rui Tavares, por este defender que a quem nasce em Portugal deve ser automaticamente concedida a nacionalidade portuguesa.",https://cnnportugal.iol.pt/videos/finalmente-ha-uma-forca-o-chega-que-desmascara-a-extrema-esquerda-em-portugal-culmina-ventura/61d6245e0cf21a10a417cf4e?utm_source=facebook&utm_medium=social&utm_campaign=ed-cnnportugal,,,"“Finalmente, há uma força [o Chega] que desmascara a extrema-esquerda em Portugal”, culmina Ventura","No debate eleitoral entre o Livre e o Chega, André Ventura voltou a criticar o programa eleitoral do partido de Rui Tavares, por este defender que a quem nasce em Portugal deve ser automaticamente concedida a nacionalidade portuguesa.",,,,841,7.31
Expresso,jornalexpresso,43218682948,TOPIC_NEWSPAPER,PT,"Página oficial do Expresso no Facebook. As notícias e a opinião que interessam. Todos os dias, a todas as horas 
https://expresso.pt",2009-01-03 09:57:23,760641,796750,2022-01-06 00:26:08 WET,2022-01-06,00:26:08,Link,803,209,447,5,9,4,125,0,1,3,,-,0,0,0,N/A,https://www.facebook.com/43218682948/posts/10159306823277949,"Num frente a frente em que os adversários estão em lados diametralmente opostos, Rui Tavares e André Ventura trocaram acusações mútuas, mas falaram sobretudo para os seus eleitorados. Apesar do tom civilizado, o candidato do Livre surpreendeu logo ao ataque",https://expresso.pt/eleicoes-legislativas-2022/676,https://expresso.pt/eleicoes-legislativas-2022/676/,,"Entre Joacine e Vieira, o debate em que Tavares surpreendeu Ventura",,,,,803,11.15
