Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
PAN - Pessoas Animais Natureza,PANpartido,890462117681551,POLITICAL_ORGANIZATION,PT,Pessoas-Animais-Natureza,2015-05-17 20:36:09,165617,166630,2022-01-05 19:00:03 WET,2022-01-05,19:00:03,Link,"1,469",923,151,142,218,1,1,6,22,5,,-,0,0,0,N/A,https://www.facebook.com/890462117681551/posts/4848591028535287,"JOÃO MOURA ACUSADO DE 18 CRIMES DE MAUS-TRATOS ANIMAIS Depois de anos a abusar de animais – dentro e fora das praças de touros – finalmente João Moura foi acusado por 18 crimes de maus-tratos a animais, um dos quais agravado. Como afirma a nossa Porta-voz Inês de Sousa Real, “por força da alteração que conseguimos fazer ao Código Penal no início desta legislatura, com as circunstâncias agravantes, a pena de prisão é de dois anos e quatro meses, existindo neste caso um concurso real de crimes.” O PAN já tinha alertado para o trato que João Moura tinha para com os seus animais de companhia, deixando os seus cães a morrer à fome e em condições de vida lastimáveis, e estivemos ao lado das associações de proteção animal e anti-tourada que protestaram contra a sua condecoração em 2021. Agora, finalmente João Moura terá de responder em tribunal pelos seus crimes. Lê aqui a notícia completa 👉 https://www.jn.pt/justica/cavaleiro-joao-moura-acusado-de-18-crimes-de-maus-tratos-a-animais-14463543.html?utm_source=dlvr.it&utm_medium=twitter&fbclid=IwAR1t7jQEB7qXxyHIZeP_x4BQlDCdJqAoz8M4ypHuFC5mx71S9eVQabzXs8g",https://www.jn.pt/justica/cavaleiro-joao-moura-acusado-de-18-crimes-de-maus-tratos-a-animais-14463543.html?utm_source=dlvr.it&utm_medium=twitter,,,Cavaleiro João Moura acusado de 18 crimes de maus-tratos a animais,"O Ministério Público de Portalegre requereu o julgamento de João Moura por 18 crimes de maus tratos a animais de companhia, um dos quais agravado. A acusação surge após a descoberta de vários cães subnutridos na propriedade do ator. Um dos animais acabou mesmo por morrer.",,,,"1,469",12.77
Jovem Conservador de Direita,jovemcd,100050453681565,COMEDIAN,PT,"ESPETÁCULOS E PARCERIAS
info@haffdelta.com // +351 916 798 041",2015-10-27 13:35:32,97935,100828,2022-01-04 22:41:43 WET,2022-01-04,22:41:43,Photo,"1,336",554,68,112,127,2,468,0,1,4,,-,0,0,0,N/A,https://www.facebook.com/100050453681565/posts/466268755064910,"Hoje houve mais três debates, nenhum dos quais com grande interesse. A extrema esquerda debateu toda entre si. Começou com um debate entre o LIVRE, que pode ser definido como ala direita do BE, e o BE, que em termos ideológicos é como se fosse a ala esquerda do LIVRE. Foi basicamente um debate sobre as diferenças entre a Coca Cola da esquerda e a Pepsi da esquerda. Serviu para o Dr. Rui Tavares relembrar as pessoas da sua existência e pouco mais. Durante estes longos 25 minutos, estes dois extremistas de esquerda debateram coisas horríveis como o papel de Portugal na UE, o aumento do salário mínimo ou o investimento no SNS. É muito grave numa democracia termos partidos extremistas a fazerem este tipo de propaganda na televisão. Seria o equivalente a ter o CHEGA e o ERGUE-TE a discutir técnicas de remoção de testículos em horário nobre. Mas os meios de comunicação social são de esquerda por isso aceita-se. Falaram também de alterações climáticas. Se eu fosse jornalista colocaria a seguinte questão: ""Usando um cometa como metáfora subtil para as alterações climáticas, quais dos dois é que se oferece para ser disparado num canhão contra a Lua?” Era bom para a nossa democracia termos esquerdalhos a comprometer-se com o seu envio para a estratosfera. Um dos pontos altos do debate foi quando a Dra. Catarina Martins disse que o Dr. Rui Tavares parecia o Dr. António Costa a falar. O Dr. Rui Tavares fez a cara que o estagiário faria se alguém, por absurdo, o comparasse comigo. As pessoas não sabem porque, àquela hora estavam todas em massa a ver o debate BE/LIVRE, mas à mesma hora no Big Brother Famosos, o Dr. Bruno de Carvalho estava numa acesa discussão com o Dr. Kasha sobre a necessidade de financiar o SNS. Ninguém diria, mas o Dr. Kasha sabe muito sobre burnout de profissionais de saúde. O Dr. Bruno de Carvalho fez-lhes uma ovação para mostrar que também está do lado daqueles que fazem tudo pela nossa saúde. O Dr. Jardel entrou no debate para dizer que já foi operado ao apêndice. Bom argumento. Mas as pessoas perderam este grande momento porque estão obcecadas com as nuances entre BE e LIVRE. O outro debate entre radicais de esquerda foi entre Dr. António Costa e Dr. Jerónimo de Sousa. Quem ouve o Dr. António Costa a falar quase nem percebe que esteve 6 anos a servir de marioneta do PCP. Por outro lado, quem ouve o Dr. Jerónimo de Sousa a falar quase nem percebe que esteve 6 anos a comprometer os seus princípios para ajudar o PS. Apesar de tudo tenho de deixar um agradecimento a estes dois intervenientes. Fizeram cair o Governo. Um chumbou o OE e o outro não cedeu à esquerda. Não sei se sabem, mas cada vez que o Dr. Jerónimo de Sousa diz portanto a pele do cadáver embalsamado do Dr. Lenine fica 0,00001% mais hidratada. Proponho um drinking game a todos os meus seguidores de esquerda: bebam um shot de vodka sempre que o Dr. Jerónimo de Sousa diz “portanto” e faleçam passados 5 minutos. O Dr. Jerónimo de Sousa mostrou abertura para uma nova geringonça. Ou seja, não se importa de abdicar do seu comunismo para continuar a manobrar o Dr. António Costa. Por outro lado, o Dr. António Costa não sente confiança numa futura geringonça. Sente-se traído porque os partidos de esquerda se recusaram a abdicar do seu programa para ele poder continuar a exercer o cargo de primeiro ministro. Ou seja, só voltará a haver geringonça se o Dr. Jerónimo de Sousa lhe oferecer uma caixa de Mon Chèri e uma serenata de cante alentejano. Foram dois debates pouco interessantes em que se debateram questões irrelevantes como economia, pandemia, SNS, etc. Ninguém falou sobre prisão perpétua ou remoção de gónadas de pedófilos. Os jornalistas foram terrivelmente enviesados e permitiram que os candidatos falassem sem os confrontarem com questões verdadeiramente importantes, como a posição sobre o regime nortecoreano, a Venezuela e o facto de existirem comunistas com iPhones. Nem um foi capaz de lhes perguntar se sabem quantas vítimas fez o socialismo. É que desde a revolução de Outubro até Pedrógão Grande foram cerca de 500 mil milhões. Como ninguém gritou os jornalistas não vão conseguir dizer quem ganhou estes debates. Ninguém foi killer. Perderam todos, como acontece na esquerda. Perdem demasiado tempo a debater os seus programas em vez de arrasar, humilhar e aniquilar os seus adversários. Felizmente, enquanto decorria este debate, estava a decorrer um mais interessante sobre o salário mínimo no Big Brother Famosos. A Dra. Jaciara é contra porque as pessoas só devem receber aquilo que produzem. O Dr. Leandro diz que o salário mínimo devia ser 3 milhões. O Dr. Jardel diz que gosta de dinheiro. O Dr. Kasha está triste porque ainda ninguém falou de ganza grátis. Depois houve um debate realmente interessante, entre o Dr. Chicão e a Dra. Inês Sousa Real do PAN. O Dr. Chicão gritou muito, por isso ganhou. Fez lembrar um porco durante a sua própria matança. A guinchar e a espernear para tentar persuadir as pessoas de que ele ainda existe (truncated)",https://www.facebook.com/photo.php?fbid=466268505064935&set=a.208076194217502&type=3,,た.G 21:26 18:21 DIRETO 0 DOUTOR COMENTA OS DEBATES Î×× AIS-NATUREZA PES,,,,,,"1,336",-1.36
Jovem Conservador de Direita,jovemcd,100050453681565,COMEDIAN,PT,"ESPETÁCULOS E PARCERIAS
info@haffdelta.com // +351 916 798 041",2015-10-27 13:35:32,98053,100946,2022-01-07 22:18:04 WET,2022-01-07,22:18:04,Photo,"1,138",453,114,104,66,0,394,0,1,6,,-,0,0,0,N/A,https://www.facebook.com/100050453681565/posts/468050294886756,"O primeiro debate de hoje foi entre o partido conhecido por defender os direitos dos animais e o partido que defende os direitos dos investidores bolsistas, que também são animais, mas com a diferença de que criam riqueza. Enquanto uma hiena não for capaz de investir em criptomoedas, é óbvio que vou estar do lado da IL. O ambiente foi um dos principais temas do debate. O PAN apresentou a posição irracional de fazer alguma coisa para reverter as alterações climáticas. Teria maior apoio se fosse mais moderado. Ser totalmente contra as alterações climáticas é muito radical. Tem de ser mais centrista nesse assunto. Felizmente estava lá o Dr. Cotrim Figueiredo, com a sua racionalidade, a afirmar que não se pode salvar o ambiente à custa da actividade económica. Há que ter noção das prioridades. Uma coisa é haver alterações climáticas, outra coisa é o Estado intervir para tratar desse problema. A IL não abdica dos seus princípios, intervenção estatal nunca. Se foi a mão humana a destruir o ambiente não deverá ser a mão humana a salvar o planeta. É só ver os índices de mercado e fazer uma análise SWOT do impacto da sobrevivência da Humanidade na economia. Segundo o Dr. Cotrim Figueiredo, ""enriquecer Portugal é uma boa política ambiental”. É verdade, sem tantos pobres a cheirar mal o ambiente fica melhor. O enriquecimento é o febreze da sociedade e não há melhor política ambiental do que baixar os impostos às pessoas para que elas possam investir em desodorizantes. Quando a moderadora falou em “emergência climática” o Dr. Cotrim indignou-se, e bem, e disse que o termo ""emergência climática faz parte de uma agenda."" Muito bem o Dr. Cotrim a colocar alguma racionalidade neste debate. É um termo muito polarizador. Ele prefere ""à espera do relatório que diga que é possível lucrar com resolver as alterações climáticas"". É verdade que existe uma questão climática que o mercado eventualmente vai resolver com lucros para toda a gente, mas sem stresses. Não é prioritário. Não podemos dar cobertura a essa conspiração marxista que passa por colocar o ambiente em frente da economia. Há alterações climáticas, mas o Dr. Cotrim Figueiredo vai esperar pela próxima Web Summit para ver se há start ups para resolver isso. Ainda há muito petróleo para extrair e não podemos deixar ficar mal os dinossauros que faleceram para que pudéssemos circular de carro. Usando a metáfora subtil do cometa que está prestes a colidir com a Terra, o PAN está a gritar histericamente agarrado aos seus gatos, a IL está calma a olhar de forma racional para a colisão do cometa como uma oportunidade. Se o cometa colidir com o planeta, infelizmente, a economia vai ser afectada. Mas não podemos entrar em desespero e a sofrer por antecipação. A este propósito, o Dr. Cotrim deu o exemplo da proposta do PAN de taxar viagens aéreas e abordou o impacto que essa medida desumana terá nas viagens aéreas low cost dos jovens. Da mesma forma que no debate contra o BE disse “ensino superior? Então e a netflix e as criptomoedas que o BE quer taxar?” hoje disse “ambiente? Então as viagens low cost?” De que serve salvar o planeta se os jovens não podem ir apanhar bebedeiras a Praga? Não podemos colocar o ambiente à frente de possibilitar que os jovens viajem em low costs para Bratislava, para experiências de drogas e sexualidade. E se, por absurdo, o mercado não resolver o problema e o Mundo acabar mesmo, pelo menos que os jovens possam ir a Vilnius cumprir todos os itens sexuais da sua bucketlist. O PAN quer roubar-lhes essa felicidade. Pior, sem viagens low cost, os jovens podem ter de ser obrigados a experienciar o apocalipse em Portugal. A Dra. Inês Sousa Real puxou o tema da ferrovia. O Dr. Cotrim, como é óbvio, decidiu falar sobre saúde. Antes isso do que ter de discutir sobre um meio de transporte datado que pode ter impacto negativo no lucro das gasolineiras. Os comboios cheiram mal. É tudo aquilo que precisamos de saber sobre isso. Na área da saúde o Dr. Cotrim expôs o plano da IL. O SNS como está, está mal, por isso temos de encaminhar para os privados. Segundo o Dr. Cotrim, o plano da IL para a saúde vai permitir uma maior liberdade de escolha, acabar com filas de espera, trazer mais lucros para os privados e tudo isto com uma flat tax. Como é que isto funciona? Com crescimento económico. Quem não votar na IL está a atrasar o país e a impedir a vinda do Dr. Messias Cristocimento Económico que vai salvar o nosso planeta e a nossa economia. Votar na IL é votar num Euromilhões para cada português. A verdade é que a liberdade de escolha é um aspecto essencial em qualquer sistema de saúde. Quem tem um seguro premium tem o direito de escolher um hospital melhor num mercado concorrencial. Merece isso, em vez de ter de ir ao SNS com todas as pessoas que não se esforçaram. Os que ficarem com o seguro de saúde versão gratuita que recorram aos hospitais com menos estrelas e que sejam obrigados a ver anúncios antes das suas operações. Ou então que beneficiem de (truncated)",https://www.facebook.com/photo.php?fbid=468050281553424&set=a.208076194217502&type=3,,0 DOUTOR COMENTA OS DEBATES,,,,,,"1,138",-1.49
Caça & Cães de Caça,cacaecaesdecaca,239802256185670,COMMUNITY,PT,A revista onde todos os meses encontrará os melhores artigos de Caça Menor e Caça Maior. Sempre acompanhada por um DVD com emocionantes lances de caça.,2013-11-28 14:29:51,7320,7583,2022-01-06 18:38:03 WET,2022-01-06,18:38:03,Photo,816,447,127,175,65,0,1,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/239802256185670/posts/2049856691846875,"Um texto de Maria Carvalho Vacas, que partilhamos com todos os nossos leitores: Carta aberta ao PAN: Senhora deputada Inês de Sousa Real, estou estupefacta, com as suas intervenções, no debate frente a frente com o Senhor Presidente do CDS Francisco Rodrigues dos Santos. PAN vs CDS. A Sra. deputada e o seu partido ODEIAM pessoas. São verdadeiros terroristas, no sentido literal da palavra e tem apenas como objetivo a destruição da economia, do ambiente, dos animais, das pessoas e são um atentado a Portugal e aos portugueses, com particularidade ao mundo rural, que tão chicoteado foi. Fiquei angustiada, ofendida e sentida com cada palavra disparatada que a Sra. ousou referir para delinear o seu pensamento acerca dos objetivos que propõe e daquilo que defende. É importante sermos claros e racionais, e como tal não me consigo conter e tenho de passar, o transtorno que me causou para entre linhas. Fiquei assustada e temo este ideal de sociedade, IRREAL que nos coloca á frente dos olhos, e todo este discurso ANTAGÓNICO, fez-me questionar se estaremos a habitar no mesmo planeta. A sério. Ora então peguemos nesta caricata frase, dita por si, no decorrer do debate: “A caça é uma das atividades humanas que mais coloca pressão sobre as espécies e a proteção da biodiversidade.” (Um pequeno parênteses, só para a enquadrar) - (O meu pai, Nuno Carvalho Vacas, é gestor cinegético e talvez um dos senhores que neste país mais lida e trabalha com caça diariamente, dedica a sua atividade profissional e pessoal a esta nobre e relevante atividade. Ao longo dos anos desenvolveu um papel de grande relevância para a preservação das espécies cinegéticas e trabalha diariamente no progresso e na evolução positiva das zonas de caça pelas quais é responsável, no nosso país). Eu Maria, uma miúda de 16 anos, convivo diariamente com esta realidade, com a dureza que é esta vida do campo, da paixão que se tem pelo trabalho e da dedicação que os verdadeiros protetores e amantes do mundo rural tem no seu dia a dia por esta vida, que eu muitas vezes já coloquei em causa e me atrevi a dizer que era loucura. A caça é a atividade que mais defende a biodiversidade e as espécies. Isto é muito simples de justificar. O caçador é o único “maluco” que se levanta a um quarto para as seis da manhã, ao fim de semana, a pagar (maioritariamente), veste as calças, a camisa e de seguida calça as botas, faça muita ou pouca chuva, faça muito ou pouco sol, pega nos seus amados e prestáveis cães, e segue viagem,… chega ao campo, pode ver muita caça ou nenhuma, pode nem levar cartuchos, até se esquecer de levar a arma… é o melhor dia da semana… vá-se lá perceber esta paixão… O tiro é apenas uma consequência do ato de disparar, mas a caça não se reduz a esse preciso ato. O dia da caçada começa nos meses antes, quando os comedouros e bebedouros são abastecidos, quando os predadores são abatidos, quando alguém decide investir, criar e trabalhar para garantir as melhores condições para a caça ali se instalar… O convívio, o olhar apaixonado, o respirar deste ar, o caminhar pelo terreno molhado, ver os cães a caçar, as peças de caça a fintar, a paisagem e a natureza a acolher, uma manhã que está a começar e o sol que teima em espreitar,… Para terminar, vai tudo almoçar… sabe Sra. deputada, quantos restaurantes estão vivos na província, devido a este terminar de uma manhã de caça - MUITOS. Mas a Sra. refere que esta atividade “ em nada contribui, ou melhor, que só dá prejuízo “ mas todos os fins de semana, enchem as suas salas para estes senhores caçadores alimentar e com isto proporciona-se o desenvolvimento das áreas rurais, a criação de emprego e a fixação de população. Mas isso pouco lhe deve interessar. Sabe Sra. deputada nunca serei capaz de a esclarecer ou de chegar a um consenso sobre o que é amar verdadeiramente pessoas, animais e natureza. Talvez a Sra. só entenda, quando conhecer estes 3 conceitos e os associar. Um dia quem sabe, a caçar os conseguisse perspectivar. Entre tantos outros temas a poderia desmarcar. Maria Carvalho Vacas",https://www.facebook.com/cacaecaesdecaca/photos/a.240127259486503/2049856311846913/?type=3,,,,,,,,816,22.05
Iniciativa Liberal,iniciativaliberal,282717852317261,POLITICAL_PARTY,PT,"Partido Iniciativa Liberal. Mais Liberdade Política, Social e Económica. Juntos somos alternativa por um Portugal Mais Liberal.",2018-08-22 19:59:20,105180,116879,2022-01-07 19:18:33 WET,2022-01-07,19:18:33,Native Video,766,487,123,69,9,2,74,1,0,1,owned,Yes,6274,7511,0,00:00:40,https://www.facebook.com/282717852317261/posts/979546952634344,"🔴🔵 FAZER PORTUGAL CRESCER ECONOMICAMENTE É DEFENDER O AMBIENTE Resumo do debate entre João Cotrim Figueiredo da Iniciativa Liberal e Inês de Sousa Real do PAN: 📍 Rejeitamos partidos que tenham uma visão proibicionista ou de ataque à economia do mercado com a desculpa de defender o Ambiente, usando essa política como desculpa para inventar novas lutas de classes. 📍 A preocupação número 1 do PAN é o Ambiente e o bem-estar animal mas as soluções que propõe conduzem ao empobrecimento das pessoas. Já a preocupação número 1 da Iniciativa Liberal é o crescimento económico, o que é também uma política pro-ambiental porque são os países mais ricos que melhor defendem o ambiente. A Iniciativa Liberal tem as pessoas no centro das suas preocupações. 📍 O nosso programa tem um conjunto de medidas ambientais que não atacam a economia de mercado nem fazem as pessoas empobrecer. 📍 Temos um plano ferroviário nacional para desenvolver a ferrovia no país, o que pode ajudar a mobilidade das populações no interior que só têm como hipótese de deslocação o transporte individual com uma carga fiscal brutal sobre os combustíveis. 📍 Governo com o PAN só sem as bizarrias do costume como o Big Brother carapau. #PortugalMaisLiberal",https://www.facebook.com/iniciativaliberal/videos/1075737206612705/,,,🔴🔵 FAZER PORTUGAL CRESCER ECONOMICAMENTE É DEFENDER O AMBIENTE,,,,,766,-1.22
CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1155333,1138709,2022-01-08 21:04:32 WET,2022-01-08,21:04:32,Live Video Complete,648,196,345,28,25,0,15,3,36,0,owned,Yes,8751,8864,0,00:29:12,https://www.facebook.com/101826228779402/posts/227836666182642,António Costa em debate com Inês Sousa Real,https://www.facebook.com/cnnportugal/videos/227836666182642/,,,Decisão22: Debate PS-PAN,,,,,648,1.64
Jovem Conservador de Direita,jovemcd,100050453681565,COMEDIAN,PT,"ESPETÁCULOS E PARCERIAS
info@haffdelta.com // +351 916 798 041",2015-10-27 13:35:32,98101,100993,2022-01-08 22:27:25 WET,2022-01-08,22:27:25,Photo,586,271,34,42,42,0,197,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100050453681565/posts/468667498158369,"Hoje aconteceram dois debates chatos, mas a minha análise vai ser interessante que eu não ando aqui a brincar. O primeiro foi entre o Dr. Rui Rio e o Dr. Rui Tavares. A única hipótese de este debate ser interessante era se a RTP arranjasse forma de drogar os Drs. Ruis com alucinógenos. Em vez disso, foram para lá os dois sóbrios. Outra forma de o tornar interessante era começar o debate perguntando ao Dr. Rui Rio qual a sua opinião sobre túbaros de pedófilo na frigideira. O Dr. Rui Tavares apresentou-se ainda com um bocado de Dr. Cabeça de Geleia nos dentes. O Dr. Rui Rio nem se apresentou. Decidiu fazer o debate a partir do Porto de calças de pijama. No início do debate o Dr. Rui Tavares assinalou o aniversário do casamento gay. O que é ridículo. Os gays sempre se puderam casar, desde que com pessoas de um sexo diferente. Ou então com Deus. Hoje celebra-se um aniversário muito triste do dia em que dissemos aos gays que eles podiam pecar à vontade sem se arrependerem e celebrar publicamente actividades que deviam continuar a ser praticadas em saunas ou em áreas de serviço. Depois ainda falou em crise ecológica. Um termo carregado ideologicamente e um cavalo de Tróia para a esquerda fazer avançar a sua agenda radical. Todos sabemos que o termo centrista e pós-ideológico para nos referirmos a crise ecológica ou emergência climática é “aquela coisa do ambiente ou lá o que é.” O Dr. Rui Rio esteve muito forte e afirmou-se como um candidato a ser um Dr. António Costa ligeiramente melhor. É este tipo de inspiração que o país precisa: o mesmo, mas ligeiramente diferente. Sobre o salário mínimo afirmou que este só sobe se a economia crescer. Como não vai acontecer, não sobe, por isso podemos ficar descansados. O debate estava a ser chato e eu decidi prestar mais atenção ao universo paralelo em que o Dr. Rui Rio e o Dr. Rui Tavares foram para lá drogados. Nesta dimensão, o Dr. Rui Tavares estava a falar sobre o seu desejo de feijoada de marshmallows, o Dr. Rui Rio levanta-se e come metade do LCD que está a transmitir a imagem do Dr. Rui Tavares. Não concordei com esta atitude do Dr. Rui Rio alternativo, por isso mudei para o debate da nossa realidade a tempo de ouvir o Dr. Rui Rio a criticar uma medida do LIVRE que consiste em pagar subsídio de desemprego a pessoas que se despediram por livre iniciativa. Muito bem. Uma pessoa que se despede para ficar em casa a masturbar-se não pode receber subsídio de desemprego. Aliás, a partir de agora, decreto que esta medida do LIVRE passa a ser conhecida como o subsídio da punheta. Depois do Dr. Cabeça de Geleia, o Dr. Rui Rio também atacou o LIVRE por causa do Rendimento Básico Incondicional. Sinceramente, a direita não pode continuar a cometer o erro de atacar o LIVRE por causa do RBI. Estamos a empurrar ainda mais o voto mandrião deste país para o LIVRE. ""Não votem no LIVRE porque eles querem dar-vos dinheiro para ficarem em casa a masturbar-se"" não é uma ameaça assim tão boa. Não podemos dizer às pessoas que a esquerda lhes quer dar coisas boas, porque elas podem acabar por votar na esquerda. Depois aconteceu o debate entre o Dr. António Costa e a Dra. Inês Sousa Real. O Dr. António Costa é muitas vezes denominado de ""animal político"". Pode haver uma aproximação se a Dra. Inês Sousa Real o achar fofinho e ficar com vontade de o adoptar. Neste debate voltou a falar-se de RBI. Já percebi que o RBI é a castração química da esquerda. É aquela coisa que dificilmente vai acontecer, mas que os políticos apresentam para inspirar os seus eleitores com promessas vazias. Até aqui se vê a diferença da esquerda e direita. Na esquerda inspiram os seus eleitores com masturbação full time. Na direita inspiramos os nossos eleitores com a mutilação genital de pedófilos. Enquanto a esquerda está a pensar em masturbação full time, a direita está a pensar em gónadas de pedófilos. Na direita queremos castrar criminosos, na esquerda querem castrar o trabalho. Prioridades. Sobre o RBI. O que as pessoas têm de fazer é: trabalhar. Se não houver trabalhos para todos, é criar uma reality show de disputa do mercado de trabalho entre desempregados e robots: So You Think you can work? Ou então, se querem avançar mesmo com um RBI, que se adicione um gerador de energia ao pulso dos beneficiários e que se aproveite os seus movimentos para gerar energia, uma espécie de energia esgalhólica. Também podia ajudar a lidar com as alterações climáticas. E foi isto o resto do debate. Um debate inteiro dedicado às alterações climáticas ou, como lhe chama o Dr. Cotrim Figueiredo, agenda marxista de abolição do capitalismo. O Dr. António Costa disse que ""a transição climática tem de ser justa."" Claro que sim. Não podemos exagerar. As pessoas precisam de ter oxigénio para respirar, claro. Mas os accionistas da BP têm necessidades. Depois o Dr. António Costa teve de aturar a Dra. Inês Sousa Real com o seu discurso radical a falar mal da exploração de lítio, do aeroporto de Lisboa, dos eucaliptos, etc. É (truncated)",https://www.facebook.com/photo.php?fbid=468667484825037&set=a.208076194217502&type=3,,0 DOUTOR COMENTA OS DEBATES,,,,,,586,-2.49
Expresso,jornalexpresso,43218682948,TOPIC_NEWSPAPER,PT,"Página oficial do Expresso no Facebook. As notícias e a opinião que interessam. Todos os dias, a todas as horas 
https://expresso.pt",2009-01-03 09:57:23,760725,796851,2022-01-08 22:31:08 WET,2022-01-08,22:31:08,Link,546,77,220,13,1,3,227,3,2,0,,-,0,0,0,N/A,https://www.facebook.com/43218682948/posts/10159311448342949,"Nem António Costa, nem Inês Sousa Real jogaram para goleada. Mas o debate entre o que sobra da geringonça é elogiado por todos. No fim, três empates e uma vitória para cada um. Leia os comentários e notas",https://expresso.pt/eleicoes-legislativas-2022/costa-vs-sousa-real-empate-mais-empate-nao-ha-as-notas-e-analises-dos-comentadores-expresso,https://expresso.pt/eleicoes-legislativas-2022/costa-vs-sousa-real-empate-mais-empate-nao-ha-as-notas-e-analises-dos-comentadores-expresso/,,Costa vs. Sousa Real: empate mais empate não há (as notas e análises dos comentadores Expresso),,,,,546,8.53
PAN - Pessoas Animais Natureza,PANpartido,890462117681551,POLITICAL_ORGANIZATION,PT,Pessoas-Animais-Natureza,2015-05-17 20:36:09,165618,166635,2022-01-07 20:00:12 WET,2022-01-07,20:00:12,Native Video,406,121,87,51,22,5,110,3,2,5,owned,Yes,2017,2543,0,00:01:31,https://www.facebook.com/890462117681551/posts/4853713341356389,"No debate com a nossa porta-voz Inês de Sousa Real, o líder do CDS demonstrou não só que não sabe o que o PAN defende, mas também que o CDS não defende nem o ambiente, nem a proteção animal, nem as pessoas (já que preferiu atacar o PAN em vez de apresentar propostas concretas). Não, os caçadores não protegem nem a biodiversidade, nem o ambiente. Muito pelo contrário. Não, o mundo rural não se reduz apenas à caça e à produção de animais para consumo. Sim, o PAN é um partido animalista, e continuaremos a ser #OrgulhosamenteAnimalistasRadicais no combate à violência animal e pela proteção dos animais, animais estes que o CDS quer continuar a permitir que sejam abusados e desrespeitados com a defesa do setor da caça e da tauromaquia. Da nossa parte, continuaremos a lutar por todos os animais e sabemos que ficaremos do lado certo da história na sua defesa, ao contrário do CDS e do seu líder.",https://www.facebook.com/PANpartido/videos/320430076640459/,,,#OrgulhosamenteAnimalistasRadicais,,,,,406,4.27
Touradas,TouradasPT,118555858178809,ACTIVITY_GENERAL,PT,"Vive a Tua Paixão!
Uma marca, todo o universo das Touradas. 

",2010-05-12 19:38:52,74379,84259,2022-01-03 16:03:21 WET,2022-01-03,16:03:21,Photo,380,153,42,57,1,1,121,0,5,0,,-,0,0,0,N/A,https://www.facebook.com/118555858178809/posts/5144622038905474,Não resistimos a partilhar! E tu? 😂🤣😂 “Luz ao fundo da estufa”… 🤣😆😆 #pan #hipocrisia #oportunismo #legislativas2022,https://www.facebook.com/TouradasPT/photos/a.2083500138351028/5144621978905480/?type=3,,"A LUZ AO FUNDO DA ESTUFA! o PAN ESTÁ EM QUEDA CONTÍNUA NAS SONDAGENS MAS INÊS SOUSA REAL DIZ QUE QUER IR PARA UM GOVERNO, PS OU PSD TANTO FAZ. É CASO PARA DIZER QUE TAL SERIA PARA o PAN ""A LUZ AO FUNDO DA ESTUFA"" PARA EVITAR o SEU DESAPARECIMENTO!",,,,,,380,1.29
