Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Jovem Conservador de Direita,jovemcd,100050453681565,COMEDIAN,PT,"ESPETÁCULOS E PARCERIAS
info@haffdelta.com // +351 916 798 041",2015-10-27 13:35:32,97935,100828,2022-01-04 22:41:43 WET,2022-01-04,22:41:43,Photo,"1,337",555,68,112,127,2,468,0,1,4,,-,0,0,0,N/A,https://www.facebook.com/100050453681565/posts/466268755064910,"Hoje houve mais três debates, nenhum dos quais com grande interesse. A extrema esquerda debateu toda entre si. Começou com um debate entre o LIVRE, que pode ser definido como ala direita do BE, e o BE, que em termos ideológicos é como se fosse a ala esquerda do LIVRE. Foi basicamente um debate sobre as diferenças entre a Coca Cola da esquerda e a Pepsi da esquerda. Serviu para o Dr. Rui Tavares relembrar as pessoas da sua existência e pouco mais. Durante estes longos 25 minutos, estes dois extremistas de esquerda debateram coisas horríveis como o papel de Portugal na UE, o aumento do salário mínimo ou o investimento no SNS. É muito grave numa democracia termos partidos extremistas a fazerem este tipo de propaganda na televisão. Seria o equivalente a ter o CHEGA e o ERGUE-TE a discutir técnicas de remoção de testículos em horário nobre. Mas os meios de comunicação social são de esquerda por isso aceita-se. Falaram também de alterações climáticas. Se eu fosse jornalista colocaria a seguinte questão: ""Usando um cometa como metáfora subtil para as alterações climáticas, quais dos dois é que se oferece para ser disparado num canhão contra a Lua?” Era bom para a nossa democracia termos esquerdalhos a comprometer-se com o seu envio para a estratosfera. Um dos pontos altos do debate foi quando a Dra. Catarina Martins disse que o Dr. Rui Tavares parecia o Dr. António Costa a falar. O Dr. Rui Tavares fez a cara que o estagiário faria se alguém, por absurdo, o comparasse comigo. As pessoas não sabem porque, àquela hora estavam todas em massa a ver o debate BE/LIVRE, mas à mesma hora no Big Brother Famosos, o Dr. Bruno de Carvalho estava numa acesa discussão com o Dr. Kasha sobre a necessidade de financiar o SNS. Ninguém diria, mas o Dr. Kasha sabe muito sobre burnout de profissionais de saúde. O Dr. Bruno de Carvalho fez-lhes uma ovação para mostrar que também está do lado daqueles que fazem tudo pela nossa saúde. O Dr. Jardel entrou no debate para dizer que já foi operado ao apêndice. Bom argumento. Mas as pessoas perderam este grande momento porque estão obcecadas com as nuances entre BE e LIVRE. O outro debate entre radicais de esquerda foi entre Dr. António Costa e Dr. Jerónimo de Sousa. Quem ouve o Dr. António Costa a falar quase nem percebe que esteve 6 anos a servir de marioneta do PCP. Por outro lado, quem ouve o Dr. Jerónimo de Sousa a falar quase nem percebe que esteve 6 anos a comprometer os seus princípios para ajudar o PS. Apesar de tudo tenho de deixar um agradecimento a estes dois intervenientes. Fizeram cair o Governo. Um chumbou o OE e o outro não cedeu à esquerda. Não sei se sabem, mas cada vez que o Dr. Jerónimo de Sousa diz portanto a pele do cadáver embalsamado do Dr. Lenine fica 0,00001% mais hidratada. Proponho um drinking game a todos os meus seguidores de esquerda: bebam um shot de vodka sempre que o Dr. Jerónimo de Sousa diz “portanto” e faleçam passados 5 minutos. O Dr. Jerónimo de Sousa mostrou abertura para uma nova geringonça. Ou seja, não se importa de abdicar do seu comunismo para continuar a manobrar o Dr. António Costa. Por outro lado, o Dr. António Costa não sente confiança numa futura geringonça. Sente-se traído porque os partidos de esquerda se recusaram a abdicar do seu programa para ele poder continuar a exercer o cargo de primeiro ministro. Ou seja, só voltará a haver geringonça se o Dr. Jerónimo de Sousa lhe oferecer uma caixa de Mon Chèri e uma serenata de cante alentejano. Foram dois debates pouco interessantes em que se debateram questões irrelevantes como economia, pandemia, SNS, etc. Ninguém falou sobre prisão perpétua ou remoção de gónadas de pedófilos. Os jornalistas foram terrivelmente enviesados e permitiram que os candidatos falassem sem os confrontarem com questões verdadeiramente importantes, como a posição sobre o regime nortecoreano, a Venezuela e o facto de existirem comunistas com iPhones. Nem um foi capaz de lhes perguntar se sabem quantas vítimas fez o socialismo. É que desde a revolução de Outubro até Pedrógão Grande foram cerca de 500 mil milhões. Como ninguém gritou os jornalistas não vão conseguir dizer quem ganhou estes debates. Ninguém foi killer. Perderam todos, como acontece na esquerda. Perdem demasiado tempo a debater os seus programas em vez de arrasar, humilhar e aniquilar os seus adversários. Felizmente, enquanto decorria este debate, estava a decorrer um mais interessante sobre o salário mínimo no Big Brother Famosos. A Dra. Jaciara é contra porque as pessoas só devem receber aquilo que produzem. O Dr. Leandro diz que o salário mínimo devia ser 3 milhões. O Dr. Jardel diz que gosta de dinheiro. O Dr. Kasha está triste porque ainda ninguém falou de ganza grátis. Depois houve um debate realmente interessante, entre o Dr. Chicão e a Dra. Inês Sousa Real do PAN. O Dr. Chicão gritou muito, por isso ganhou. Fez lembrar um porco durante a sua própria matança. A guinchar e a espernear para tentar persuadir as pessoas de que ele ainda existe (truncated)",https://www.facebook.com/photo.php?fbid=466268505064935&set=a.208076194217502&type=3,,た.G 21:26 18:21 DIRETO 0 DOUTOR COMENTA OS DEBATES Î×× AIS-NATUREZA PES,,,,,,"1,337",-1.36
CDU - Coligação Democrática Unitária,CDUPCPPEV,166405943417778,POLITICAL_ORGANIZATION,PT,"Página oficial da CDU - Coligação Democrática Unitária
www.cdu.pt",2011-04-19 20:10:32,18911,19347,2022-01-05 00:14:09 WET,2022-01-05,00:14:09,Native Video,580,124,3,432,16,2,2,0,0,1,owned,Yes,1657,6938,0,00:00:59,https://www.facebook.com/166405943417778/posts/4908560989202226,"António Costa afirmou que não seria possível fazer o aumento extraordinário de pensões já em janeiro depois da não aprovação do OE para 2022. Mas o mesmo António Costa confirmou em Novembro o que o PCP sempre afirmou, e Jerónimo de Sousa lembrou no debate: o PS só não faz o aumento extraordinário porque não quer.",https://www.facebook.com/CDUPCPPEV/videos/897358224302563/,,,Aumento extraordinário das pensões? Afinal até pode. Só não quer,,,,,580,5.63
PCP,,131395639428,none,,,,12181,N/A,2022-01-06 22:59:26 WET,2022-01-06,22:59:26,Link,549,333,64,90,60,0,0,0,0,2,,-,0,0,0,N/A,https://www.facebook.com/groups/131395639428/permalink/10159868260319429,,https://poligrafo.sapo.pt/sociedade/artigos/jeronimo-de-sousa-o-afiador-de-maquinas-ja-trabalhava-aos-14-anos-como-evoluiu-em-portugal-o-trabalho-infantil?utm_term=Autofeed&utm_medium=Social&utm_source=Facebook#Echobox=1641453476,,,This is a re-share of a post,"#LêNovamente Acredita que podia muito bem tratar-se de uma personagem da obra de Soeiro Pereira Gomes, ""Esteiros"", junto às margens do Tejo na recolha do barro para telhas e tijolos. A trabalhar desde os 14 anos, à data como afinador de máquinas na MEC - Fábrica de Aparelhagem Industrial, Jerónimo de Sousa não se deixa levar pela romantização e diz mesmo que, em Pirescoxe, todos sabiam que iam ""ter à fábrica"". Como tem evoluído, desde então, o trabalho infantil em Portugal?",,,,549,11.68
CORRUPÇÃO À VISTA DE TODOS. ACORDEM,Apodrecetuga,100065162134065,DIGITAL_CREATOR,PT,"URGENTE CAMPANHA POR PORTUGAL CONTRA CORRUPÇÃO DÉCADAS DO ARCO DO PODER PS PSD PCP BE
 VOTA CONTRA",2011-10-10 22:20:08,54004,53506,2022-01-06 10:53:46 WET,2022-01-06,10:53:46,Native Video,516,176,63,199,3,3,54,8,5,5,owned,Yes,3337,4285,0,00:15:40,https://www.facebook.com/100065162134065/posts/292459216269481,"António Costa repete que foi uma irresponsabilidade chumbar o orçamento em tempo de pandemia, e culpa o PCP e BE, mas não contava que o idoso e pacato Jerónimo de Sousa o desmascarasse. E eis que ele expõe a farsa de Costa. ""Em vez de pensar em soluções, começou a pensar em eleições"", disse Jerónimo de Sousa em relação a António Costa. E a prova de que foi Costa que provocou a crise politica foi revelada quando Jerónimo de Sousa referiu que foi Costa que afirmou que queria ir para eleições por uma maioria absoluta . A acusação foi feita pelo secretário geral do PCP a prova de tal são os pedidos de ""maioria estável"" ou ""maioria mais um"" feita pelos socialistas nas últimas semanas e durante todo o debate do video. Costa responde a estas acusações questionando o comunista: “Algum primeiro-ministro no mundo, numa crise destas, quer abrir uma crise e ir para eleições? Algum primeiro-ministro provoca eleições antecipadas numa situação destas???”. Ao que parece sim, o Costa que assaltou o poder do seu colega José Seguro, e assaltou o poder de Portugal em 2015, é capaz de tudo como sabemos. O Costa que assinou um contrato o do Siresp, responsável por vidas humanas, onde iliba de responsabilidades os donos seus amigos corruptos, é capaz de tudo. O Costa/PS que ganha sempre eleições enganando idosos com promessas falsas do que vai fazer e mentiras sobre o que já fez, abusando da sua ignorância/ingenuidade, muitos com demência, e aproveitando a sua pobreza desesperante, queria também abusar de Jerónimo que lhe pareceu um alvo fácil por se mostrar lento e idoso? E quando a conversa não lhe agradou Costa tentou calar o adversário, ""Estas eleições não são sobre recriminações sobre o passado, são sobre o futuro"", sublinhou António Costa quando questionado sobre o porquê de os comunistas e o BE terem chumbado o Orçamento de Estado, acrescentando que não queria ""estar a fazer acusações, mas também não"" as aceita. Disse olhando para Jerónimo com ar ameaçador. Jerónimo de Sousa afirmou que o mais marcante neste OE eram os direitos laborais e o reforço do SNS que Costa não respeitava e que estão na constituição. Quem quis a crise politica foi Costa que claramente queria eleições para ir em busca de mais poder. Costa e Jerónimo trocaram críticas sobre a responsabilidade nesta crise política, “Precisamos de uma maioria que não chumbe tudo” ou “não podemos ter um governo de dois em dois anos”, duas frases de Costa neste debate, é trabalhar num exercício de amnésia. Um Orçamento, que Costa defende para o futuro coisas que recusou agora. COSTA REPETE INCESSANTEMENTE QUE QUER A MAIORIA ABSOLUTA PARA TER ESTABILIDADE, QUANDO NA VERDADE QUER É PODER E LIBERDADE PARA FAZER O QUE MAIS CRESCE EM PORTUGAL PELA MÃO DO PS, CORRUPÇÃO E SAQUE? De recordar que os países menos corruptos e mais evoluídos governam sempre em coligação precisamente para travar o excesso de liberdade. Certamente não era o BE nem o PCP que queriam ir a votos, pois jamais estiveram tão confortáveis no poder. Já o PS nunca gostou de travões muito menos de democracia.. O governo socialista de Costa o maior e um dos piores da história da democracia mantem os velhos ministros para próximo governo na velha tradição socialista, resolveu acautelar ‘jobs for the boys para o caso do PS perder as eleições e assim garantirem um lugar no Parlamento. Partido Socialista não esclarece os portugueses se apoiam um governo minoritário do PSD, caso percam as eleições, porque não tencionam fazê-lo. Querem continuar no poder, nem que tenham de engolir uns sapos, à custa do apoio, uma vez mais, dos comunistas e dos bloquistas. Diz-me com quem andas, dir-te-ei quem és. Fica claro para o eleitorado moderado que, para alterar a situação existente, devem votar nos partidos do centro-direita para que não haja maioria de esquerda no Parlamento com socialistas, comunistas e bloquistas. Não acredito que os portugueses já se tenham esquecido que depois de seis anos de governos socialistas, Guterres deixou o país de tanga em 2001, José Sócrates deixou o país na bancarrota em 2011 e Costa deixa o país, em 2021, mais pobre em relação aos outros países europeus. Não acredito que os portugueses depois de terem visto os ex-países comunistas da Europa de leste a ultrapassarem Portugal no rendimento per capita, em paridade do poder de compra, de terem suportado a mais alta carga fiscal de sempre, de terem sofrido os desmandos da geringonça com a degradação do Serviço Nacional de Saúde, da escola pública e da generalidade dos serviços públicos queiram que os socialistas voltem a formar governo com o apoio da extrema-esquerda dos comunistas e dos bloquistas. Costa e os socialistas querem que os portugueses estejam anestesiados até às eleições legislativas e para isso usam o medo da pandemia para não exporem todas as falhas da governação socialista com o apoio da ‘geringonça’.",https://www.facebook.com/Apodrecetuga/videos/259122842958288/,,,"Debate Jerónimo desmascara Costa, sem carácter sem vergonha",,,,,516,9.74
Polígrafo,jornalpoligrafo,258649144844557,TOPIC_NEWSPAPER,PT,"Página oficial do Polígrafo, o primeiro jornal português de fact-checking. Polígrafo - Em Nome da Verdade. Todos os dias. ",2018-10-18 14:31:26,119106,124873,2022-01-06 07:52:06 WET,2022-01-06,07:52:06,Link,500,143,150,149,5,0,49,2,0,2,,-,0,0,0,N/A,https://www.facebook.com/258649144844557/posts/915522029157262,"#LêNovamente Acredita que podia muito bem tratar-se de uma personagem da obra de Soeiro Pereira Gomes, ""Esteiros"", junto às margens do Tejo na recolha do barro para telhas e tijolos. A trabalhar desde os 14 anos, à data como afinador de máquinas na MEC - Fábrica de Aparelhagem Industrial, Jerónimo de Sousa não se deixa levar pela romantização e diz mesmo que, em Pirescoxe, todos sabiam que iam ""ter à fábrica"". Como tem evoluído, desde então, o trabalho infantil em Portugal?",https://poligrafo.sapo.pt/sociedade/artigos/jeronimo-de-sousa-o-afiador-de-maquinas-ja-trabalhava-aos-14-anos-como-evoluiu-em-portugal-o-trabalho-infantil?utm_term=Autofeed&utm_medium=Social&utm_source=Facebook#Echobox=1641453476,,,"Jerónimo de Sousa, o afinador de máquinas, já trabalhava aos 14 anos. Como evoluiu em Portugal o trabalho infantil?","Acredita que podia muito bem tratar-se de uma personagem da obra de Soeiro Pereira Gomes, ""Esteiros"", junto às margens do Tejo na recolha do barro para telhas e tijolos. A trabalhar desde os 14 anos, à data como afiador de máquinas na MEC - Fábrica de Aparelhagem Industrial, Jerónimo de Sousa n...",,,,500,10.2
CDU - Coligação Democrática Unitária,CDUPCPPEV,166405943417778,POLITICAL_ORGANIZATION,PT,"Página oficial da CDU - Coligação Democrática Unitária
www.cdu.pt",2011-04-19 20:10:32,18856,19285,2022-01-03 10:04:18 WET,2022-01-03,10:04:18,Photo,499,187,4,300,4,0,2,1,0,1,,-,0,0,0,N/A,https://www.facebook.com/166405943417778/posts/4903793969678928,"ℹ️ Debates na TV com Jerónimo de Sousa 📌 PS 🗓️ 4 Janeiro (Terça-feira) 🕥 21:00 📺 TVI ----- 📌 PSD 🗓️ 12 Janeiro (Quarta-feira) 🕥 21:00 📺 SIC ----- 📌 Debate conjunto 🗓️ 17 Janeiro (Segunda-feira) 🕥 21:00 📺 RTP Haverá mais debates? O modelo que as três estações de televisão decidiram promover fere princípios básicos de igualdade e consagram um tratamento discriminatório das diversas forças políticas em presença, quer quanto à natureza dos canais emissores, quer quanto à duração e organização dos debates, quer quanto às condições em que suporta o envolvimento e presença dos diversos partidos. 👉 Descobre mais aqui: www.cdu.pt/2022/node/302:=:https://www.cdu.pt/2022/debates-eleitorais-nas-tv-desigualdade-e-discriminacao",https://www.facebook.com/CDUPCPPEV/photos/a.166525036739202/4903793589678966/?type=3,,DEBATES COM JERÓNIMO DE SOUSA 04 JAN. PS 21H TVI 12 JAN. PSD 21H SIC 17 DEBATE CONJUNT JAN. 21H RTP PCP-PEV,,,,,,499,3.14
PCP,,131395639428,none,,,,12165,N/A,2022-01-03 18:09:17 WET,2022-01-03,18:09:17,Photo,461,321,44,54,40,0,0,0,0,2,,-,0,0,0,N/A,https://www.facebook.com/groups/131395639428/permalink/10159862950294429,Quero aqui deixar publicamente um grande abraço a este homem e dar-lhe os meus parabéns pela sua sinceridade e verticalidade. É raro haver gente assim na política partidária. Só na CDU vemos disto. Obrigado Jerónimo de Sousa. Um bem haja e continua a fazer um bom trabalho.,https://www.facebook.com/photo.php?fbid=288400756642910&set=gm.10159862950294429&type=3,,,,,,,,461,6.98
CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1155036,1138258,2022-01-05 09:45:12 WET,2022-01-05,09:45:12,Link,449,159,148,63,2,6,33,13,22,3,,-,0,0,0,N/A,https://www.facebook.com/101826228779402/posts/230459662582724,O primeiro-ministro afirmou esta terça-feira que o regresso às aulas presenciais a 10 de janeiro não é ainda garantido.,https://cnnportugal.iol.pt/videos/governo-espera-por-especialistas-para-decidir-regresso-as-aulas/61d55ef70cf2c7ea0f112b11?utm_source=facebook&utm_medium=social&utm_campaign=ed-cnnportugal,,,Governo espera por especialistas para decidir regresso às aulas,"O primeiro-ministro afirmou esta terça-feira que o regresso às aulas presenciais a 10 de janeiro não é ainda garantido. Antes do debate com Jerónimo de Sousa, e em declarações à CNN Portugal, António Costa diz que o Governo vai ouvir os especialistas para tomar uma decisão definitiva.",,,,449,3.9
CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1154994,1138155,2022-01-04 22:30:11 WET,2022-01-04,22:30:11,Link,418,95,262,4,2,1,48,2,4,0,,-,0,0,0,N/A,https://www.facebook.com/101826228779402/posts/230171249278232,"No primeiro confronto entre António Costa e Jerónimo de Sousa após o chumbo do Orçamento do Estado, não houve “inimigos”. Líder comunista quer propostas para começar o diálogo.",https://cnnportugal.iol.pt/antonio-costa/jeronimo-de-sousa/costa-sem-confianca-noutra-geringonca-critica-irresponsabilidade-do-pcp-jeronimo-quer-negociar-e-dispensa-futurologia/20520104/61d4be950cf2cc58e7db20a8?utm_source=facebook&utm_medium=social&utm_campaign=ed-cnnportugal,,,"Costa “sem confiança” noutra geringonça, critica ""irresponsabilidade"" do PCP. Jerónimo quer negociar e dispensa ""futurologia""","No primeiro confronto entre António Costa e Jerónimo de Sousa após o chumbo do Orçamento do Estado, não houve “inimigos”. O líder comunista quer propostas para começar o diálogo. Já o primeiro-ministro bate no argumento socialista para esta disputa: “estabilidade”.",,,,418,3.6
CDU - Coligação Democrática Unitária,CDUPCPPEV,166405943417778,POLITICAL_ORGANIZATION,PT,"Página oficial da CDU - Coligação Democrática Unitária
www.cdu.pt",2011-04-19 20:10:32,18886,19317,2022-01-04 15:08:08 WET,2022-01-04,15:08:08,Photo,302,202,7,89,4,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/166405943417778/posts/4907459989312326,"O PCP encontrou-se hoje com os trabalhadores dos CTT lembrando: - as centenas de postos e estações de correios encerrados, - a degradação do serviço, com sucessivos atrasos, - o aumento do custo dos serviços, - a degradação das condições de trabalho e dos salários dos trabalhadores dos CTT. Foi por causa da luta dos trabalhadores dos CTT e da acção da CDU que a destruição provocada pela privatização não foi mais longe. ""O PS teve todas as condições políticas para reverter a privatização dos CTT. Mas não quis. Mas agora quer os votos dos trabalhadores dos CTT, quer os votos dos utentes dos CTT. É caso para dizer que agora se deveria contentar com os votos da família Champalimaud que foi quem a sua política verdadeiramente serviu!"" disse Jerónimo de Sousa. 👉Conhece a declaração em: https://www.cdu.pt/2022/pela-nacionalizacao-dos-ctt-e-por-um-servico-postal-publico",https://www.facebook.com/CDUPCPPEV/photos/a.166525036739202/4907459742645684/?type=3,,,,,,,,302,1.9
